timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1791494,-7.96,3.99,4.45,-0.74,0.15,-1.18,67.88,20.19,-0.38,0.25,0.71,0.40,-8.22,3.28,4.05,0.82,0.07,0.54,0.20
1791536,-8.96,2.07,5.68,1.07,0.40,-0.53,67.44,22.56,-2.00,-0.28,0.18,0.60,-8.38,2.92,4.01,0.82,0.06,0.54,0.18
1791573,-9.12,2.99,3.50,0.36,0.11,-0.30,67.00,21.31,-1.25,-0.63,0.10,-0.29,-8.48,2.89,3.79,0.81,0.07,0.55,0.17
1791613,-9.19,2.91,3.23,0.04,0.03,-0.07,67.50,21.38,-0.81,-0.67,0.07,-0.50,-8.52,2.84,3.73,0.81,0.07,0.55,0.16
1791653,-9.00,2.84,3.34,-0.43,-0.10,-0.12,66.69,20.94,-0.19,-0.46,0.02,-0.40,-8.54,2.81,3.74,0.82,0.07,0.55,0.17
1791693,-8.39,2.72,3.73,-0.96,0.06,-0.11,65.94,21.88,-2.50,-0.27,0.16,-0.61,-8.54,2.68,3.84,0.82,0.05,0.55,0.17
1791733,-8.00,2.84,3.77,-1.08,0.30,-0.25,66.56,22.44,-1.75,0.57,0.36,-0.12,-8.58,2.48,3.88,0.82,0.03,0.55,0.18
1791773,-8.46,2.38,3.88,-0.56,-0.08,-0.22,67.56,21.94,-0.88,0.17,0.14,-0.04,-8.63,2.23,3.91,0.82,0.02,0.55,0.18
1791813,-8.54,2.07,3.96,-0.42,-0.10,-0.20,65.81,23.50,0.69,0.09,-0.02,-0.04,-8.63,2.09,3.99,0.82,0.01,0.54,0.19
1791853,-8.80,1.73,4.23,-0.34,-0.11,-0.09,67.50,24.25,-0.25,0.02,0.16,-0.15,-8.63,1.95,4.07,0.82,-0.00,0.54,0.19
1791893,-8.81,1.61,4.30,-0.16,-0.01,0.06,66.50,24.19,-0.75,-0.18,-0.28,0.18,-8.62,1.89,4.12,0.82,-0.01,0.54,0.19
1791933,-8.77,1.88,4.34,-0.48,-0.08,-0.12,66.62,24.44,-0.38,-0.15,0.03,0.20,-8.62,1.85,4.14,0.82,-0.01,0.54,0.19
1791973,-8.66,1.80,4.34,-0.53,-0.20,0.05,66.44,25.31,0.31,-0.05,0.08,0.12,-8.61,1.73,4.22,0.82,-0.02,0.53,0.20
1792014,-8.46,1.61,4.64,-0.48,-0.10,0.13,65.19,24.38,-0.94,-0.35,-0.45,0.06,-8.57,1.68,4.32,0.82,-0.03,0.53,0.21
1792054,-8.24,1.77,4.84,-0.60,0.08,0.01,66.00,25.50,0.25,0.32,0.14,0.48,-8.55,1.62,4.36,0.82,-0.03,0.52,0.21
1792094,-8.32,1.50,4.61,-0.66,-0.02,0.04,66.44,25.88,-0.12,0.26,-0.02,0.23,-8.57,1.52,4.38,0.82,-0.04,0.52,0.22
1792134,-8.62,1.23,4.49,-0.87,-0.01,0.04,67.00,25.88,1.06,-0.05,-0.18,0.05,-8.56,1.41,4.44,0.82,-0.06,0.52,0.23
1792173,-8.27,1.54,4.49,-0.66,0.18,0.01,66.44,27.25,1.62,0.38,0.25,0.22,-8.57,1.28,4.46,0.82,-0.07,0.52,0.24
1792214,-8.31,1.38,4.04,-0.56,0.11,-0.04,67.81,27.31,2.12,0.29,0.24,-0.39,-8.60,1.14,4.43,0.82,-0.08,0.52,0.24
1792254,-8.66,1.11,3.69,-0.79,-0.02,-0.21,66.38,26.06,2.06,-0.05,0.11,-0.76,-8.61,1.01,4.45,0.82,-0.09,0.51,0.25
1792293,-8.66,1.04,4.19,-0.69,-0.08,-0.22,67.19,27.00,3.56,-0.05,0.26,-0.31,-8.61,0.78,4.50,0.82,-0.11,0.51,0.25
1792333,-8.93,0.58,4.84,-0.34,-0.12,-0.09,66.62,27.50,2.38,-0.09,0.11,0.43,-8.61,0.62,4.52,0.82,-0.12,0.50,0.25
1792375,-8.88,0.31,4.84,-0.36,-0.24,-0.09,66.19,28.75,1.88,-0.32,-0.22,0.23,-8.57,0.53,4.61,0.82,-0.12,0.50,0.26
1792415,-8.34,0.08,5.03,-0.18,0.00,-0.00,65.94,29.19,2.56,0.20,-0.38,0.36,-8.55,0.45,4.67,0.82,-0.13,0.49,0.26
1792455,-8.32,0.16,4.61,-0.01,0.06,-0.00,67.19,29.25,4.56,0.23,-0.27,-0.06,-8.55,0.43,4.67,0.82,-0.13,0.49,0.26
1792495,-8.34,0.62,4.68,0.12,0.04,-0.09,65.69,28.69,1.50,0.41,0.12,-0.00,-8.56,0.42,4.65,0.82,-0.13,0.50,0.26
1792535,-8.50,0.58,4.80,0.13,0.11,-0.13,64.94,28.81,2.44,0.07,0.16,0.18,-8.57,0.41,4.62,0.82,-0.13,0.50,0.25
1792575,-8.66,0.58,4.57,0.01,-0.01,-0.10,65.88,28.94,2.56,-0.07,0.20,-0.02,-8.59,0.38,4.59,0.82,-0.13,0.50,0.25
1792615,-8.89,0.35,4.64,0.11,-0.07,0.02,65.62,29.12,3.62,-0.31,-0.00,0.03,-8.58,0.35,4.62,0.82,-0.13,0.50,0.25
1792655,-8.12,0.27,4.34,0.16,0.09,0.06,66.69,28.12,2.38,-0.08,-0.55,0.27,-8.58,0.40,4.61,0.82,-0.12,0.50,0.25
1792695,-8.04,0.58,4.00,-0.08,0.00,-0.06,67.44,29.12,1.25,0.55,0.15,-0.59,-8.59,0.43,4.59,0.82,-0.12,0.50,0.25
1792735,-8.27,0.62,4.49,-0.07,-0.04,-0.12,64.88,28.88,2.12,0.31,0.24,-0.10,-8.59,0.38,4.59,0.82,-0.13,0.50,0.25
1792775,-8.62,0.54,5.07,-0.05,-0.04,-0.16,66.69,29.19,4.50,-0.04,0.21,0.46,-8.58,0.33,4.60,0.82,-0.13,0.50,0.25
1792815,-8.96,0.04,4.84,-0.00,-0.03,-0.08,65.00,29.44,2.44,-0.28,0.20,0.30,-8.57,0.27,4.62,0.82,-0.13,0.50,0.24
1792855,-8.73,-0.04,4.61,-0.09,-0.00,0.01,65.38,29.50,1.75,-0.16,-0.29,-0.02,-8.57,0.25,4.62,0.82,-0.13,0.50,0.24
1792895,-8.54,0.04,4.42,-0.11,0.01,0.02,64.56,29.12,2.06,0.02,-0.19,-0.21,-8.56,0.23,4.63,0.82,-0.13,0.50,0.25
1792935,-8.23,0.23,4.68,0.05,0.01,-0.03,65.19,28.56,3.94,0.33,0.02,0.05,-8.56,0.22,4.63,0.82,-0.13,0.50,0.25
1792975,-8.28,0.46,4.76,0.09,0.02,-0.11,64.25,29.50,0.19,0.44,0.21,0.24,-8.56,0.21,4.63,0.82,-0.13,0.50,0.24
1793015,-8.42,0.39,4.64,0.09,0.09,-0.15,65.81,29.56,1.81,0.14,0.20,0.03,-8.57,0.19,4.62,0.82,-0.13,0.50,0.24
1793055,-8.73,0.16,4.49,0.09,0.03,-0.09,65.38,29.81,1.75,-0.14,0.00,-0.09,-8.59,0.16,4.59,0.82,-0.13,0.50,0.24
1793095,-8.96,-0.04,4.49,0.05,0.01,-0.01,65.31,30.00,3.88,-0.37,-0.19,-0.09,-8.59,0.16,4.59,0.82,-0.13,0.50,0.24
1793135,-8.62,0.12,4.49,0.01,0.02,-0.04,63.69,29.38,2.25,-0.06,0.01,-0.01,-8.59,0.15,4.58,0.82,-0.13,0.50,0.23
1793175,-8.54,0.04,4.72,0.07,0.02,-0.02,66.38,29.25,2.62,0.06,-0.10,0.15,-8.60,0.14,4.57,0.82,-0.13,0.50,0.23
1793215,-8.43,0.16,4.88,0.19,0.05,-0.07,64.50,29.44,1.62,0.18,0.00,0.31,-8.60,0.16,4.56,0.82,-0.13,0.50,0.23
1793255,-8.38,0.27,4.68,0.17,0.03,-0.10,65.19,29.75,3.19,0.22,0.11,0.13,-8.61,0.16,4.55,0.82,-0.13,0.50,0.23
1793296,-8.58,0.12,4.61,0.14,0.00,-0.06,64.62,30.06,2.00,0.11,0.00,0.07,-8.61,0.16,4.54,0.83,-0.13,0.50,0.23
1793335,-8.50,0.20,4.61,0.03,0.03,-0.06,64.06,29.38,1.56,0.03,-0.03,0.08,-8.61,0.15,4.53,0.83,-0.13,0.50,0.22
1793375,-8.66,0.00,4.61,0.05,0.03,-0.03,64.06,29.38,1.56,-0.04,-0.13,0.09,-8.62,0.13,4.52,0.83,-0.13,0.50,0.22
1793416,-8.73,0.04,4.61,0.03,0.02,-0.02,65.81,30.38,3.56,-0.11,-0.09,0.10,-8.62,0.13,4.51,0.83,-0.13,0.50,0.22
1793457,-8.80,0.04,4.49,0.05,-0.00,-0.01,64.62,29.12,2.75,-0.03,0.02,0.06,-8.62,0.13,4.51,0.83,-0.13,0.50,0.22
1793496,-8.70,0.20,4.42,0.04,0.03,0.01,63.75,29.94,2.25,-0.19,-0.09,-0.02,-8.62,0.13,4.51,0.83,-0.13,0.50,0.22
1793536,-8.70,0.31,4.38,0.01,0.02,0.00,63.75,29.94,2.25,-0.07,0.17,-0.12,-8.62,0.14,4.50,0.83,-0.13,0.50,0.22
1793576,-8.50,0.39,4.30,0.00,-0.02,-0.02,65.25,29.69,3.56,0.12,0.24,-0.20,-8.62,0.15,4.50,0.83,-0.13,0.50,0.22
1793618,-8.58,0.20,4.49,0.01,-0.00,-0.02,64.12,30.00,1.56,0.05,0.09,-0.17,-8.62,0.14,4.51,0.83,-0.13,0.50,0.22
1793656,-8.58,0.20,4.45,0.01,-0.01,-0.03,64.56,29.75,1.62,0.05,0.03,-0.01,-8.62,0.16,4.50,0.83,-0.13,0.50,0.22
1793696,-8.58,0.20,4.42,-0.02,-0.05,-0.05,64.56,29.75,1.62,0.05,0.05,-0.09,-8.62,0.15,4.51,0.83,-0.13,0.50,0.22
1793736,-8.62,0.08,4.57,-0.01,-0.01,-0.02,64.00,29.94,3.69,0.00,-0.06,0.05,-8.62,0.14,4.52,0.83,-0.13,0.50,0.22
1793778,-8.62,0.08,4.61,0.01,0.00,-0.01,64.56,29.75,1.62,0.03,-0.02,0.12,-8.61,0.13,4.52,0.83,-0.13,0.50,0.22
1793816,-8.58,0.16,4.53,0.00,-0.03,-0.03,65.12,28.94,0.62,-0.02,-0.04,0.08,-8.60,0.12,4.53,0.83,-0.13,0.50,0.22
1793856,-8.58,0.12,4.57,-0.02,-0.03,-0.02,64.56,29.44,2.06,0.02,0.01,0.02,-8.59,0.11,4.55,0.83,-0.13,0.50,0.22
1793896,-8.54,0.00,4.61,-0.02,-0.05,-0.03,64.44,30.25,3.44,0.05,-0.10,0.05,-8.59,0.10,4.55,0.83,-0.13,0.50,0.22
1793939,-8.62,0.08,4.68,-0.01,-0.03,-0.01,65.38,29.81,1.38,0.04,-0.04,-0.02,-8.58,0.09,4.59,0.83,-0.13,0.50,0.22
1793976,-8.66,0.00,4.64,-0.05,-0.04,0.03,64.00,30.31,0.81,-0.05,0.01,0.08,-8.57,0.07,4.60,0.83,-0.13,0.50,0.22
1794016,-8.62,-0.04,4.57,-0.09,-0.06,0.04,65.44,30.12,1.69,-0.05,-0.10,-0.05,-8.56,0.06,4.62,0.83,-0.13,0.50,0.22
1794056,-8.54,0.04,4.57,-0.11,-0.02,0.04,63.81,28.69,3.44,0.02,-0.01,-0.08,-8.56,0.05,4.65,0.83,-0.13,0.50,0.22
1794097,-8.54,0.12,4.57,-0.06,-0.12,0.01,63.69,29.69,1.94,0.02,0.07,-0.09,-8.55,0.05,4.66,0.83,-0.13,0.50,0.22
1794136,-8.46,0.00,4.80,-0.09,-0.06,0.04,64.06,29.38,1.56,-0.12,-0.07,-0.00,-8.54,0.04,4.69,0.83,-0.13,0.49,0.22
1794176,-8.46,0.04,4.76,-0.08,-0.05,0.05,65.38,30.44,1.00,0.06,0.01,0.06,-8.52,0.03,4.70,0.83,-0.13,0.49,0.23
1794217,-8.35,0.04,4.80,-0.09,-0.07,0.01,64.38,29.06,3.81,0.17,0.02,0.07,-8.52,0.02,4.73,0.83,-0.13,0.49,0.23
1794257,-8.39,-0.04,4.76,-0.02,0.02,0.00,65.62,30.38,2.44,0.10,-0.04,0.01,-8.48,0.01,4.75,0.83,-0.13,0.49,0.23
1794297,-8.54,0.00,4.72,-0.07,-0.04,0.02,65.88,30.19,1.44,0.13,0.04,0.16,-8.48,0.00,4.76,0.83,-0.13,0.49,0.23
1794337,-8.43,0.08,4.68,-0.04,0.01,0.01,63.56,29.69,1.12,0.04,0.09,-0.09,-8.46,-0.01,4.77,0.83,-0.13,0.49,0.23
1794377,-8.54,0.00,4.64,-0.02,0.01,0.00,63.88,29.94,3.00,-0.08,0.01,-0.13,-8.46,-0.01,4.77,0.83,-0.14,0.49,0.23
1794417,-8.54,0.00,4.76,0.01,-0.01,0.00,65.12,28.81,3.56,-0.08,0.01,-0.00,-8.46,-0.01,4.77,0.83,-0.14,0.49,0.23
1794457,-8.39,0.08,4.76,-0.01,0.02,-0.01,62.12,28.94,1.38,-0.07,0.00,0.00,-8.47,0.00,4.76,0.83,-0.14,0.49,0.23
1794498,-8.42,0.04,4.68,-0.02,0.00,-0.01,64.69,30.94,1.56,0.05,0.04,-0.07,-8.48,0.00,4.75,0.83,-0.14,0.49,0.23
1794538,-8.54,0.00,4.80,-0.02,-0.02,0.00,66.19,30.06,3.62,-0.07,0.01,0.05,-8.47,-0.01,4.75,0.83,-0.14,0.49,0.23
