timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1511296,-3.42,-1.48,9.08,0.07,0.07,0.07,31.38,30.75,-8.75,-0.65,0.30,0.25,-2.77,-2.02,9.21,0.98,-0.12,0.13,0.13
1511336,-3.27,-1.59,9.16,0.04,0.07,0.13,31.50,30.38,-8.00,-0.62,0.50,-0.12,-2.80,-1.98,9.20,0.98,-0.12,0.13,0.13
1511377,-3.19,-1.71,9.20,0.00,0.01,0.13,32.81,30.19,-7.81,-0.35,0.23,0.00,-2.84,-1.95,9.20,0.98,-0.12,0.13,0.13
1511416,-2.00,-1.94,8.35,-0.05,-0.26,0.07,32.31,31.31,-6.50,-0.14,0.07,-0.43,-2.82,-1.93,9.20,0.98,-0.12,0.13,0.13
1511457,-1.66,-2.32,9.12,-0.16,-0.29,-0.09,31.44,31.31,-9.12,0.71,0.01,-0.88,-2.71,-1.95,9.23,0.98,-0.12,0.12,0.13
1511497,-2.35,-2.63,10.31,0.01,0.18,-0.08,32.75,31.12,-8.62,0.99,-0.30,-0.12,-2.65,-2.02,9.24,0.98,-0.12,0.12,0.13
1511538,-3.07,-1.90,9.58,0.05,0.19,0.00,32.44,31.06,-7.94,0.38,-0.61,1.09,-2.73,-2.02,9.22,0.98,-0.12,0.13,0.13
1511578,-3.07,-1.59,9.39,0.05,0.05,0.11,30.81,30.56,-6.69,-0.68,0.43,-0.05,-2.77,-1.99,9.21,0.98,-0.12,0.13,0.13
1511618,-3.07,-1.75,9.46,0.08,0.20,0.10,31.62,31.62,-8.06,-0.25,0.37,0.19,-2.82,-1.96,9.20,0.97,-0.12,0.13,0.13
1511658,-3.23,-1.82,8.89,0.09,0.10,0.06,32.00,30.12,-7.56,-0.18,0.16,0.28,-2.89,-1.91,9.19,0.97,-0.12,0.14,0.13
1511697,-2.92,-1.82,8.35,-0.04,-0.28,0.00,32.00,30.12,-7.56,-0.33,0.07,-0.30,-2.90,-1.89,9.20,0.97,-0.12,0.13,0.14
1511738,-1.77,-2.36,9.46,-0.07,-0.26,-0.12,33.00,30.44,-6.75,0.62,-0.22,-0.49,-2.78,-1.91,9.23,0.98,-0.12,0.13,0.13
1511778,-2.39,-2.32,10.04,-0.01,0.17,-0.16,32.19,29.31,-8.19,0.95,-0.41,0.23,-2.72,-1.95,9.23,0.98,-0.12,0.13,0.13
1511818,-3.00,-1.67,9.58,0.10,0.27,-0.06,31.12,31.56,-8.44,0.39,-0.38,0.82,-2.78,-1.95,9.22,0.98,-0.12,0.13,0.13
1511857,-3.30,-1.44,9.24,0.09,0.22,0.01,31.12,31.56,-8.44,-0.13,0.24,0.39,-2.87,-1.91,9.20,0.98,-0.12,0.14,0.13
