timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1053492,-4.41,1.22,8.42,0.04,0.03,0.07,40.06,26.56,-17.69,0.06,0.12,-0.12,-4.48,1.10,8.54,0.96,0.03,0.25,0.10
1053532,-4.49,1.14,8.23,-0.01,0.00,0.00,40.31,27.44,-17.00,-0.02,0.04,-0.32,-4.47,1.10,8.55,0.96,0.03,0.25,0.10
1053572,-4.45,0.99,8.53,-0.00,-0.03,0.05,39.88,26.81,-16.25,0.01,-0.13,-0.01,-4.46,1.12,8.55,0.96,0.03,0.24,0.10
1053612,-4.30,1.11,8.38,0.02,0.04,0.06,40.44,27.56,-18.81,0.17,-0.01,-0.16,-4.47,1.12,8.54,0.96,0.03,0.24,0.11
1053653,-4.22,1.11,8.49,-0.02,0.01,0.05,41.75,27.25,-15.69,0.26,0.08,0.03,-4.48,1.02,8.47,0.96,0.03,0.25,0.11
1053693,-4.15,1.11,8.57,-0.03,0.00,0.01,39.88,26.50,-15.88,0.31,0.08,0.11,-4.46,1.02,8.47,0.96,0.03,0.25,0.11
1053733,-4.22,1.07,8.61,-0.01,0.01,-0.04,39.88,28.00,-17.06,0.21,0.05,0.13,-4.44,1.02,8.48,0.96,0.03,0.25,0.11
1053773,-4.45,0.95,8.65,-0.03,-0.01,-0.05,40.75,27.50,-16.94,-0.05,-0.05,0.15,-4.40,1.00,8.50,0.96,0.03,0.25,0.11
1053813,-4.38,0.91,8.77,-0.02,0.00,-0.00,39.81,27.75,-17.38,0.02,-0.09,0.25,-4.40,1.00,8.52,0.96,0.03,0.24,0.11
1053853,-4.49,0.99,8.65,0.03,0.00,-0.03,38.88,26.44,-16.38,-0.10,-0.00,0.11,-4.39,0.99,8.54,0.96,0.03,0.24,0.10
1053893,-4.57,0.95,8.65,0.04,-0.01,0.02,39.94,27.75,-16.69,-0.17,-0.07,0.09,-4.40,1.02,8.56,0.96,0.03,0.24,0.10
1053932,-4.41,1.03,8.49,0.03,0.01,0.02,38.31,27.00,-17.56,0.00,0.01,-0.07,-4.41,1.02,8.57,0.96,0.03,0.24,0.10
1053973,-4.38,0.99,8.57,-0.00,0.02,0.04,39.38,27.38,-17.12,0.04,-0.02,0.00,-4.42,1.01,8.57,0.96,0.03,0.24,0.10
1054013,-4.30,1.03,8.61,0.02,0.00,0.02,39.94,27.12,-16.25,0.12,0.01,0.04,-4.42,1.02,8.58,0.96,0.03,0.24,0.11
1054053,-4.34,1.14,8.53,-0.02,0.02,-0.03,40.44,25.44,-17.19,0.07,0.12,-0.04,-4.41,1.02,8.58,0.96,0.03,0.24,0.11
1054092,-4.38,1.07,8.45,0.04,-0.03,0.03,40.62,26.31,-16.88,0.03,0.03,-0.12,-4.41,1.04,8.58,0.96,0.03,0.24,0.11
1054133,-4.26,1.11,8.42,0.02,0.02,0.02,41.12,27.56,-17.25,0.14,0.06,-0.14,-4.41,1.05,8.56,0.96,0.03,0.24,0.11
1054173,-4.15,1.14,8.50,0.01,0.01,-0.00,40.75,26.88,-16.56,0.24,0.09,-0.05,-4.39,1.05,8.55,0.96,0.03,0.24,0.11
1054213,-4.19,1.11,8.49,0.02,0.00,-0.07,39.12,26.81,-18.19,0.18,0.05,-0.04,-4.37,1.05,8.54,0.96,0.03,0.24,0.11
1054253,-4.45,1.11,8.50,-0.00,-0.03,-0.07,40.88,26.62,-17.94,-0.10,0.06,-0.04,-4.35,1.05,8.53,0.96,0.03,0.24,0.10
1054293,-4.57,0.99,8.54,-0.02,-0.01,-0.05,40.12,26.88,-17.69,-0.22,-0.06,0.01,-4.35,1.05,8.52,0.96,0.03,0.24,0.10
1054333,-4.57,0.99,8.50,0.02,-0.01,0.00,40.44,27.12,-15.88,-0.20,-0.06,-0.03,-4.37,1.05,8.52,0.96,0.03,0.24,0.10
1054374,-4.41,1.07,8.54,-0.01,-0.01,0.02,40.19,26.88,-17.31,-0.03,0.01,0.02,-4.38,1.05,8.52,0.96,0.03,0.24,0.10
