timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1680856,-6.54,-2.79,6.65,0.00,0.01,-0.00,46.31,32.56,2.12,-0.03,-0.01,0.01,-6.51,-2.78,6.64,0.91,-0.21,0.34,0.13
1680896,-6.54,-2.79,6.65,-0.00,0.00,-0.00,46.81,33.56,1.75,-0.03,-0.01,0.01,-6.51,-2.78,6.64,0.91,-0.21,0.34,0.13
1680936,-6.50,-2.79,6.65,-0.00,0.00,0.00,45.19,32.31,0.88,0.01,-0.01,0.01,-6.51,-2.78,6.64,0.91,-0.21,0.34,0.13
1680976,-6.50,-2.79,6.65,0.00,-0.01,0.00,47.12,32.69,1.88,0.01,-0.01,0.00,-6.51,-2.78,6.65,0.91,-0.21,0.34,0.13
1681016,-6.46,-2.75,6.65,0.01,0.02,-0.00,45.94,32.25,2.81,0.06,0.03,0.01,-6.52,-2.78,6.64,0.91,-0.21,0.34,0.13
1681056,-6.61,-2.75,6.61,-0.00,-0.02,0.00,46.75,32.62,1.81,-0.10,0.03,-0.04,-6.51,-2.78,6.65,0.91,-0.21,0.34,0.13
1681096,-6.46,-2.79,6.69,0.00,-0.00,0.01,45.75,32.88,1.25,0.05,-0.02,0.05,-6.51,-2.77,6.64,0.91,-0.21,0.34,0.13
1681136,-6.54,-2.83,6.65,-0.01,0.01,0.00,45.75,32.88,1.25,-0.04,-0.05,0.00,-6.50,-2.78,6.65,0.91,-0.21,0.34,0.13
1681176,-6.50,-2.75,6.69,0.00,0.00,0.01,47.50,33.56,3.31,0.01,0.03,0.04,-6.51,-2.78,6.65,0.91,-0.21,0.34,0.13
1681216,-6.57,-2.75,6.57,-0.00,-0.02,-0.00,48.50,32.50,2.06,-0.07,0.03,-0.07,-6.50,-2.78,6.65,0.91,-0.21,0.34,0.13
1681256,-6.46,-2.79,6.69,0.00,0.00,-0.00,47.56,32.12,1.94,0.05,-0.01,0.04,-6.51,-2.78,6.65,0.91,-0.21,0.34,0.13
1681296,-6.54,-2.75,6.65,0.00,0.02,-0.00,47.56,32.12,1.94,-0.03,0.03,0.01,-6.51,-2.78,6.64,0.91,-0.21,0.34,0.13
1681336,-6.50,-2.79,6.65,-0.00,-0.00,0.00,46.50,32.88,2.88,0.01,-0.01,0.01,-6.51,-2.78,6.64,0.91,-0.21,0.34,0.13
1681376,-6.46,-2.79,6.65,0.01,0.02,-0.01,47.56,32.12,2.31,0.04,-0.01,0.00,-6.50,-2.78,6.65,0.91,-0.21,0.34,0.13
1681416,-6.54,-2.79,6.61,0.01,-0.01,-0.00,45.81,32.00,2.44,-0.04,-0.01,-0.03,-6.50,-2.78,6.64,0.91,-0.21,0.34,0.13
