timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1252009,-7.48,-2.54,5.65,0.01,0.00,-0.01,51.00,37.88,2.44,-0.06,-0.02,-0.03,-7.42,-2.52,5.68,0.88,-0.22,0.40,0.16
1252049,-7.48,-2.54,5.69,0.00,0.01,0.00,52.00,35.88,4.50,-0.05,-0.02,0.02,-7.43,-2.52,5.66,0.88,-0.22,0.40,0.16
1252089,-7.48,-2.54,5.65,-0.02,0.00,0.02,51.88,37.88,5.12,-0.05,-0.03,-0.02,-7.43,-2.52,5.66,0.88,-0.22,0.40,0.16
1252129,-7.90,-3.08,5.96,-0.13,-0.19,0.46,51.00,36.75,3.19,-0.00,-0.16,0.13,-7.44,-2.50,5.67,0.88,-0.22,0.40,0.16
1252169,-10.09,-5.46,6.45,-1.73,-1.31,1.91,51.94,38.25,2.50,-2.66,-3.06,0.70,-7.42,-2.40,5.75,0.87,-0.23,0.39,0.19
1252209,-9.28,-6.38,8.18,-1.49,-2.14,0.48,55.50,38.12,0.06,-2.05,-4.09,2.13,-7.23,-2.28,6.05,0.87,-0.24,0.35,0.25
1252250,-5.41,-5.30,8.79,-2.50,-1.51,-2.09,58.94,39.75,-4.62,1.22,-2.34,2.36,-6.63,-2.96,6.43,0.88,-0.28,0.30,0.24
1252290,-4.68,-3.96,7.14,-1.31,0.06,-0.73,58.00,47.50,-16.00,0.13,-1.67,0.16,-6.08,-4.05,6.41,0.88,-0.32,0.27,0.23
1252330,-5.03,-1.09,6.45,0.01,-0.90,-1.13,61.44,52.88,-26.06,0.95,3.27,0.13,-5.98,-4.36,6.32,0.88,-0.32,0.26,0.23
1252372,-4.26,1.05,4.73,-2.20,-0.87,-2.09,60.81,55.62,-37.12,1.21,5.91,-1.70,-5.47,-4.86,6.43,0.89,-0.35,0.23,0.21
1252410,-4.72,-2.20,5.07,-1.21,-0.93,-1.18,65.06,61.81,-50.62,0.08,3.62,-1.07,-4.80,-5.82,6.15,0.88,-0.39,0.19,0.19
1252450,-4.42,-4.84,5.84,-0.52,-0.73,-1.77,71.31,64.94,-63.44,0.09,-0.21,1.70,-4.32,-6.24,6.09,0.89,-0.40,0.16,0.17
1252492,-5.11,-7.03,5.27,-0.76,-0.78,-0.62,71.38,66.12,-69.31,-1.37,-0.39,-0.80,-3.73,-6.63,6.07,0.89,-0.41,0.14,0.16
1252530,-4.38,-8.03,6.34,-0.18,-0.33,-0.28,73.31,64.38,-72.19,-0.93,-1.18,0.34,-3.45,-6.84,6.00,0.88,-0.42,0.12,0.16
1252570,-3.80,-6.61,6.18,0.02,-0.08,-0.74,73.94,63.00,-73.19,-0.50,0.30,0.18,-3.30,-6.91,6.01,0.89,-0.42,0.12,0.15
1252610,-3.80,-6.88,5.19,-0.09,-0.31,-0.69,72.38,62.62,-74.00,-0.59,1.38,-0.68,-3.02,-7.02,6.02,0.89,-0.42,0.10,0.14
1252650,-3.11,-7.45,5.88,-0.05,-0.21,-0.19,72.19,62.62,-75.12,-0.29,-0.36,-0.15,-2.83,-7.09,6.03,0.89,-0.42,0.10,0.14
1252690,-2.58,-6.26,5.73,-0.11,-0.15,-0.37,73.19,60.38,-75.62,0.13,0.88,-0.30,-2.71,-7.14,6.02,0.89,-0.43,0.09,0.13
1252730,-2.85,-6.68,5.61,-0.09,-0.18,-0.16,74.50,61.12,-75.94,-0.26,0.52,-0.40,-2.59,-7.20,6.01,0.89,-0.43,0.08,0.13
1252770,-2.66,-6.88,5.80,-0.10,-0.12,-0.09,73.56,60.12,-75.56,-0.41,0.12,-0.31,-2.51,-7.23,6.00,0.89,-0.43,0.08,0.13
1252810,-2.43,-6.68,5.88,-0.12,-0.08,-0.36,76.25,60.94,-76.00,0.00,0.59,-0.10,-2.43,-7.27,5.98,0.89,-0.43,0.08,0.13
1252852,-2.73,-7.57,5.99,-0.07,-0.07,0.06,75.12,60.31,-77.25,-0.39,-0.26,0.04,-2.34,-7.30,5.95,0.89,-0.43,0.07,0.13
1252890,-2.46,-7.60,6.11,-0.08,-0.12,-0.02,75.88,59.69,-74.50,-0.12,-0.28,0.16,-2.34,-7.32,5.95,0.89,-0.43,0.07,0.13
1252931,-2.31,-7.37,6.07,-0.11,-0.09,-0.00,75.62,60.94,-77.19,-0.03,0.16,0.10,-2.32,-7.34,5.93,0.89,-0.44,0.07,0.13
1252970,-2.31,-7.56,6.11,-0.07,-0.09,0.02,76.44,59.88,-76.69,-0.01,-0.20,0.21,-2.30,-7.36,5.90,0.89,-0.44,0.07,0.13
1253010,-2.16,-7.64,6.11,0.00,-0.04,0.12,76.50,60.44,-76.69,0.14,-0.27,0.22,-2.30,-7.37,5.89,0.89,-0.44,0.07,0.13
1253050,-2.16,-7.45,6.03,-0.03,-0.04,0.03,77.62,59.88,-75.06,0.16,-0.09,0.14,-2.32,-7.36,5.89,0.89,-0.44,0.07,0.13
