timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
2174730,-8.88,-1.15,5.91,0.24,-0.52,0.25,48.75,28.06,-9.31,-0.82,-0.94,0.46,-8.07,-0.21,5.45,0.88,-0.03,0.47,0.03
2174770,-8.12,-0.35,6.18,0.04,-0.03,0.13,48.81,28.94,-9.38,-0.14,-0.25,0.61,-7.98,-0.10,5.58,0.89,-0.02,0.46,0.04
2174810,-7.16,0.53,5.88,-0.04,0.22,-0.04,49.62,28.12,-8.88,0.84,0.61,0.32,-8.00,-0.08,5.55,0.88,-0.02,0.46,0.04
2174850,-8.20,0.04,5.34,-0.05,0.10,-0.05,47.38,27.81,-11.62,0.72,0.70,-0.08,-8.04,-0.09,5.50,0.88,-0.03,0.47,0.04
2174890,-8.24,-0.23,5.46,-0.14,0.32,-0.11,48.62,28.06,-10.06,-0.16,-0.11,0.00,-8.07,-0.12,5.45,0.88,-0.03,0.47,0.04
2174930,-8.08,-0.16,5.15,-0.13,0.23,-0.15,48.75,26.88,-8.19,0.06,0.04,-0.20,-8.14,-0.20,5.34,0.88,-0.03,0.48,0.04
2174970,-8.20,-0.12,4.84,0.01,-0.08,-0.11,48.81,27.75,-8.62,-0.03,0.16,-0.45,-8.17,-0.27,5.30,0.88,-0.04,0.48,0.03
2175010,-8.70,-1.00,5.53,0.21,-0.45,0.11,48.69,27.50,-9.31,-0.22,-0.11,-0.36,-8.13,-0.28,5.35,0.88,-0.03,0.47,0.03
2175050,-8.66,-0.96,6.14,0.21,-0.36,0.25,48.12,27.81,-10.12,-0.62,-0.79,0.64,-8.03,-0.17,5.51,0.88,-0.03,0.46,0.03
2175090,-7.59,0.11,6.07,-0.00,0.17,0.06,47.31,27.94,-9.50,0.40,0.19,0.49,-7.98,-0.08,5.58,0.89,-0.02,0.46,0.04
2175130,-7.09,0.69,5.65,-0.05,0.13,-0.05,49.38,27.81,-8.12,0.95,0.76,0.13,-8.03,-0.07,5.52,0.88,-0.02,0.47,0.04
2175170,-8.35,-0.12,5.38,-0.09,0.11,-0.06,47.50,28.38,-11.31,0.23,0.48,-0.26,-8.05,-0.10,5.48,0.88,-0.03,0.47,0.04
2175210,-8.12,-0.20,5.38,-0.19,0.29,-0.12,48.56,27.81,-10.06,-0.04,-0.05,-0.05,-8.09,-0.15,5.43,0.88,-0.03,0.47,0.04
2175250,-8.04,-0.16,5.07,-0.14,0.12,-0.15,48.75,27.81,-8.94,0.10,0.08,-0.27,-8.14,-0.23,5.34,0.88,-0.03,0.47,0.03
2175291,-8.20,-0.27,4.96,0.07,-0.18,-0.04,49.31,28.69,-8.94,-0.05,0.02,-0.37,-8.15,-0.30,5.33,0.88,-0.04,0.47,0.03
2175331,-8.81,-1.11,5.88,0.25,-0.47,0.19,48.50,27.81,-10.44,-0.38,-0.46,-0.08,-8.09,-0.27,5.42,0.88,-0.03,0.47,0.03
2175371,-8.20,-0.46,6.11,0.13,-0.15,0.17,48.44,28.44,-11.19,-0.20,-0.32,0.55,-8.00,-0.14,5.55,0.89,-0.03,0.46,0.04
2175411,-7.27,0.50,5.84,-0.02,0.22,-0.00,48.56,27.19,-9.69,0.72,0.58,0.28,-8.00,-0.09,5.56,0.89,-0.02,0.46,0.04
2175451,-7.35,0.61,5.34,-0.04,0.11,-0.05,47.81,28.00,-9.06,0.68,0.70,-0.16,-8.03,-0.09,5.50,0.88,-0.03,0.47,0.04
2175491,-8.31,-0.27,5.38,-0.12,0.20,-0.09,47.56,27.75,-10.56,-0.14,0.24,-0.24,-8.06,-0.12,5.47,0.88,-0.03,0.47,0.04
2175531,-8.04,-0.20,5.23,-0.16,0.26,-0.13,48.00,28.06,-10.88,0.07,0.00,-0.16,-8.11,-0.20,5.39,0.88,-0.03,0.47,0.03
2175571,-8.12,-0.16,4.96,-0.07,-0.05,-0.11,48.81,27.75,-8.62,0.03,0.11,-0.37,-8.15,-0.27,5.33,0.88,-0.03,0.47,0.03
2175611,-8.36,-0.43,5.11,0.10,-0.28,0.04,48.50,28.56,-8.31,-0.23,-0.13,-0.25,-8.12,-0.30,5.36,0.88,-0.03,0.47,0.03
2175651,-8.58,-0.85,6.22,0.20,-0.38,0.23,49.56,28.44,-9.62,-0.54,-0.64,0.13,-8.05,-0.24,5.48,0.88,-0.03,0.47,0.03
2175691,-7.55,0.04,6.11,0.04,0.06,0.07,47.12,28.00,-10.62,0.45,0.18,0.54,-7.99,-0.14,5.56,0.89,-0.03,0.46,0.04
2175731,-7.16,0.50,5.53,-0.03,0.20,-0.07,47.19,28.00,-10.25,0.86,0.63,0.01,-8.02,-0.13,5.52,0.88,-0.03,0.47,0.04
2175771,-7.89,0.34,5.07,-0.03,0.07,-0.08,46.88,28.19,-9.56,0.16,0.50,-0.40,-8.05,-0.16,5.48,0.88,-0.03,0.47,0.03
2175811,-8.31,-0.31,5.19,-0.11,0.16,-0.09,47.62,28.00,-10.56,-0.47,0.01,-0.29,-8.07,-0.20,5.44,0.88,-0.03,0.47,0.03
2175851,-8.04,-0.23,5.15,-0.11,0.09,-0.09,48.69,28.69,-10.12,0.07,0.02,-0.24,-8.11,-0.26,5.39,0.88,-0.03,0.47,0.03
2175891,-8.04,-0.27,5.30,-0.03,-0.05,-0.07,47.19,27.69,-10.25,0.07,0.03,-0.07,-8.12,-0.30,5.37,0.88,-0.04,0.47,0.03
2175931,-8.20,-0.62,5.65,0.11,-0.24,0.08,47.50,28.50,-8.81,-0.11,-0.30,0.24,-8.09,-0.31,5.41,0.88,-0.03,0.47,0.03
2175971,-8.16,-0.66,6.07,0.12,-0.17,0.16,46.69,27.38,-9.94,-0.46,-0.71,0.47,-8.05,-0.25,5.48,0.88,-0.03,0.47,0.03
2176011,-7.51,0.19,5.61,0.00,0.13,0.04,49.12,28.44,-10.06,0.52,0.38,0.09,-8.02,-0.20,5.52,0.88,-0.03,0.47,0.03
2176051,-7.70,0.42,5.11,-0.03,0.10,-0.03,49.12,28.75,-10.06,0.36,0.61,-0.36,-8.05,-0.19,5.47,0.88,-0.03,0.47,0.03
2176091,-8.36,0.15,4.96,-0.04,0.06,-0.03,48.88,28.62,-9.00,-0.28,0.35,-0.49,-8.07,-0.20,5.45,0.88,-0.03,0.47,0.03
2176131,-8.04,-0.20,5.27,-0.10,0.16,-0.09,48.12,28.38,-10.50,-0.30,0.04,-0.15,-8.09,-0.23,5.41,0.88,-0.03,0.47,0.03
