timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
2059134,-9.84,0.23,-0.83,-0.03,-0.05,0.00,67.56,26.44,9.06,-0.10,-0.09,-0.18,-9.75,0.31,-0.66,0.68,-0.00,0.73,0.02
2059174,-9.62,0.38,-0.60,-0.02,0.01,-0.01,66.62,27.00,8.56,0.14,0.07,0.06,-9.76,0.30,-0.66,0.68,-0.00,0.73,0.02
2059214,-9.62,0.42,-0.56,0.02,0.04,-0.03,65.81,26.62,9.19,0.13,0.11,0.11,-9.75,0.30,-0.67,0.68,-0.00,0.73,0.02
2059254,-9.89,0.23,-0.87,0.05,-0.01,-0.03,66.38,25.81,7.88,0.08,0.07,-0.04,-9.73,0.30,-0.67,0.68,-0.00,0.73,0.02
2059294,-9.96,0.11,-0.98,-0.05,0.01,-0.01,67.00,26.44,8.25,-0.22,-0.18,-0.30,-9.74,0.29,-0.69,0.68,-0.00,0.73,0.02
2059334,-10.00,0.15,-0.83,-0.02,-0.05,0.01,67.25,26.38,9.75,-0.25,-0.14,-0.13,-9.75,0.29,-0.70,0.68,-0.00,0.73,0.02
2059375,-9.80,0.38,-0.52,-0.01,-0.01,0.01,66.81,26.06,10.12,-0.04,0.10,0.18,-9.77,0.28,-0.70,0.68,-0.00,0.73,0.02
2059415,-9.77,0.38,-0.52,0.01,0.05,0.00,66.56,25.50,9.00,0.02,0.14,0.26,-9.79,0.28,-0.71,0.68,-0.00,0.73,0.02
2059455,-9.81,0.26,-0.79,0.03,-0.01,0.01,66.06,26.69,8.12,-0.01,-0.04,-0.09,-9.80,0.30,-0.70,0.68,-0.00,0.73,0.02
2059495,-9.81,0.26,-0.83,-0.00,0.02,0.00,65.69,26.62,8.44,-0.00,-0.04,-0.14,-9.80,0.30,-0.70,0.68,-0.00,0.73,0.02
2059535,-9.77,0.26,-0.75,-0.00,-0.01,0.01,67.50,25.88,9.12,0.04,-0.04,-0.04,-9.80,0.30,-0.71,0.68,-0.00,0.73,0.02
