timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1899479,-7.94,3.19,6.66,-0.53,-0.04,0.33,65.06,14.94,-5.25,-0.65,-0.42,0.38,-7.82,3.84,4.48,0.82,0.08,0.51,0.25
1899518,-6.90,3.46,6.93,-0.38,0.30,0.21,66.06,15.00,-4.69,0.89,-0.39,2.41,-7.79,3.84,4.52,0.82,0.08,0.51,0.26
1899559,-6.45,3.84,6.78,-0.14,0.11,-0.04,66.31,15.25,-3.62,1.37,0.01,2.29,-7.81,3.83,4.48,0.81,0.07,0.51,0.26
1899599,-6.75,3.73,7.01,0.29,-0.20,-0.12,65.56,15.44,-2.62,1.08,-0.07,2.52,-7.83,3.80,4.48,0.81,0.07,0.51,0.26
1899639,-7.25,3.77,6.93,0.53,-0.14,-0.27,66.31,15.25,-3.62,0.88,-0.08,2.47,-7.82,3.80,4.50,0.82,0.08,0.51,0.25
1899678,-7.90,3.57,6.20,0.63,-0.08,-0.26,66.06,15.00,-4.69,-0.06,-0.25,1.74,-7.84,3.82,4.46,0.82,0.09,0.52,0.24
1899719,-8.44,3.46,5.36,0.72,-0.27,-0.13,66.44,14.75,-5.06,-0.59,-0.42,0.96,-7.84,3.88,4.40,0.82,0.10,0.52,0.23
1899759,-8.40,3.54,4.86,0.80,-0.14,-0.14,64.25,13.94,-4.56,-0.59,-0.44,0.48,-7.81,3.98,4.38,0.82,0.11,0.52,0.22
1899800,-7.78,4.07,3.48,0.70,0.09,-0.23,64.94,14.69,-5.94,-0.12,-0.18,-0.15,-7.82,4.05,4.28,0.82,0.12,0.52,0.21
1899839,-7.90,4.11,2.75,0.63,0.32,-0.24,65.44,12.75,-6.88,0.10,-0.03,-0.66,-7.88,4.10,4.14,0.82,0.13,0.53,0.20
