timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7267555,-6.95,2.82,5.59,-0.22,0.01,-0.44,26.69,-17.75,-0.38,0.52,-0.64,0.41,-7.48,3.45,5.17,0.20,-0.38,0.30,0.85
7267592,-7.11,2.82,5.24,-0.25,0.03,-0.54,26.56,-15.38,-1.44,0.44,-0.43,0.04,-7.55,3.25,5.20,0.21,-0.38,0.29,0.85
7267632,-7.26,2.70,5.05,-0.22,0.01,-0.62,27.88,-15.25,3.19,0.36,-0.30,-0.18,-7.62,3.01,5.23,0.22,-0.39,0.29,0.85
7267674,-7.38,2.16,5.47,-0.09,-0.38,-0.79,27.62,-15.44,-1.31,0.28,-0.58,0.15,-7.66,2.74,5.32,0.23,-0.39,0.28,0.85
7267712,-7.07,1.86,5.97,-0.02,-0.33,-0.85,28.50,-12.69,-3.31,0.58,-0.62,0.53,-7.65,2.48,5.44,0.24,-0.39,0.27,0.85
7267752,-7.11,1.67,6.08,0.03,0.09,-0.81,28.75,-12.06,-4.00,0.62,-0.54,0.64,-7.73,2.21,5.45,0.26,-0.39,0.26,0.84
7267792,-7.38,1.63,6.23,0.26,0.16,-0.89,29.06,-10.25,-2.12,0.45,-0.35,0.86,-7.83,1.98,5.38,0.27,-0.40,0.26,0.84
7267834,-7.96,2.39,4.89,0.28,0.32,-0.99,29.75,-8.75,-3.38,0.00,0.66,-0.39,-7.95,1.73,5.28,0.29,-0.40,0.25,0.83
7267873,-8.53,2.47,4.47,0.03,0.60,-0.97,30.00,-8.06,-2.44,-0.41,1.04,-0.63,-8.12,1.43,5.10,0.31,-0.42,0.25,0.82
7267913,-9.49,2.09,4.47,0.04,0.48,-0.79,30.31,-6.50,-1.00,-1.22,0.93,-0.45,-8.27,1.16,4.92,0.32,-0.43,0.25,0.81
7267953,-10.21,1.90,4.21,-0.04,-0.01,-0.45,30.00,-3.25,0.75,-1.90,0.91,-0.68,-8.31,0.98,4.88,0.33,-0.44,0.24,0.80
7267993,-9.99,1.94,4.32,-0.17,-0.05,-0.09,29.38,-4.19,-0.88,-1.67,1.04,-0.59,-8.31,0.90,4.91,0.33,-0.44,0.24,0.80
7268033,-8.64,2.43,4.36,-0.28,0.02,0.10,30.81,-2.69,-4.94,-0.34,1.57,-0.56,-8.30,0.87,4.92,0.33,-0.44,0.24,0.80
7268073,-8.61,2.62,3.75,-0.49,0.08,0.18,29.81,-3.19,-2.69,-0.29,1.77,-1.16,-8.31,0.85,4.91,0.32,-0.44,0.23,0.80
7268113,-8.72,2.13,4.17,-0.50,-0.19,0.28,30.19,-4.38,-2.44,-0.44,1.29,-0.80,-8.28,0.84,4.97,0.31,-0.44,0.23,0.81
7268154,-8.34,1.94,4.66,-0.71,0.20,0.42,29.69,-5.06,-0.69,-0.04,1.09,-0.29,-8.30,0.85,4.95,0.30,-0.44,0.22,0.81
7268196,-8.18,1.21,4.62,-0.75,-0.03,0.43,30.12,-4.25,-3.62,0.11,0.35,-0.34,-8.30,0.86,4.96,0.29,-0.45,0.21,0.82
