timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7417910,-8.65,-2.13,3.41,0.03,-0.13,0.05,25.75,-17.75,-2.69,0.23,0.17,-0.04,-8.88,-2.30,3.45,0.02,-0.56,-0.13,0.82
7417951,-8.61,-2.29,3.76,0.03,-0.05,0.03,27.00,-18.31,-0.25,0.25,0.00,0.27,-8.87,-2.29,3.48,0.02,-0.55,-0.13,0.82
7417991,-8.61,-2.32,3.72,0.04,0.05,0.01,26.06,-18.12,-2.06,0.26,-0.04,0.24,-8.88,-2.28,3.48,0.02,-0.55,-0.13,0.82
7418031,-8.77,-2.32,3.49,0.06,-0.02,-0.04,26.31,-19.31,1.56,0.11,-0.03,0.01,-8.88,-2.29,3.48,0.02,-0.55,-0.13,0.82
7418071,-8.92,-2.40,3.53,0.05,0.03,-0.02,25.12,-19.19,0.25,-0.05,-0.11,0.05,-8.88,-2.29,3.48,0.02,-0.55,-0.13,0.82
7418110,-8.88,-2.29,3.45,0.07,0.00,-0.02,25.69,-19.50,0.38,-0.01,0.00,-0.02,-8.88,-2.29,3.48,0.02,-0.55,-0.13,0.82
7418151,-8.73,-2.09,3.38,0.04,0.02,-0.06,25.31,-19.44,-2.44,0.14,0.20,-0.10,-8.87,-2.30,3.48,0.02,-0.55,-0.13,0.82
7418191,-8.65,-2.05,3.38,-0.02,0.07,-0.08,26.00,-19.81,1.06,0.21,0.27,-0.09,-8.87,-2.32,3.46,0.02,-0.55,-0.13,0.82
7418231,-8.61,-2.09,3.30,-0.07,0.14,-0.08,26.19,-18.56,-0.31,0.26,0.26,-0.11,-8.88,-2.35,3.41,0.03,-0.56,-0.13,0.82
7418270,-8.77,-2.09,3.03,-0.27,0.12,-0.14,25.88,-19.62,-0.75,0.11,0.32,-0.31,-8.88,-2.41,3.34,0.03,-0.56,-0.13,0.82
7418311,-9.11,-2.51,3.14,-0.31,-0.13,-0.20,25.62,-19.06,-0.75,-0.26,0.01,-0.19,-8.85,-2.52,3.34,0.03,-0.56,-0.14,0.82
7418351,-9.46,-3.20,3.61,-0.18,-0.13,0.14,25.62,-18.88,0.25,-0.62,-0.68,0.23,-8.84,-2.52,3.38,0.02,-0.56,-0.14,0.82
7418392,-8.80,-2.48,3.07,-0.08,0.28,0.05,25.81,-18.75,-1.44,0.07,0.04,-0.22,-8.88,-2.52,3.29,0.02,-0.56,-0.14,0.82
7418431,-9.23,-2.78,2.99,-0.03,-0.12,-0.06,25.00,-19.44,-2.44,-0.36,-0.23,-0.29,-8.87,-2.55,3.28,0.02,-0.56,-0.14,0.82
7418471,-9.07,-2.70,3.38,0.01,-0.03,0.05,25.00,-19.44,-2.44,-0.21,-0.16,0.05,-8.86,-2.54,3.32,0.02,-0.56,-0.14,0.82
7418511,-8.92,-2.59,3.26,-0.01,-0.04,0.06,25.56,-18.75,-0.81,-0.06,-0.07,-0.06,-8.86,-2.52,3.32,0.02,-0.56,-0.14,0.82
7418552,-8.77,-2.51,3.26,0.01,-0.18,-0.05,24.69,-18.31,-2.12,0.07,0.01,-0.11,-8.84,-2.52,3.38,0.02,-0.56,-0.14,0.82
7418591,-9.00,-2.74,3.41,0.05,-0.09,-0.05,25.50,-18.62,-2.56,-0.18,-0.21,-0.01,-8.82,-2.53,3.42,0.02,-0.55,-0.14,0.82
7418631,-9.57,-2.86,3.22,0.08,-0.31,0.09,25.50,-18.62,-2.56,-0.79,-0.35,-0.29,-8.79,-2.51,3.52,0.02,-0.55,-0.14,0.82
7418671,-9.15,-2.48,3.30,0.10,-0.17,0.15,24.81,-19.38,-0.25,-0.39,-0.03,-0.30,-8.77,-2.45,3.59,0.02,-0.55,-0.14,0.83
7418713,-8.80,-2.63,3.80,0.12,-0.52,0.15,24.12,-20.12,-4.06,-0.09,-0.25,0.05,-8.72,-2.38,3.74,0.02,-0.54,-0.14,0.83
7418751,-8.20,-2.36,4.22,0.06,-0.35,0.35,23.50,-19.12,-4.94,0.48,-0.09,0.31,-8.68,-2.27,3.91,0.01,-0.53,-0.13,0.84
7418791,-7.77,-1.86,4.45,-0.00,-0.04,0.12,24.06,-20.56,-5.19,0.92,0.32,0.51,-8.70,-2.18,3.94,0.01,-0.53,-0.13,0.84
7418832,-8.00,-1.94,4.10,0.21,-0.27,-0.17,23.25,-19.69,-4.88,0.65,0.24,0.08,-8.66,-2.18,4.02,0.01,-0.53,-0.13,0.84
7418874,-8.69,-2.25,4.29,0.10,-0.46,-0.10,23.81,-20.31,-4.69,-0.13,-0.04,0.10,-8.56,-2.20,4.20,0.01,-0.52,-0.13,0.84
7418912,-8.43,-2.17,4.33,-0.04,0.01,0.06,23.75,-20.00,-5.31,0.13,0.03,0.11,-8.55,-2.20,4.23,0.01,-0.52,-0.13,0.85
7418952,-8.08,-2.13,4.64,-0.10,0.25,0.20,23.19,-19.56,-6.56,0.52,0.01,0.48,-8.59,-2.14,4.16,0.01,-0.52,-0.13,0.85
7418992,-7.66,-2.02,4.56,-0.21,0.74,0.16,23.00,-18.94,-3.88,1.05,0.09,0.62,-8.70,-2.10,3.95,0.00,-0.53,-0.13,0.84
7419032,-8.20,-1.90,4.26,-0.08,0.34,-0.00,23.44,-19.81,-7.06,0.59,0.20,0.48,-8.78,-2.10,3.77,0.00,-0.54,-0.13,0.83
7419072,-8.65,-2.29,3.84,-0.01,0.21,-0.07,22.31,-19.50,-6.56,0.15,-0.16,0.14,-8.80,-2.12,3.70,0.00,-0.54,-0.13,0.83
7419112,-9.35,-2.40,3.34,0.03,0.00,-0.10,23.44,-19.00,-6.00,-0.54,-0.24,-0.33,-8.80,-2.16,3.66,0.01,-0.54,-0.13,0.83
7419152,-9.88,-2.70,3.26,0.02,-0.12,0.07,24.06,-19.19,-4.25,-1.09,-0.55,-0.45,-8.79,-2.15,3.71,0.01,-0.54,-0.13,0.83
7419192,-9.54,-2.59,3.45,0.09,-0.11,0.13,23.25,-19.12,-4.94,-0.75,-0.50,-0.30,-8.78,-2.09,3.75,0.00,-0.54,-0.13,0.83
7419232,-8.43,-1.71,3.64,0.05,0.02,0.13,21.81,-19.56,-6.06,0.38,0.32,-0.13,-8.80,-2.03,3.77,0.00,-0.54,-0.12,0.83
7419272,-8.31,-1.75,3.64,-0.01,0.02,0.05,23.19,-20.94,-6.88,0.49,0.26,-0.13,-8.80,-2.01,3.77,0.00,-0.54,-0.12,0.83
7419312,-8.46,-1.75,3.76,-0.09,-0.00,0.04,23.25,-20.50,-5.81,0.34,0.25,-0.01,-8.80,-1.99,3.77,0.00,0.54,0.12,-0.83
7419352,-8.27,-1.63,3.68,-0.06,0.04,-0.08,23.50,-19.06,-5.50,0.54,0.40,-0.06,-8.80,-2.03,3.74,0.00,0.54,0.12,-0.83
7419392,-9.61,-2.55,3.76,0.02,-0.19,-0.05,22.25,-18.38,-6.81,-0.84,-0.50,-0.03,-8.77,-2.05,3.79,0.00,0.54,0.13,-0.83
7419432,-9.11,-2.48,4.10,0.11,-0.36,0.08,23.44,-19.56,-6.56,-0.39,-0.46,0.19,-8.73,-2.02,3.91,0.00,0.53,0.12,-0.84
7419472,-7.92,-1.75,4.37,0.04,0.14,0.12,23.19,-18.75,-6.12,0.81,0.22,0.45,-8.73,-1.97,3.92,0.00,0.53,0.12,-0.84
7419512,-7.84,-1.48,4.03,0.00,0.15,-0.05,23.00,-20.31,-4.69,0.92,0.50,0.17,-8.77,-1.98,3.86,0.00,0.54,0.12,-0.84
7419552,-8.58,-1.90,3.99,-0.04,-0.07,-0.08,23.44,-19.19,-7.12,0.17,0.11,0.11,-8.75,-2.01,3.88,0.00,-0.54,-0.12,0.84
7419592,-7.89,-1.59,4.10,-0.09,0.38,-0.09,22.62,-19.56,-6.00,0.89,0.45,0.31,-8.77,-2.05,3.79,0.00,-0.54,-0.12,0.83
7419632,-8.50,-1.75,3.49,-0.11,0.16,-0.17,24.12,-20.69,-4.00,0.30,0.36,-0.20,-8.80,-2.11,3.69,0.00,-0.54,-0.13,0.83
7419672,-9.07,-2.32,3.64,0.06,0.07,-0.27,24.19,-19.44,-2.00,-0.29,-0.13,-0.04,-8.78,-2.19,3.68,0.01,-0.54,-0.13,0.83
7419712,-9.30,-2.63,3.68,0.13,-0.02,-0.16,22.88,-19.25,-6.69,-0.53,-0.39,-0.01,-8.77,-2.24,3.69,0.01,-0.54,-0.13,0.83
7419752,-8.84,-2.51,3.84,0.14,0.22,-0.05,23.31,-19.75,-4.25,-0.06,-0.27,0.18,-8.78,-2.24,3.66,0.01,-0.54,-0.13,0.83
7419792,-9.04,-2.55,3.80,0.31,0.07,-0.07,22.62,-19.88,-5.94,-0.25,-0.32,0.16,-8.79,-2.23,3.63,0.02,-0.55,-0.13,0.83
7419833,-9.15,-2.55,3.76,0.20,0.15,0.08,23.12,-19.38,-2.12,-0.35,-0.37,0.13,-8.80,-2.18,3.62,0.02,-0.55,-0.12,0.83
7419873,-8.77,-2.05,3.49,0.14,0.24,0.14,23.81,-20.12,-4.12,0.08,0.05,-0.06,-8.85,-2.11,3.55,0.02,-0.55,-0.12,0.83
7419913,-8.73,-1.55,3.18,0.10,0.01,-0.00,22.81,-20.38,-3.62,0.14,0.53,-0.35,-8.87,-2.09,3.53,0.02,-0.55,-0.11,0.82
7419953,-8.65,-1.48,3.14,-0.05,0.07,-0.05,23.38,-19.69,-2.00,0.21,0.62,-0.37,-8.87,-2.10,3.52,0.02,-0.55,-0.11,0.82
7419993,-8.85,-1.90,3.14,-0.12,0.00,-0.04,23.50,-19.62,0.19,0.02,0.23,-0.35,-8.87,-2.13,3.49,0.02,-0.56,-0.12,0.82
7420033,-8.96,-2.32,3.64,-0.14,0.14,-0.03,22.56,-19.88,-2.56,-0.09,-0.16,0.18,-8.88,-2.16,3.46,0.02,-0.56,-0.12,0.82
7420073,-9.27,-2.51,3.80,-0.04,0.01,-0.01,23.44,-20.31,-1.94,-0.38,-0.34,0.36,-8.88,-2.17,3.44,0.02,-0.56,-0.12,0.82
7420113,-9.15,-2.74,3.99,0.11,-0.04,0.07,23.69,-19.19,-2.06,-0.27,-0.59,0.54,-8.88,-2.15,3.45,0.02,-0.56,-0.12,0.82
7420153,-8.89,-2.40,3.76,0.22,-0.22,-0.02,24.00,-19.38,0.19,-0.03,-0.28,0.22,-8.85,-2.12,3.54,0.02,-0.55,-0.12,0.82
