timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7164611,-6.78,0.82,6.74,-0.04,0.07,0.04,-3.50,-9.31,-39.75,0.10,0.14,0.03,-6.88,0.67,6.71,0.04,-0.39,0.05,0.92
7164651,-7.01,0.78,6.55,-0.05,0.04,0.02,-3.88,-7.94,-41.75,-0.14,0.09,-0.16,-6.87,0.69,6.70,0.04,-0.39,0.05,0.92
7164691,-7.01,0.59,6.55,-0.05,0.03,-0.00,-4.12,-9.06,-42.06,-0.12,-0.11,-0.13,-6.88,0.70,6.68,0.04,-0.39,0.05,0.92
7164731,-7.20,0.47,6.51,-0.05,-0.02,-0.02,-3.44,-8.44,-42.69,-0.30,-0.20,-0.16,-6.90,0.67,6.66,0.04,-0.39,0.05,0.92
7164771,-7.12,0.39,6.78,0.02,-0.04,0.02,-3.25,-9.00,-39.81,-0.21,-0.26,0.11,-6.91,0.66,6.66,0.04,-0.39,0.05,0.92
7164811,-6.89,0.47,6.85,0.02,-0.04,-0.02,-4.06,-9.50,-40.88,0.03,-0.16,0.18,-6.92,0.63,6.67,0.04,-0.39,0.05,0.92
7164851,-6.62,0.55,6.89,0.04,-0.02,-0.05,-2.44,-9.50,-41.31,0.29,-0.06,0.20,-6.91,0.61,6.70,0.04,-0.39,0.05,0.92
7164891,-6.66,0.62,6.73,0.04,-0.03,-0.10,-4.75,-8.62,-43.38,0.23,0.04,0.02,-6.89,0.59,6.72,0.04,-0.39,0.05,0.92
7164931,-6.70,0.62,6.70,-0.01,-0.03,-0.12,-4.06,-9.19,-40.88,0.17,0.06,-0.03,-6.87,0.56,6.73,0.04,-0.39,0.05,0.92
7164971,-6.85,0.55,6.74,0.04,-0.03,-0.12,-3.81,-8.31,-41.06,-0.02,0.02,-0.01,-6.84,0.53,6.75,0.04,-0.39,0.05,0.92
7165011,-6.70,0.47,6.85,0.00,0.06,-0.10,-3.81,-9.94,-41.88,0.13,-0.04,0.10,-6.83,0.51,6.75,0.05,-0.39,0.05,0.92
7165051,-6.86,1.01,6.16,-0.06,0.12,-0.09,-3.81,-8.75,-42.12,-0.01,0.52,-0.55,-6.84,0.48,6.72,0.05,-0.39,0.05,0.92
7165091,-7.28,1.27,5.78,-0.18,0.10,-0.10,-3.88,-7.88,-42.25,-0.41,0.81,-0.88,-6.87,0.46,6.66,0.05,-0.39,0.04,0.92
7165131,-7.74,1.04,5.86,-0.33,0.03,0.00,-4.62,-8.88,-41.00,-0.83,0.65,-0.77,-6.91,0.39,6.62,0.05,-0.39,0.04,0.92
7165171,-8.08,0.62,6.05,-0.23,-0.27,-0.06,-4.06,-7.56,-45.69,-1.21,0.31,-0.62,-6.87,0.31,6.66,0.04,-0.39,0.03,0.92
7165211,-7.36,-0.03,6.81,-0.23,-0.32,0.03,-5.12,-7.88,-44.56,-0.55,-0.29,0.08,-6.80,0.26,6.73,0.04,-0.38,0.03,0.92
7165251,-6.70,-0.22,7.16,-0.18,-0.30,0.01,-5.38,-8.88,-46.12,0.01,-0.44,0.34,-6.71,0.22,6.82,0.04,-0.38,0.03,0.92
7165291,-6.16,-0.18,7.42,-0.13,-0.18,-0.03,-5.38,-7.81,-45.25,0.48,-0.35,0.54,-6.65,0.17,6.88,0.04,-0.37,0.02,0.93
7165332,-5.86,-0.34,7.70,-0.06,-0.04,-0.07,-4.38,-8.06,-46.19,0.77,-0.48,0.80,-6.62,0.14,6.90,0.04,-0.37,0.02,0.93
7165372,-6.16,-0.22,7.46,0.01,0.03,-0.08,-6.06,-6.56,-46.62,0.46,-0.34,0.57,-6.62,0.12,6.90,0.04,-0.37,0.02,0.93
7165412,-6.36,-0.07,7.23,0.05,0.06,-0.11,-5.75,-7.19,-45.94,0.29,-0.18,0.34,-6.64,0.11,6.89,0.04,-0.37,0.02,0.93
7165452,-6.62,-0.03,7.12,0.07,0.06,-0.09,-5.56,-8.00,-43.56,0.04,-0.12,0.25,-6.66,0.09,6.87,0.05,-0.37,0.02,0.93
7165492,-6.82,0.09,6.93,0.05,0.02,-0.08,-4.88,-7.56,-45.25,-0.14,-0.01,0.08,-6.67,0.09,6.85,0.05,-0.38,0.02,0.93
7165533,-6.82,0.39,6.74,-0.01,-0.02,-0.09,-4.94,-8.00,-46.88,-0.14,0.32,-0.12,-6.67,0.08,6.86,0.05,-0.38,0.02,0.93
7165572,-6.78,0.32,6.78,-0.01,-0.05,-0.08,-4.62,-7.31,-45.25,-0.11,0.27,-0.09,-6.66,0.05,6.87,0.05,-0.37,0.02,0.93
7165612,-6.82,0.20,6.85,-0.02,-0.05,-0.06,-5.31,-8.31,-43.50,-0.17,0.17,-0.02,-6.65,0.03,6.88,0.05,-0.37,0.02,0.93
7165652,-6.86,0.28,6.78,-0.02,-0.06,-0.04,-4.94,-7.19,-46.38,-0.21,0.26,-0.11,-6.64,0.02,6.89,0.05,-0.37,0.02,0.93
7165693,-6.78,0.05,6.97,-0.01,-0.06,-0.01,-5.50,-6.81,-47.06,-0.16,0.04,0.06,-6.62,0.01,6.91,0.05,-0.37,0.02,0.93
7165732,-6.66,0.12,6.89,-0.05,-0.05,-0.02,-4.44,-6.81,-47.56,-0.06,0.13,-0.03,-6.60,-0.01,6.92,0.05,-0.37,0.02,0.93
7165772,-6.59,0.01,6.89,-0.08,-0.03,-0.03,-5.50,-7.62,-47.00,0.01,0.04,-0.03,-6.59,-0.02,6.92,0.05,-0.37,0.02,0.93
7165813,-6.59,-0.03,6.89,-0.07,-0.03,-0.06,-6.44,-7.69,-49.25,0.20,-0.21,0.02,-6.79,0.18,6.88,0.05,-0.37,0.02,0.93
7165855,-6.62,-0.34,6.93,-0.09,-0.03,-0.09,-5.31,-6.81,-47.12,0.14,-0.45,0.04,-6.77,0.11,6.89,0.05,-0.37,0.02,0.93
7165893,-6.74,-0.34,7.04,-0.08,-0.05,-0.07,-5.31,-6.75,-47.62,0.00,-0.36,0.14,-6.74,0.02,6.90,0.05,-0.37,0.02,0.93
