timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7730184,-9.78,0.66,-2.99,-0.35,0.08,-0.21,15.69,-14.50,52.38,0.07,0.04,-0.60,-9.73,0.62,-1.62,0.11,-0.74,0.19,0.64
7730221,-9.92,0.55,-2.96,-0.52,-0.11,-0.33,15.69,-14.75,52.44,-0.04,0.13,-1.43,-9.73,0.53,-1.56,0.11,-0.74,0.18,0.64
7730261,-10.04,0.43,-2.50,-0.63,-0.36,-0.33,15.19,-15.12,47.38,-0.28,-0.02,-1.07,-9.76,0.45,-1.42,0.11,-0.74,0.16,0.64
7730301,-10.50,0.55,-3.18,-1.00,-0.56,-0.33,14.50,-15.38,44.00,-0.70,0.18,-2.03,-9.80,0.37,-1.16,0.10,-0.74,0.15,0.65
7730342,-10.39,-0.34,-1.19,-0.89,-1.79,-0.08,14.50,-14.88,38.88,-0.53,-0.72,-0.71,-9.85,0.38,-0.48,0.09,-0.73,0.13,0.67
7730381,-9.20,0.62,1.38,-0.51,-1.25,0.21,15.12,-15.75,39.62,-0.02,-1.10,1.98,-9.87,0.46,0.01,0.09,-0.70,0.12,0.70
7730421,-9.54,0.43,1.57,-0.59,-0.13,0.03,15.75,-14.56,35.56,0.32,-0.03,1.46,-9.87,0.46,0.10,0.08,-0.69,0.11,0.71
7730462,-9.62,0.55,1.03,-0.12,-0.32,-0.01,15.19,-14.62,36.12,0.25,0.09,0.80,-9.87,0.45,0.23,0.07,-0.69,0.10,0.71
7730501,-9.43,0.74,0.61,-0.04,-0.48,-0.10,15.38,-16.06,33.62,0.43,0.33,0.18,-9.86,0.41,0.42,0.07,-0.69,0.10,0.72
7730541,-9.46,0.43,2.98,0.05,-0.78,-0.24,16.81,-14.38,36.25,0.30,0.18,1.01,-9.84,0.33,0.71,0.08,-0.68,0.10,0.72
7730583,-9.08,0.58,3.33,0.45,-0.19,0.03,17.19,-12.19,33.62,0.75,0.23,2.52,-9.84,0.35,0.81,0.08,-0.67,0.10,0.73
7730623,-8.85,0.74,2.75,0.87,-0.09,-0.13,18.50,-13.94,36.88,0.99,0.41,1.92,-9.84,0.33,0.84,0.09,-0.67,0.11,0.73
7730663,-8.70,0.58,2.02,1.03,0.34,-0.34,19.38,-11.88,38.81,1.15,0.36,1.31,-9.85,0.23,0.71,0.11,-0.67,0.12,0.73
