timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7622020,-3.69,1.30,8.23,0.01,0.02,-0.11,35.06,-2.44,-18.00,0.41,0.55,-0.66,-4.10,0.76,8.88,0.27,-0.20,0.10,0.94
7622060,-4.76,0.92,8.65,-0.04,0.11,-0.02,35.50,-2.25,-20.19,-0.62,0.18,-0.22,-4.14,0.74,8.87,0.27,-0.20,0.10,0.94
7622100,-4.84,0.80,8.96,-0.01,0.09,0.11,35.81,-1.56,-19.12,-0.67,0.05,0.10,-4.17,0.75,8.85,0.27,-0.20,0.10,0.94
7622140,-4.95,0.80,8.88,0.01,0.00,0.21,35.88,-2.62,-19.56,-0.76,0.02,0.04,-4.20,0.78,8.84,0.27,-0.20,0.10,0.94
7622180,-4.92,0.88,8.53,-0.10,-0.12,0.19,35.19,-3.44,-16.62,-0.77,0.09,-0.33,-4.15,0.79,8.86,0.27,-0.20,0.10,0.94
7622220,-3.88,0.46,8.38,-0.23,-0.12,0.11,34.75,-2.50,-20.19,0.22,-0.29,-0.50,-4.10,0.75,8.88,0.26,-0.20,0.10,0.94
7622260,-3.73,0.42,8.84,-0.30,-0.02,0.08,34.25,-2.62,-19.12,0.36,-0.23,-0.06,-4.09,0.66,8.90,0.26,-0.20,0.09,0.94
7622300,-3.77,0.50,9.11,-0.28,-0.11,0.07,34.56,-3.56,-18.38,0.31,-0.07,0.20,-4.08,0.57,8.91,0.26,-0.20,0.09,0.94
7622340,-3.73,0.61,9.14,-0.18,-0.15,-0.06,34.62,-3.88,-17.75,0.29,0.13,0.21,-4.02,0.48,8.94,0.26,-0.20,0.08,0.94
7622380,-4.19,0.35,9.64,-0.00,-0.12,-0.02,33.69,-3.38,-19.62,-0.22,-0.12,0.68,-3.97,0.47,8.96,0.26,-0.19,0.08,0.94
7622420,-4.34,0.35,9.34,0.11,-0.15,0.07,33.25,-2.50,-22.56,-0.41,-0.16,0.35,-3.93,0.51,8.98,0.26,-0.19,0.08,0.94
7622460,-4.15,0.42,9.18,0.19,-0.16,0.08,33.56,-3.25,-21.38,-0.28,-0.16,0.18,-3.87,0.58,9.01,0.26,-0.19,0.08,0.94
7622500,-3.92,0.31,9.04,0.25,0.03,0.11,33.75,-3.50,-18.44,-0.06,-0.36,0.02,-3.86,0.67,9.01,0.26,-0.18,0.08,0.94
7622541,-3.65,0.88,8.41,0.23,-0.02,0.07,32.50,-4.00,-21.31,0.21,0.11,-0.57,-3.86,0.77,8.99,0.26,-0.18,0.09,0.94
7622581,-3.73,1.23,8.50,0.08,0.00,0.02,32.88,-3.88,-20.12,0.13,0.41,-0.50,-3.86,0.82,8.99,0.26,-0.18,0.09,0.94
7622621,-4.00,1.04,8.95,0.04,-0.16,0.03,32.62,-3.12,-19.12,-0.18,0.20,-0.05,-3.82,0.84,9.01,0.26,-0.18,0.09,0.94
7622661,-4.00,0.92,9.18,0.03,-0.28,0.04,32.19,-4.62,-17.88,-0.26,0.07,0.14,-3.73,0.85,9.04,0.26,-0.18,0.09,0.95
7622701,-3.65,0.77,9.38,0.02,-0.39,0.03,31.19,-4.31,-20.75,-0.05,-0.10,0.28,-3.60,0.87,9.09,0.26,-0.17,0.09,0.95
7622741,-3.23,0.73,9.38,0.09,-0.21,0.07,30.81,-4.12,-22.50,0.26,-0.17,0.24,-3.49,0.90,9.13,0.26,-0.16,0.09,0.95
7622781,-2.96,1.00,8.91,0.11,-0.19,0.02,30.88,-4.25,-21.44,0.46,0.05,-0.25,-3.42,0.95,9.16,0.25,-0.16,0.09,0.95
7622821,-2.81,1.19,8.80,0.09,-0.08,-0.08,31.81,-4.38,-20.12,0.57,0.22,-0.38,-3.38,0.97,9.18,0.26,-0.16,0.09,0.95
7622861,-3.46,1.15,8.80,0.07,0.20,-0.06,31.44,-4.25,-21.38,-0.04,0.17,-0.36,-3.42,0.98,9.16,0.26,-0.16,0.09,0.95
7622901,-4.15,1.07,8.76,0.00,-0.04,-0.02,31.06,-4.06,-23.12,-0.71,0.10,-0.39,-3.44,0.98,9.15,0.26,-0.16,0.10,0.95
7622941,-3.88,0.73,9.38,0.06,-0.04,0.09,30.50,-3.00,-22.75,-0.47,-0.27,0.23,-3.41,1.00,9.15,0.26,-0.16,0.10,0.95
7622981,-3.61,0.84,8.99,-0.08,-0.01,0.16,32.06,-4.25,-19.00,-0.20,-0.16,-0.16,-3.41,1.01,9.15,0.26,-0.16,0.10,0.95
7623021,-2.96,1.00,9.22,-0.02,-0.20,0.12,31.19,-4.25,-21.38,0.39,-0.01,0.05,-3.35,1.01,9.17,0.25,-0.16,0.09,0.95
7623061,-2.93,1.11,9.30,-0.04,-0.02,0.03,30.56,-3.94,-21.50,0.40,0.11,0.12,-3.33,1.01,9.18,0.25,-0.15,0.09,0.95
7623101,-3.23,1.07,9.30,-0.03,0.04,0.01,29.81,-4.44,-22.00,0.11,0.07,0.12,-3.34,1.00,9.18,0.25,-0.15,0.09,0.95
7623141,-3.54,0.96,9.34,0.05,-0.03,0.04,30.75,-4.50,-18.56,-0.20,-0.05,0.16,-3.34,1.01,9.17,0.25,-0.15,0.09,0.95
7623182,-3.50,0.84,9.14,0.03,-0.02,0.07,30.19,-5.12,-20.69,-0.17,-0.18,-0.03,-3.33,1.02,9.17,0.25,-0.15,0.09,0.95
