timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,label
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z,12
693662,0.64,3.23,8.95,0.09,0.03,-0.37,25.06,-9.81,-11.25,3.38,-0.13,0.31,-2.73,3.36,8.65,0.98,0.16,0.14,0.05,12
693704,-1.27,2.42,10.38,0.48,0.26,-0.39,27.38,-8.88,-13.94,1.57,-1.04,1.81,-2.84,3.46,8.56,0.97,0.16,0.15,0.04,12
693742,-2.57,3.45,8.39,0.12,0.06,-0.30,27.56,-8.94,-12.81,0.37,-0.09,-0.11,-2.95,3.54,8.49,0.97,0.17,0.16,0.04,12
693782,-2.92,3.30,9.03,0.03,-0.08,-0.04,28.69,-9.25,-10.81,0.02,-0.25,0.54,-2.94,3.55,8.49,0.97,0.17,0.16,0.03,12
693822,-2.27,3.38,8.85,-0.13,0.02,-0.10,29.81,-7.38,-11.19,0.65,-0.14,0.34,-2.92,3.52,8.51,0.97,0.17,0.16,0.03,12
693865,-1.89,3.26,9.23,-0.02,0.13,-0.16,27.12,-9.88,-12.06,1.07,-0.22,0.72,-2.95,3.48,8.51,0.97,0.17,0.16,0.03,12
693902,-2.46,3.15,9.15,0.08,0.22,-0.02,27.25,-9.62,-11.38,0.55,-0.32,0.66,-3.02,3.47,8.49,0.97,0.17,0.16,0.03,12
693942,-2.61,3.30,8.81,0.05,-0.04,0.00,27.56,-7.88,-11.12,0.43,-0.21,0.34,-3.05,3.51,8.47,0.97,0.17,0.16,0.03,12
693982,-2.08,3.45,9.15,0.22,-0.53,-0.21,28.25,-8.94,-11.62,0.85,-0.06,0.65,-2.93,3.52,8.50,0.97,0.17,0.16,0.03,12
