timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
6068583,-7.29,-6.18,0.45,-0.01,-0.01,0.01,17.81,3.81,-2.00,0.15,0.08,0.02,-7.45,-6.27,0.42,0.35,-0.68,-0.13,0.63
6068623,-7.45,-6.26,0.25,-0.03,-0.05,-0.03,18.25,2.62,0.44,0.07,-0.01,-0.09,-7.44,-6.25,0.42,0.35,-0.68,-0.13,0.63
6068663,-7.41,-6.30,0.37,-0.03,-0.09,-0.03,18.31,3.31,-3.00,-0.02,-0.02,-0.17,-7.42,-6.24,0.42,0.35,-0.68,-0.13,0.63
6068703,-7.48,-6.30,0.45,-0.05,-0.05,0.00,17.44,4.38,-2.69,-0.07,-0.05,0.03,-7.41,-6.25,0.41,0.35,-0.68,-0.14,0.63
6068743,-7.37,-6.11,0.45,-0.05,-0.01,0.03,17.38,4.81,-3.88,0.05,0.14,0.05,-7.42,-6.25,0.40,0.35,-0.68,-0.14,0.63
6068783,-7.49,-6.11,0.33,-0.08,-0.06,-0.01,17.19,3.88,-2.62,0.04,0.24,-0.11,-7.41,-6.23,0.40,0.35,-0.68,-0.14,0.63
6068823,-7.56,-6.38,0.45,-0.08,-0.11,-0.02,18.06,3.00,-2.88,-0.07,0.11,-0.07,-7.41,-6.22,0.40,0.35,-0.68,-0.14,0.63
6068863,-7.64,-6.53,0.52,-0.07,-0.12,-0.03,17.94,4.25,-4.25,-0.22,-0.31,0.11,-7.41,-6.22,0.41,0.35,-0.68,-0.14,0.63
6068903,-7.68,-6.45,0.67,-0.05,-0.04,0.10,17.94,4.25,-4.25,-0.22,-0.23,0.25,-7.45,-6.22,0.42,0.34,-0.68,-0.14,0.64
6068943,-7.25,-6.14,0.56,-0.02,-0.06,0.06,18.81,3.69,0.88,0.12,0.03,0.18,-7.49,-6.21,0.46,0.34,-0.68,-0.14,0.64
6068983,-7.18,-6.14,0.45,0.01,-0.04,0.07,17.31,4.62,-4.94,0.26,0.06,0.07,-7.52,-6.20,0.48,0.34,-0.68,-0.14,0.64
6069023,-7.07,-6.18,0.21,-0.01,-0.02,0.03,18.69,3.81,-5.81,0.44,0.01,-0.29,-7.50,-6.20,0.50,0.34,-0.68,-0.14,0.64
6069066,-7.18,-6.26,0.52,-0.07,-0.04,-0.00,18.00,3.38,-3.56,0.29,-0.11,-0.28,-7.46,-6.20,0.49,0.34,-0.67,-0.14,0.64
6069103,-7.25,-6.22,0.67,-0.11,0.03,-0.03,18.69,3.44,-1.88,0.23,-0.06,0.07,-7.41,-6.20,0.45,0.34,-0.68,-0.14,0.64
6069143,-7.37,-6.30,0.71,-0.03,-0.02,-0.05,18.19,4.06,-4.75,0.11,0.00,0.24,-7.37,-6.23,0.43,0.34,-0.68,-0.14,0.64
6069183,-7.56,-6.38,0.67,-0.03,0.02,-0.04,17.38,3.50,-4.75,-0.23,-0.12,0.23,-7.33,-6.25,0.44,0.34,-0.68,-0.14,0.64
6069224,-7.49,-6.30,0.71,0.01,0.04,-0.01,17.50,3.31,-3.00,-0.16,-0.04,0.25,-7.33,-6.27,0.46,0.34,-0.68,-0.14,0.64
6069263,-7.75,-6.45,0.52,0.06,0.01,-0.01,17.88,3.38,-0.75,-0.22,-0.03,0.11,-7.34,-6.27,0.49,0.34,-0.68,-0.14,0.64
