timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
5614922,-3.80,0.42,9.22,-0.01,-0.01,0.02,22.25,-0.25,17.38,0.04,0.01,0.15,-3.84,0.41,9.07,0.38,-0.18,0.10,0.90
5614962,-4.00,0.39,8.95,0.00,0.04,0.00,21.44,-0.94,18.69,-0.03,0.00,0.02,-3.85,0.42,9.08,0.38,-0.18,0.10,0.90
5615002,-3.80,0.42,8.88,0.01,-0.03,0.02,22.50,-0.19,19.06,0.05,0.00,-0.21,-3.85,0.42,9.09,0.38,-0.18,0.10,0.90
5615042,-3.73,0.42,8.91,-0.04,-0.01,-0.00,21.50,-0.62,18.19,0.12,0.01,-0.17,-3.85,0.41,9.08,0.38,-0.18,0.10,0.90
5615083,-4.00,0.39,9.18,-0.03,0.01,-0.03,20.75,-2.00,16.94,-0.14,-0.00,0.12,-3.85,0.39,9.06,0.38,-0.18,0.10,0.90
5615123,-3.84,0.39,8.95,0.00,0.01,0.05,20.69,-2.69,17.75,-0.24,-0.01,0.04,-3.87,0.40,9.06,0.38,-0.18,0.10,0.90
5615163,-3.69,0.39,9.06,-0.05,-0.01,0.02,20.81,-0.31,17.00,0.18,0.00,0.01,-3.88,0.38,9.05,0.38,-0.18,0.10,0.90
5615203,-3.77,0.39,9.22,-0.03,-0.02,-0.00,21.94,0.06,17.81,0.09,0.02,0.16,-3.86,0.37,9.05,0.38,-0.18,0.10,0.90
5615243,-3.92,0.39,9.33,0.02,0.01,0.00,21.94,-0.31,16.56,-0.06,0.01,0.27,-3.86,0.38,9.06,0.38,-0.18,0.10,0.90
5615284,-3.84,0.39,9.07,0.02,0.00,0.01,20.88,0.00,17.06,-0.03,0.01,0.10,-3.85,0.38,9.08,0.38,-0.18,0.10,0.90
5615323,-3.92,0.35,9.18,0.01,0.01,0.00,21.56,0.38,17.81,0.02,0.00,-0.02,-3.86,0.38,9.09,0.38,-0.18,0.10,0.90
5615363,-3.84,0.35,9.07,0.03,0.01,0.01,20.88,-1.06,15.69,0.02,-0.05,-0.03,-3.87,0.40,9.09,0.38,-0.18,0.10,0.90
5615403,-3.80,0.35,9.03,0.02,0.04,0.01,21.94,0.38,17.44,0.06,-0.05,-0.07,-3.87,0.40,9.09,0.38,-0.18,0.10,0.90
5615445,-3.84,0.39,9.07,-0.02,-0.00,0.00,20.50,-0.31,17.06,0.02,-0.01,-0.14,-3.87,0.40,9.09,0.38,-0.18,0.10,0.90
