timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
6543581,-6.02,-0.82,-2.37,-0.79,-2.87,-3.03,21.00,-20.62,-6.25,3.33,-3.28,-2.37,-9.34,2.45,0.00,0.07,-0.67,0.30,0.68
6543622,-8.82,-1.32,-1.07,-0.36,-4.78,-2.50,24.62,-19.00,-9.50,0.55,-2.82,-2.79,-9.37,1.49,1.73,0.12,-0.63,0.25,0.73
6543662,-12.60,-1.40,1.88,-1.19,-6.06,-1.91,26.19,-16.06,-14.25,-3.75,-2.07,-1.77,-8.86,0.67,3.65,0.18,-0.56,0.19,0.78
6543702,-12.14,-0.33,10.62,-1.68,-0.10,-0.86,26.44,-12.94,-17.00,-3.33,-0.38,6.85,-8.81,0.05,3.77,0.19,-0.52,0.14,0.82
6543742,-13.10,-0.10,4.72,-0.95,0.73,-1.58,27.06,-12.88,-21.38,-4.24,0.50,1.15,-8.86,-0.59,3.57,0.19,-0.55,0.11,0.81
6543782,-12.11,-0.33,3.15,-0.50,-2.68,-0.35,27.25,-12.38,-23.12,-3.64,0.51,-1.23,-8.47,-0.84,4.38,0.20,-0.53,0.08,0.82
6543822,-8.77,0.25,5.10,-0.66,-1.11,-0.57,27.56,-11.00,-26.12,-0.54,1.38,0.36,-8.23,-1.13,4.74,0.21,-0.50,0.06,0.84
6543862,-8.96,-1.17,5.56,-0.45,-0.38,-0.91,27.50,-9.31,-25.88,-0.86,0.35,0.71,-8.11,-1.52,4.85,0.22,-0.49,0.04,0.84
6543902,-9.93,-2.55,6.18,-1.02,-0.79,-1.25,27.44,-8.06,-26.62,-1.99,-0.46,1.22,-7.93,-2.09,4.95,0.23,-0.49,0.02,0.84
6543942,-13.25,-4.12,10.27,-1.01,2.08,-0.17,27.81,-7.00,-29.50,-5.00,-1.79,5.99,-8.26,-2.34,4.28,0.23,-0.50,-0.01,0.83
6543982,-12.38,-3.01,7.79,0.11,1.64,0.58,28.62,-6.69,-29.50,-3.77,-0.88,4.09,-8.61,-2.13,3.70,0.22,-0.54,-0.00,0.81
6544022,-14.14,-3.47,7.90,0.27,2.52,1.61,28.19,-9.50,-24.06,-5.07,-1.92,5.05,-9.07,-1.55,2.84,0.21,-0.57,0.02,0.80
6544062,-13.21,-2.78,6.10,1.17,2.94,2.23,27.00,-11.12,-21.69,-3.74,-2.16,4.28,-9.48,-0.62,1.82,0.18,-0.61,0.06,0.77
6544102,-10.96,-1.29,2.42,1.14,2.55,2.29,25.44,-13.38,-15.44,-1.29,-1.61,1.59,-9.66,0.33,0.84,0.16,-0.64,0.12,0.74
