timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1808876,-0.16,-3.48,9.46,0.04,-0.02,-0.07,31.56,36.44,-11.88,0.26,0.06,0.09,-0.3,-3.34,9.18,0.95,-0.17,-0.03,0.27
1808916,-0.31,-3.48,9.28,0.05,0.05,-0.09,32.81,36.25,-12.12,-0.02,-0.16,0.09,-0.29,-3.32,9.19,0.95,-0.17,-0.03,0.27
1808957,-0.54,-3.36,9.12,0.05,0.05,-0.05,31.5,35.81,-11.88,-0.24,-0.06,-0.07,-0.3,-3.3,9.2,0.95,-0.17,-0.03,0.27
1808997,-0.58,-3.21,9.04,0.01,0.02,-0.0,32.25,36.44,-10.75,-0.27,0.08,-0.15,-0.31,-3.29,9.2,0.95,-0.17,-0.03,0.27
1809037,-0.46,-3.17,9.12,-0.02,0.01,0.02,33.06,36.19,-10.62,-0.27,0.08,-0.07,-0.31,-3.29,9.2,0.95,-0.17,-0.03,0.27
1809077,-0.43,-3.17,9.27,-0.05,0.02,0.01,31.94,35.56,-11.81,-0.1,0.12,0.09,-0.33,-3.3,9.19,0.95,-0.17,-0.03,0.27
1809117,-0.5,-3.4,9.5,0.01,-0.02,0.05,31.88,36.19,-12.56,-0.18,-0.09,0.32,-0.33,-3.3,9.19,0.95,-0.17,-0.03,0.27
1809157,-0.35,-3.52,9.46,0.03,0.03,0.07,32.0,35.56,-11.44,-0.01,-0.22,0.28,-0.34,-3.3,9.19,0.95,-0.17,-0.03,0.27
1809197,-0.2,-3.32,9.28,0.06,0.0,0.01,32.88,35.62,-11.38,0.12,-0.15,0.23,-0.35,-3.29,9.2,0.95,-0.17,-0.03,0.27
1809237,-0.23,-3.25,9.12,0.03,-0.0,-0.05,30.44,35.19,-12.38,0.12,0.02,-0.08,-0.35,-3.27,9.2,0.95,-0.17,-0.03,0.27
1809277,-0.39,-3.29,9.12,0.03,0.02,-0.01,30.62,36.38,-12.0,-0.04,-0.03,-0.08,-0.34,-3.26,9.2,0.95,-0.17,-0.03,0.27
1809317,-0.54,-3.32,9.16,0.01,0.02,0.02,32.38,35.0,-11.06,-0.19,-0.07,-0.05,-0.35,-3.25,9.21,0.95,-0.17,-0.03,0.27
1809357,-0.39,-3.25,9.16,-0.0,0.01,0.02,32.31,35.0,-11.38,-0.14,-0.04,-0.13,-0.37,-3.25,9.21,0.95,-0.17,-0.03,0.27
1809397,-0.39,-3.21,9.23,-0.02,-0.02,-0.02,33.19,35.69,-12.38,-0.02,0.04,0.02,-0.37,-3.25,9.21,0.95,-0.17,-0.03,0.27
1809437,-0.62,-3.21,9.42,-0.02,0.01,0.06,32.38,35.56,-11.44,-0.26,0.05,0.21,-0.36,-3.26,9.21,0.95,-0.17,-0.03,0.27
1809477,-0.46,-3.32,9.5,0.06,0.02,0.02,33.19,36.19,-9.94,-0.1,-0.0,0.25,-0.37,-3.32,9.25,0.95,-0.17,-0.03,0.27
1809517,-0.39,-3.44,9.36,0.21,0.06,0.04,32.19,35.94,-12.88,-0.19,-0.21,0.46,-0.39,-3.3,9.27,0.95,-0.17,-0.03,0.27
1809557,-0.31,-3.29,9.08,0.05,0.11,-0.04,33.0,35.38,-13.12,0.11,-0.04,-0.22,-0.42,-3.25,9.3,0.95,-0.17,-0.03,0.27
1809597,-0.35,-3.25,9.32,0.14,0.05,-0.07,31.75,35.56,-12.94,0.11,-0.02,0.0,-0.45,-3.23,9.31,0.95,-0.16,-0.02,0.27
1809637,-0.43,-3.17,9.12,-0.22,0.14,-0.24,32.5,36.19,-11.06,0.04,0.03,-0.21,-0.47,-3.2,9.33,0.95,-0.16,-0.02,0.27
1809678,-1.04,-3.86,10.12,0.21,0.31,-0.05,31.5,35.81,-11.88,-0.48,-0.16,0.54,-0.52,-3.27,9.3,0.95,-0.17,-0.02,0.26
1809717,-0.58,-3.4,8.73,0.12,0.16,0.07,32.56,35.69,-13.25,0.03,-0.23,-0.6,-0.61,-3.17,9.34,0.95,-0.16,-0.01,0.26
