timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7591900,-2.84,2.32,8.92,-0.29,-0.16,0.12,26.31,-8.12,-22.81,-0.01,0.15,-0.22,-2.83,2.17,9.15,0.21,-0.12,0.14,0.96
7591940,-2.88,2.17,8.89,-0.57,-0.12,0.26,25.75,-8.94,-23.81,-0.12,0.16,-0.32,-2.76,2.02,9.2,0.21,-0.12,0.14,0.96
7591980,-2.99,1.75,8.84,-0.88,-0.2,0.41,25.69,-8.5,-25.06,-0.32,-0.02,-0.43,-2.66,1.77,9.28,0.2,-0.12,0.12,0.96
7592020,-3.3,1.4,9.2,-0.88,-0.06,0.82,25.12,-9.0,-25.5,-0.73,-0.11,-0.16,-2.57,1.51,9.35,0.19,-0.12,0.11,0.97
7592060,-3.18,1.18,9.27,-0.54,0.23,0.61,25.38,-9.38,-27.12,-0.58,-0.14,-0.11,-2.6,1.32,9.38,0.17,-0.12,0.09,0.97
7592100,-3.87,1.02,9.38,-0.45,0.5,0.78,23.88,-9.94,-23.81,-1.12,-0.2,0.05,-2.75,1.22,9.34,0.16,-0.13,0.09,0.98
7592142,-3.87,1.06,9.58,-0.3,0.05,0.98,23.81,-9.25,-25.06,-1.1,-0.14,0.24,-2.77,1.2,9.34,0.14,-0.13,0.08,0.98
7592180,-3.37,0.91,10.38,-0.01,-0.39,0.81,22.5,-10.94,-24.38,-0.74,-0.35,1.01,-2.63,1.26,9.38,0.12,-0.13,0.08,0.98
7592220,-3.18,0.79,10.57,0.19,-0.53,0.93,21.06,-10.31,-25.12,-0.78,-0.61,1.15,-2.4,1.41,9.42,0.1,-0.12,0.08,0.98
7592260,-2.76,1.06,10.04,0.12,-0.57,1.01,20.62,-12.0,-24.88,-0.62,-0.5,0.57,-2.14,1.55,9.46,0.09,-0.1,0.09,0.99
7592301,-2.41,1.59,8.62,-0.04,-0.54,1.29,18.56,-11.12,-26.88,-0.55,-0.05,-0.89,-1.86,1.64,9.51,0.06,-0.09,0.09,0.99
7592343,-2.3,2.09,8.04,-0.42,-0.52,1.49,16.69,-11.75,-25.81,-0.71,0.47,-1.52,-1.59,1.62,9.56,0.04,-0.08,0.09,0.99
