timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
6511124,-3.13,2.69,8.83,-0.01,0.04,-0.04,20.31,-7.5,-38.38,-0.04,-0.04,0.05,-3.09,2.73,8.77,0.27,-0.11,0.18,0.94
6511166,-3.09,2.69,8.71,0.02,0.04,-0.04,20.38,-8.25,-37.12,0.02,-0.04,-0.04,-3.11,2.73,8.76,0.27,-0.12,0.18,0.94
6511204,-3.02,2.69,8.75,0.0,-0.06,-0.04,20.12,-8.75,-37.06,0.1,-0.03,-0.01,-3.12,2.72,8.77,0.27,-0.12,0.18,0.94
6511244,-3.13,2.69,8.79,0.0,-0.04,-0.03,20.5,-8.94,-35.31,-0.04,-0.01,0.02,-3.09,2.7,8.77,0.27,-0.12,0.18,0.94
6511284,-3.25,2.65,8.83,0.05,-0.02,0.03,19.75,-8.06,-38.31,-0.16,-0.06,0.06,-3.09,2.71,8.77,0.27,-0.11,0.18,0.94
6511327,-3.06,2.73,8.67,0.06,-0.08,0.02,20.56,-8.12,-38.19,0.03,0.0,-0.1,-3.09,2.73,8.77,0.27,-0.11,0.18,0.94
6511364,-3.06,2.73,8.71,0.08,-0.08,0.03,20.62,-8.75,-37.56,-0.01,-0.03,-0.06,-3.05,2.76,8.77,0.27,-0.11,0.19,0.94
6511404,-3.06,2.69,8.75,-0.01,-0.05,-0.0,21.88,-8.19,-35.38,-0.04,-0.07,-0.02,-3.02,2.77,8.77,0.27,-0.11,0.19,0.94
6511444,-2.94,2.84,8.71,-0.01,0.04,-0.01,21.5,-9.56,-38.5,0.09,0.09,-0.06,-3.03,2.76,8.77,0.28,-0.11,0.19,0.94
6511487,-2.83,2.77,8.68,-0.11,-0.03,-0.08,21.12,-8.12,-38.81,0.21,0.02,-0.11,-3.04,2.74,8.78,0.28,-0.11,0.18,0.94
6511524,-3.13,2.69,8.98,-0.16,0.07,-0.08,19.81,-9.25,-38.06,-0.09,0.01,0.18,-3.05,2.68,8.8,0.28,-0.11,0.18,0.94
6511564,-3.17,2.65,8.98,-0.03,0.1,0.02,21.12,-9.69,-34.06,-0.09,0.02,0.18,-3.09,2.63,8.8,0.28,-0.11,0.18,0.94
6511604,-3.17,2.61,8.79,-0.04,0.04,-0.04,20.94,-9.0,-38.06,-0.06,-0.01,0.0,-3.11,2.62,8.79,0.28,-0.12,0.18,0.94
6511644,-2.98,2.61,8.68,-0.06,-0.03,-0.02,20.56,-7.56,-37.81,0.14,0.0,-0.11,-3.12,2.61,8.79,0.28,-0.12,0.18,0.94
6511684,-3.21,2.61,8.98,-0.12,-0.0,0.02,21.5,-8.75,-37.5,-0.09,0.04,0.18,-3.12,2.57,8.8,0.28,-0.12,0.18,0.94
6511724,-3.21,2.54,8.83,-0.04,0.08,0.15,21.12,-9.06,-34.12,-0.09,-0.02,0.02,-3.12,2.55,8.81,0.28,-0.12,0.18,0.94
6511764,-3.02,2.61,8.79,0.0,-0.01,0.03,20.94,-8.44,-37.62,0.1,0.06,-0.02,-3.12,2.55,8.8,0.27,-0.12,0.18,0.94
6511804,-3.02,2.65,8.87,-0.12,0.02,-0.02,21.06,-7.5,-38.88,0.1,0.12,0.05,-3.12,2.53,8.81,0.27,-0.12,0.18,0.94
6511844,-3.32,2.42,8.95,-0.26,0.2,-0.19,21.06,-7.5,-38.88,-0.15,-0.05,0.13,-3.17,2.47,8.81,0.27,-0.12,0.17,0.94
6511884,-2.86,2.54,8.71,-1.13,0.2,-1.54,20.56,-7.56,-37.81,0.46,0.4,-0.13,-3.32,2.13,8.84,0.29,-0.13,0.16,0.94
6511928,-3.13,2.12,9.05,-1.13,0.54,-0.98,23.38,-6.75,-41.56,0.41,0.64,0.17,-3.55,1.48,8.89,0.31,-0.15,0.13,0.93
6511964,-4.59,1.04,9.18,-1.34,0.62,-1.41,22.75,-6.88,-43.31,-0.76,0.09,0.32,-3.83,0.95,8.85,0.32,-0.17,0.11,0.92
6512004,-4.59,0.32,9.02,-1.08,0.84,-0.53,24.81,-3.56,-43.06,-0.48,0.0,0.25,-4.11,0.31,8.77,0.34,-0.2,0.09,0.92
6512044,-4.25,0.12,8.45,-1.18,0.91,-0.88,25.69,-3.06,-42.56,0.17,0.28,-0.18,-4.41,-0.16,8.62,0.34,-0.22,0.07,0.91
6512090,-4.66,-0.49,8.67,-1.45,1.14,-0.41,26.94,-2.12,-44.25,0.18,0.38,0.32,-4.84,-0.87,8.35,0.35,-0.25,0.05,0.9
6512130,-4.89,-0.91,8.41,-0.93,0.99,0.09,30.44,-2.44,-44.94,0.3,0.34,0.31,-5.2,-1.25,8.09,0.34,-0.28,0.04,0.9
6512170,-5.01,-1.41,8.25,-0.99,0.72,0.01,30.38,-1.81,-45.62,0.43,0.15,0.38,-5.44,-1.56,7.88,0.34,-0.3,0.03,0.89
6512210,-5.09,-1.45,8.14,-0.46,0.56,0.28,32.31,-2.19,-45.44,0.55,0.27,0.45,-5.64,-1.72,7.7,0.33,-0.32,0.02,0.89
6512251,-5.47,-1.22,7.76,-0.07,0.12,0.31,33.0,-0.12,-46.81,0.25,0.48,0.11,-5.72,-1.7,7.65,0.32,-0.32,0.02,0.89
6512291,-5.47,-1.56,7.72,-0.07,-0.02,0.22,32.81,-2.88,-47.5,0.27,0.1,0.08,-5.74,-1.66,7.64,0.32,-0.33,0.02,0.89
6512331,-5.51,-1.37,7.57,-0.01,-0.13,0.09,34.12,-2.56,-48.5,0.21,0.25,-0.1,-5.72,-1.62,7.66,0.31,-0.32,0.02,0.89
6512371,-5.39,-1.22,7.45,0.1,-0.15,-0.13,33.62,-2.44,-46.31,0.28,0.4,-0.25,-5.67,-1.62,7.7,0.31,-0.32,0.02,0.89
6512412,-5.62,-1.68,7.83,0.17,-0.27,-0.01,34.12,-2.25,-48.56,-0.03,-0.1,0.07,-5.59,-1.58,7.77,0.32,-0.32,0.02,0.89
6512451,-5.39,-1.45,7.95,-0.05,-0.1,-0.04,33.06,-1.75,-47.56,0.15,0.12,0.14,-5.55,-1.57,7.8,0.32,-0.31,0.02,0.9
6512492,-5.59,-1.64,7.91,0.02,-0.04,-0.1,33.44,-2.38,-50.25,-0.05,-0.05,0.1,-5.53,-1.59,7.81,0.32,-0.31,0.02,0.9
6512531,-5.62,-1.75,8.06,0.13,-0.06,-0.04,32.75,-1.94,-48.19,-0.11,-0.18,0.24,-5.52,-1.57,7.82,0.32,-0.31,0.02,0.89
6512572,-5.66,-1.71,8.06,0.09,-0.03,-0.02,34.5,-3.31,-46.62,-0.16,-0.18,0.22,-5.5,-1.53,7.84,0.32,-0.31,0.02,0.89
6512612,-5.47,-1.45,7.91,0.06,-0.07,0.03,33.69,-2.0,-50.81,0.02,0.05,0.04,-5.48,-1.49,7.87,0.32,-0.31,0.02,0.9
6512651,-5.7,-1.79,8.02,0.07,-0.07,0.17,32.31,-1.19,-50.06,-0.23,-0.35,0.14,-5.47,-1.45,7.88,0.32,-0.31,0.02,0.9
6512692,-5.59,-1.56,8.03,0.06,-0.02,0.15,33.06,-2.62,-47.5,-0.12,-0.18,0.12,-5.46,-1.38,7.91,0.32,-0.3,0.03,0.9
6512732,-5.28,-1.1,7.87,0.2,-0.08,0.05,33.5,-2.19,-49.12,0.17,0.22,-0.05,-5.45,-1.32,7.92,0.32,-0.3,0.03,0.9
