timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7522368,-4.99,-2.03,8.98,0.43,-0.40,0.04,25.44,-8.19,-18.94,-0.32,-0.60,0.46,-4.66,-1.43,8.52,0.11,-0.25,-0.05,0.96
7522409,-4.99,-1.80,8.67,0.37,-0.65,0.09,25.00,-8.44,-22.25,-0.52,-0.52,0.02,-4.47,-1.28,8.65,0.11,-0.24,-0.04,0.96
7522451,-3.84,-1.07,9.02,0.29,-0.55,0.08,23.50,-7.38,-24.25,0.44,0.09,0.26,-4.28,-1.16,8.76,0.11,-0.23,-0.04,0.97
7522488,-3.68,-0.88,8.90,0.28,-0.39,0.07,23.81,-9.25,-25.06,0.44,0.17,0.04,-4.12,-1.05,8.86,0.11,-0.22,-0.03,0.97
7522529,-3.61,-0.50,8.48,0.23,-0.45,0.06,23.75,-8.19,-24.75,0.38,0.46,-0.45,-3.98,-0.96,8.93,0.10,-0.21,-0.03,0.97
7522569,-3.46,-0.04,8.29,0.12,-0.53,-0.02,23.38,-7.19,-26.00,0.34,0.88,-0.73,-3.80,-0.91,9.02,0.11,-0.20,-0.03,0.97
7522609,-3.99,-0.46,9.21,0.07,-0.64,0.04,22.19,-7.38,-28.94,-0.42,0.43,0.10,-3.57,-0.89,9.11,0.10,-0.19,-0.03,0.98
7522649,-4.22,-0.54,9.48,0.13,-0.69,0.06,21.94,-8.00,-28.81,-0.89,0.30,0.27,-3.34,-0.84,9.20,0.10,-0.18,-0.03,0.98
7522689,-4.11,-0.69,10.09,0.31,-0.68,0.09,21.31,-7.62,-29.50,-1.02,0.04,0.79,-3.09,-0.73,9.30,0.10,-0.16,-0.02,0.98
7522729,-3.80,-0.69,10.32,0.51,-0.54,0.22,20.94,-7.69,-31.06,-0.93,-0.15,0.93,-2.88,-0.54,9.39,0.10,-0.15,-0.01,0.98
7522771,-3.30,-0.35,9.48,0.59,-0.53,0.27,20.00,-6.81,-34.19,-0.60,-0.05,0.02,-2.70,-0.30,9.46,0.10,-0.14,-0.00,0.99
7522809,-2.77,-0.23,9.32,0.66,-0.40,0.32,18.69,-8.25,-33.44,-0.23,-0.22,-0.18,-2.53,-0.01,9.51,0.09,-0.13,0.01,0.99
7522849,-2.30,0.15,8.90,0.61,-0.25,0.33,18.75,-8.31,-32.31,0.12,-0.11,-0.64,-2.43,0.27,9.54,0.09,-0.12,0.02,0.99
7522889,-1.89,0.30,8.75,0.56,-0.11,0.18,18.50,-8.19,-31.25,0.49,-0.20,-0.80,-2.38,0.50,9.55,0.08,-0.12,0.03,0.99
7522928,-2.04,0.04,8.71,0.58,-0.17,0.18,18.19,-7.75,-32.50,0.29,-0.69,-0.84,-2.33,0.73,9.55,0.08,-0.11,0.04,0.99
7522969,-1.92,-0.00,8.64,0.61,-0.14,0.09,17.88,-7.44,-32.56,0.35,-0.97,-0.91,-2.27,0.97,9.54,0.08,-0.11,0.06,0.99
7523009,-2.77,0.42,7.95,0.45,-0.50,0.09,17.44,-8.69,-31.25,-0.60,-0.77,-1.59,-2.16,1.19,9.53,0.08,-0.11,0.07,0.99
7523049,-2.42,0.61,7.33,0.19,-1.31,0.15,16.19,-10.50,-29.44,-0.73,-0.66,-2.28,-1.69,1.27,9.61,0.08,-0.08,0.07,0.99
7523089,-0.31,1.03,9.32,-0.20,-0.19,0.21,15.75,-8.81,-32.50,1.18,-0.22,-0.32,-1.49,1.25,9.64,0.08,-0.07,0.07,0.99
7523129,-0.62,1.45,9.60,-0.35,0.32,0.17,15.12,-8.62,-33.69,0.94,0.32,-0.04,-1.56,1.13,9.63,0.08,-0.07,0.07,0.99
7523169,-1.00,1.68,9.62,-0.26,-0.22,-0.11,15.94,-8.12,-33.12,0.54,0.67,-0.01,-1.55,1.02,9.64,0.07,-0.07,0.06,0.99
7523209,-1.00,1.11,10.36,-0.12,-0.01,-0.07,14.94,-9.31,-32.50,0.51,0.16,0.71,-1.52,0.95,9.65,0.08,-0.07,0.06,0.99
7523250,-1.20,1.30,9.62,-0.17,0.12,-0.15,16.50,-8.62,-34.19,0.37,0.42,-0.01,-1.56,0.88,9.64,0.08,-0.07,0.05,0.99
7523290,-1.54,0.84,9.28,-0.06,-0.12,-0.21,15.44,-8.44,-33.12,0.01,0.00,-0.36,-1.55,0.84,9.65,0.08,-0.07,0.05,0.99
7523330,-1.73,0.84,8.79,0.07,-0.71,-0.47,15.94,-7.62,-32.69,-0.37,0.02,-0.88,-1.36,0.82,9.67,0.09,-0.07,0.05,0.99
7523370,-1.58,0.96,8.75,-0.04,-1.21,-0.49,16.31,-8.38,-30.88,-0.65,0.15,-0.97,-0.93,0.80,9.72,0.10,-0.05,0.05,0.99
7523410,-0.81,0.38,10.32,-0.12,-0.72,-0.29,14.94,-6.69,-36.31,-0.20,-0.37,0.58,-0.62,0.75,9.74,0.11,-0.03,0.04,0.99
7523450,-0.54,0.19,10.71,-0.06,-0.33,-0.21,16.50,-5.56,-36.94,-0.08,-0.54,0.95,-0.46,0.73,9.75,0.11,-0.02,0.04,0.99
