timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
6441891,-7.50,-2.63,5.01,0.28,-0.02,-0.01,35.38,-4.38,-30.38,0.07,0.21,-0.36,-7.57,-2.84,5.38,0.25,-0.47,-0.04,0.85
6441933,-8.31,-3.36,5.39,0.25,-0.02,-0.13,34.25,-4.12,-29.44,-0.75,-0.54,-0.00,-7.55,-2.81,5.40,0.25,-0.47,-0.03,0.85
6441971,-8.20,-2.82,5.05,0.17,-0.08,0.08,35.50,-3.62,-26.69,-0.66,-0.07,-0.39,-7.54,-2.75,5.44,0.25,-0.47,-0.03,0.85
6442011,-7.58,-2.32,5.55,0.04,-0.07,-0.03,34.44,-3.19,-30.62,-0.05,0.44,0.09,-7.53,-2.76,5.46,0.25,-0.47,-0.03,0.85
6442051,-7.66,-2.59,5.82,0.09,-0.08,-0.08,34.31,-4.50,-28.88,-0.15,0.16,0.32,-7.51,-2.75,5.50,0.25,-0.46,-0.03,0.85
6442091,-7.77,-2.86,5.66,0.07,-0.05,-0.04,35.62,-4.12,-29.88,-0.28,-0.11,0.15,-7.49,-2.75,5.52,0.26,-0.46,-0.03,0.85
6442131,-7.70,-2.82,5.62,0.04,-0.02,-0.01,35.50,-4.31,-27.69,-0.20,-0.07,0.10,-7.49,-2.75,5.52,0.26,-0.46,-0.03,0.85
6442171,-7.85,-3.12,5.86,0.11,-0.13,0.11,35.31,-3.31,-30.00,-0.38,-0.42,0.29,-7.47,-2.70,5.56,0.26,-0.46,-0.03,0.85
6442211,-7.58,-2.93,5.82,0.12,-0.03,0.09,35.81,-3.50,-30.50,-0.10,-0.28,0.23,-7.48,-2.66,5.59,0.26,-0.46,-0.02,0.85
6442251,-7.16,-2.44,5.70,0.08,0.03,-0.03,35.44,-4.56,-28.75,0.32,0.21,0.12,-7.48,-2.65,5.59,0.26,-0.46,-0.02,0.85
6442291,-7.39,-2.74,5.43,0.04,-0.02,-0.10,35.12,-4.44,-29.31,0.08,-0.07,-0.16,-7.47,-2.67,5.59,0.26,-0.46,-0.02,0.85
6442332,-7.23,-2.74,5.74,0.03,-0.12,-0.16,35.94,-5.12,-29.12,0.20,-0.03,0.12,-7.44,-2.71,5.62,0.26,-0.46,-0.02,0.85
6442372,-7.20,-2.89,6.24,0.11,-0.05,-0.15,35.94,-4.50,-29.25,0.21,-0.17,0.58,-7.41,-2.73,5.66,0.26,-0.46,-0.02,0.85
6442412,-7.47,-3.09,6.12,0.21,-0.00,-0.07,35.69,-4.81,-29.19,-0.08,-0.38,0.44,-7.39,-2.70,5.69,0.27,-0.45,-0.02,0.85
6442452,-7.35,-2.74,5.86,0.19,-0.10,-0.04,35.94,-3.94,-28.81,0.02,-0.08,0.12,-7.37,-2.66,5.73,0.27,-0.45,-0.02,0.85
6442492,-7.27,-2.63,5.86,0.22,-0.03,-0.02,35.38,-4.50,-29.25,0.08,-0.00,0.09,-7.36,-2.62,5.77,0.27,-0.45,-0.02,0.85
6442532,-7.28,-2.32,5.55,0.16,-0.01,-0.14,35.69,-5.06,-29.69,0.06,0.31,-0.24,-7.34,-2.63,5.79,0.27,-0.45,-0.01,0.85
6442572,-7.39,-2.51,5.51,0.13,-0.25,-0.06,35.31,-3.00,-30.06,-0.09,0.11,-0.33,-7.30,-2.62,5.84,0.28,-0.45,-0.01,0.85
6442612,-7.27,-2.51,5.82,0.15,0.01,-0.00,35.38,-3.62,-28.88,0.02,0.08,-0.04,-7.30,-2.59,5.86,0.28,-0.44,-0.01,0.85
6442652,-7.39,-2.32,5.47,0.07,0.03,-0.04,35.94,-3.50,-27.81,-0.09,0.27,-0.38,-7.30,-2.59,5.85,0.28,-0.44,-0.01,0.85
6442692,-7.36,-2.55,5.55,0.04,0.02,-0.00,35.12,-4.44,-29.31,-0.05,0.04,-0.30,-7.30,-2.59,5.85,0.28,-0.44,-0.01,0.85
6442732,-7.27,-2.63,5.86,0.08,-0.03,0.03,35.94,-4.25,-28.75,0.03,-0.07,-0.02,-7.30,-2.55,5.88,0.28,-0.44,-0.01,0.85
6442772,-7.70,-3.28,6.28,0.14,0.07,0.15,35.81,-4.19,-26.56,-0.36,-0.82,0.41,-7.34,-2.46,5.87,0.28,-0.44,-0.00,0.85
6442812,-8.69,-4.46,6.81,0.43,0.18,0.94,36.25,-4.00,-28.19,-1.24,-2.35,0.96,-7.45,-2.12,5.85,0.28,-0.44,0.00,0.85
6442852,-7.54,-2.17,6.12,0.53,0.05,0.88,35.69,-4.56,-28.69,-0.00,-0.43,0.25,-7.54,-1.73,5.88,0.26,-0.44,0.02,0.86
6442892,-7.23,-1.44,6.12,0.59,-0.04,0.73,35.88,-6.75,-26.69,0.36,-0.05,0.22,-7.59,-1.39,5.91,0.26,-0.44,0.04,0.86
6442932,-6.77,-0.25,5.36,0.45,0.09,0.50,36.81,-7.19,-24.88,0.86,0.88,-0.55,-7.63,-1.13,5.91,0.25,-0.44,0.05,0.86
6442972,-6.89,-0.41,5.86,0.31,0.02,0.11,35.69,-7.69,-25.38,0.75,0.62,-0.07,-7.65,-1.03,5.92,0.25,-0.44,0.06,0.86
6443012,-7.12,-0.56,5.70,0.30,0.04,-0.06,36.00,-8.75,-26.38,0.53,0.42,-0.22,-7.65,-0.98,5.92,0.25,-0.44,0.07,0.86
6443052,-7.32,-0.64,5.55,0.25,-0.04,-0.22,35.94,-7.06,-26.00,0.32,0.32,-0.39,-7.63,-0.96,5.95,0.25,-0.44,0.07,0.86
6443092,-8.46,-1.86,6.35,0.39,-0.02,0.32,35.56,-8.19,-23.12,-0.83,-1.07,0.39,-7.63,-0.79,5.96,0.26,-0.43,0.08,0.86
6443132,-7.70,-0.64,5.43,0.35,-0.07,0.33,35.31,-8.56,-22.56,-0.07,-0.04,-0.56,-7.62,-0.60,5.99,0.25,-0.43,0.09,0.86
6443172,-7.58,-0.60,5.28,0.04,-0.05,0.11,34.94,-7.44,-24.44,0.03,-0.05,-0.73,-7.61,-0.55,6.01,0.25,-0.43,0.09,0.86
6443212,-7.62,-1.29,5.36,0.06,-0.10,0.15,34.69,-7.56,-23.31,-0.02,-0.80,-0.68,-7.60,-0.49,6.04,0.25,-0.43,0.09,0.86
6443252,-6.25,0.13,4.97,-0.11,-0.21,0.01,34.81,-9.44,-21.94,1.30,0.66,-1.12,-7.55,-0.53,6.09,0.25,-0.42,0.09,0.87
6443292,-6.47,-0.29,5.86,-0.23,-0.17,-0.37,34.75,-9.25,-23.56,1.03,0.39,-0.28,-7.50,-0.68,6.13,0.25,-0.42,0.09,0.87
6443333,-8.00,-1.71,6.39,0.01,-0.11,-0.00,35.62,-8.88,-22.44,-0.54,-1.01,0.23,-7.47,-0.70,6.16,0.25,-0.42,0.08,0.87
6443373,-8.16,-0.75,6.66,0.02,-0.13,-0.05,35.62,-8.88,-22.44,-0.73,-0.05,0.46,-7.43,-0.70,6.20,0.25,-0.42,0.08,0.87
6443413,-9.07,-1.32,7.77,0.31,-0.02,0.20,35.75,-9.81,-21.12,-1.64,-0.75,1.57,-7.44,-0.58,6.20,0.26,-0.42,0.08,0.87
6443453,-8.38,0.09,7.04,0.56,0.00,0.29,35.06,-9.00,-23.00,-0.93,0.46,0.84,-7.45,-0.37,6.20,0.25,-0.41,0.10,0.87
6443493,-7.89,0.59,6.81,0.56,0.09,0.07,34.62,-9.19,-20.81,-0.41,0.80,0.62,-7.48,-0.21,6.19,0.26,-0.41,0.11,0.87
6443533,-7.89,0.59,6.47,0.44,0.09,-0.03,36.00,-10.06,-21.69,-0.39,0.68,0.30,-7.50,-0.09,6.16,0.26,-0.41,0.12,0.87
6443573,-8.04,0.29,6.24,0.51,0.08,0.12,35.62,-9.81,-17.88,-0.53,0.22,0.09,-7.52,0.06,6.15,0.26,-0.41,0.12,0.87
6443613,-7.96,0.29,5.78,0.42,0.05,0.10,35.75,-9.06,-20.19,-0.43,0.08,-0.35,-7.54,0.20,6.12,0.26,-0.41,0.13,0.86
6443653,-7.89,0.17,5.70,0.39,0.06,0.22,36.06,-10.19,-20.50,-0.34,-0.19,-0.41,-7.55,0.36,6.11,0.27,-0.41,0.14,0.86
6443693,-7.43,0.48,5.43,0.27,0.03,0.16,35.88,-10.81,-19.38,0.12,-0.01,-0.66,-7.55,0.48,6.09,0.26,-0.40,0.15,0.86
6443734,-7.28,0.59,5.28,0.17,0.03,0.15,35.88,-9.81,-18.38,0.29,0.03,-0.80,-7.57,0.56,6.09,0.26,-0.40,0.16,0.86
6443773,-7.16,0.74,5.36,0.08,0.07,0.05,36.75,-11.06,-17.00,0.43,0.15,-0.70,-7.59,0.59,6.06,0.26,-0.40,0.16,0.86
6443813,-7.20,0.78,5.32,-0.02,0.07,-0.04,36.19,-10.38,-18.25,0.40,0.20,-0.72,-7.60,0.59,6.04,0.26,-0.40,0.16,0.86
6443853,-7.24,0.67,5.39,-0.05,0.04,0.02,35.25,-10.25,-19.50,0.38,0.09,-0.63,-7.62,0.58,6.02,0.26,-0.40,0.16,0.86
6443895,-7.20,0.89,5.51,-0.08,0.05,-0.03,36.50,-11.38,-17.00,0.43,0.35,-0.50,-7.63,0.55,6.01,0.26,-0.41,0.16,0.86
6443933,-7.43,0.59,5.59,-0.21,0.05,-0.18,35.88,-10.81,-19.38,0.22,0.14,-0.41,-7.65,0.45,5.99,0.26,-0.41,0.16,0.86
6443973,-7.77,0.09,6.43,-0.03,-0.05,-0.19,36.88,-9.50,-18.88,-0.13,-0.29,0.43,-7.64,0.38,6.00,0.26,-0.41,0.15,0.86
6444013,-7.77,0.05,6.74,0.21,0.14,-0.19,36.12,-9.75,-18.88,-0.10,-0.32,0.79,-7.67,0.38,5.95,0.27,-0.41,0.15,0.86
6444055,-7.74,0.40,6.05,0.03,-0.00,-0.18,36.69,-10.19,-17.69,-0.05,0.08,0.10,-7.68,0.32,5.95,0.27,-0.41,0.15,0.86
6444093,-7.74,0.36,6.43,0.01,0.04,-0.16,36.62,-9.00,-18.44,-0.05,0.08,0.50,-7.69,0.28,5.93,0.28,-0.41,0.15,0.86
6444133,-7.70,0.40,6.28,0.10,0.11,-0.14,36.38,-9.94,-20.00,0.02,0.14,0.38,-7.71,0.26,5.90,0.28,-0.41,0.15,0.85
6444173,-7.92,0.40,5.86,0.05,0.07,-0.13,36.25,-9.06,-20.69,-0.20,0.17,-0.03,-7.73,0.23,5.88,0.28,-0.42,0.15,0.85
6444216,-7.70,0.36,5.74,0.01,-0.01,-0.04,36.38,-9.25,-18.44,0.03,0.14,-0.14,-7.73,0.22,5.88,0.28,-0.42,0.15,0.85
6444253,-7.70,0.25,5.97,0.02,-0.03,0.01,36.38,-8.38,-18.56,0.02,0.02,0.09,-7.72,0.23,5.88,0.28,-0.42,0.15,0.85
6444293,-7.82,0.25,5.82,0.08,-0.02,0.03,36.81,-9.06,-20.62,-0.09,-0.01,-0.07,-7.72,0.26,5.89,0.28,-0.41,0.15,0.85
6444333,-7.81,0.29,5.66,0.06,-0.01,0.07,36.31,-8.31,-19.12,-0.09,-0.01,-0.23,-7.72,0.30,5.90,0.28,-0.41,0.15,0.85
6444375,-7.74,0.40,5.51,0.06,-0.05,0.08,36.56,-8.56,-19.69,-0.03,0.06,-0.40,-7.70,0.34,5.91,0.28,-0.41,0.16,0.85
6444414,-7.58,0.55,5.62,0.13,-0.15,0.14,36.56,-10.06,-16.06,0.08,0.14,-0.33,-7.66,0.41,5.95,0.28,-0.41,0.16,0.85
6444454,-7.16,1.05,5.32,-0.07,-0.05,-0.15,36.62,-9.31,-18.38,0.50,0.69,-0.65,-7.66,0.36,5.97,0.28,-0.41,0.16,0.85
6444494,-7.66,0.17,5.51,-0.16,-0.03,-0.08,36.62,-10.00,-19.44,-0.01,-0.13,-0.46,-7.65,0.30,5.98,0.28,-0.41,0.15,0.85
6444535,-7.93,-0.29,6.16,-0.05,-0.04,0.06,36.44,-8.81,-17.44,-0.29,-0.59,0.18,-7.64,0.30,5.98,0.28,-0.41,0.15,0.85
6444574,-7.92,0.09,6.28,-0.10,0.00,-0.01,35.81,-8.12,-18.12,-0.29,-0.19,0.30,-7.64,0.28,5.98,0.28,-0.41,0.15,0.85
6444614,-8.08,-0.06,6.39,0.11,-0.01,0.23,36.44,-9.50,-18.38,-0.45,-0.43,0.41,-7.63,0.37,5.98,0.28,-0.41,0.15,0.86
6444654,-7.43,0.78,6.09,0.04,0.04,0.12,36.69,-10.19,-17.69,0.22,0.36,0.13,-7.65,0.42,5.95,0.28,-0.41,0.16,0.86
6444695,-7.16,0.89,5.97,-0.04,0.21,0.04,37.00,-10.81,-17.56,0.54,0.46,0.07,-7.70,0.43,5.90,0.28,-0.41,0.16,0.86
6444734,-6.89,0.89,5.13,0.01,0.11,0.03,36.56,-10.12,-15.50,0.82,0.47,-0.73,-7.72,0.42,5.86,0.27,-0.41,0.16,0.85
6444774,-7.81,0.25,6.12,-0.27,0.00,-0.35,36.38,-9.00,-18.50,-0.09,-0.01,0.27,-7.73,0.26,5.86,0.28,-0.41,0.15,0.85
6444815,-8.88,-0.87,6.81,-0.11,0.31,-0.20,35.81,-9.44,-19.00,-1.09,-1.04,1.04,-7.80,0.17,5.77,0.28,-0.42,0.15,0.85
6444855,-8.77,-0.33,5.89,-0.03,0.08,-0.02,37.00,-9.44,-17.31,-0.95,-0.49,0.15,-7.82,0.16,5.74,0.28,-0.42,0.15,0.85
6444895,-7.58,0.44,5.82,-0.08,-0.00,-0.05,36.50,-8.88,-16.25,0.23,0.31,0.07,-7.81,0.12,5.74,0.28,-0.42,0.15,0.85
6444935,-7.58,0.40,5.74,-0.09,0.02,-0.10,36.69,-10.69,-18.69,0.24,0.32,0.01,-7.82,0.08,5.73,0.28,-0.43,0.15,0.85
6444975,-7.50,0.36,5.59,-0.08,0.08,-0.13,36.69,-9.56,-17.81,0.34,0.34,-0.12,-7.84,0.02,5.71,0.28,-0.43,0.14,0.85
6445015,-7.58,0.36,5.32,-0.13,0.04,-0.20,36.06,-8.38,-18.62,0.26,0.44,-0.38,-7.84,-0.08,5.70,0.28,-0.43,0.14,0.85
6445055,-8.28,-0.48,6.05,-0.01,-0.03,-0.07,36.62,-8.75,-17.94,-0.43,-0.38,0.34,-7.84,-0.11,5.70,0.28,-0.43,0.14,0.85
6445095,-8.16,-0.10,5.74,-0.01,0.02,-0.06,36.44,-9.31,-17.88,-0.31,0.02,0.04,-7.84,-0.12,5.70,0.29,-0.43,0.14,0.84
6445135,-8.08,-0.18,5.62,-0.01,0.03,-0.04,36.81,-8.56,-19.69,-0.23,-0.04,-0.07,-7.85,-0.14,5.70,0.29,-0.43,0.14,0.84
6445175,-7.89,-0.14,5.51,-0.06,-0.04,-0.04,36.50,-8.25,-20.31,-0.04,0.03,-0.19,-7.85,-0.16,5.70,0.29,-0.43,0.14,0.84
6445215,-7.73,0.02,5.36,-0.12,-0.03,-0.09,36.94,-8.06,-16.38,0.10,0.23,-0.35,-7.84,-0.22,5.71,0.29,-0.43,0.13,0.84
6445255,-7.70,-0.02,5.47,-0.19,-0.06,-0.16,36.25,-7.19,-19.31,0.12,0.29,-0.26,-7.82,-0.31,5.73,0.29,-0.43,0.13,0.84
6445295,-7.96,-0.41,5.78,-0.17,-0.11,-0.08,36.75,-8.19,-20.81,-0.17,-0.03,0.01,-7.80,-0.38,5.77,0.29,-0.43,0.13,0.84
6445335,-7.93,-0.33,5.86,-0.19,-0.07,-0.06,36.19,-7.56,-20.94,-0.14,0.11,0.07,-7.78,-0.44,5.78,0.29,-0.43,0.12,0.85
6445375,-7.50,-0.06,5.97,-0.20,-0.06,-0.17,36.44,-6.75,-21.06,0.26,0.47,0.18,-7.77,-0.53,5.79,0.29,-0.43,0.12,0.85
6445416,-8.08,-0.98,6.09,-0.15,-0.02,-0.10,35.88,-8.31,-22.00,-0.32,-0.38,0.30,-7.76,-0.60,5.79,0.29,-0.43,0.11,0.85
6445456,-7.86,-0.64,5.89,-0.07,-0.03,-0.04,36.75,-7.38,-20.44,-0.10,-0.01,0.10,-7.75,-0.62,5.80,0.29,-0.43,0.11,0.85
6445496,-7.70,-0.37,5.78,-0.10,0.00,-0.04,36.69,-7.06,-21.00,0.06,0.30,-0.01,-7.76,-0.66,5.79,0.29,-0.43,0.11,0.85
