timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1546075,3.66,2.31,11.07,-5.11,-0.69,-0.9,35.25,2.5,-20.56,3.54,-3.27,3.33,0.12,5.58,7.73,0.83,0.34,0.14,0.43
1546121,2.48,3.07,9.11,-4.23,1.24,-1.51,37.88,9.69,-20.69,2.98,-1.02,0.55,-0.51,4.09,8.56,0.86,0.25,0.13,0.42
1546155,1.83,0.89,17.89,-5.04,0.67,-2.25,40.25,17.0,-17.06,3.02,-1.42,8.78,-1.2,2.31,9.11,0.89,0.15,0.11,0.41
1546199,-1.66,-0.41,18.46,-3.72,2.68,-3.68,42.56,24.0,-14.25,0.73,-1.36,9.36,-2.39,0.95,9.1,0.92,0.06,0.11,0.36
1546235,-8.79,-0.49,9.35,-1.2,2.86,-2.06,44.94,26.44,-12.31,-5.99,-0.85,0.33,-2.8,0.36,9.02,0.94,-0.01,0.15,0.3
1546282,-3.96,-0.26,6.93,-1.03,-2.5,-0.18,40.75,25.81,-13.12,-1.85,-0.12,-2.28,-2.11,-0.14,9.21,0.95,-0.04,0.14,0.29
1546315,-4.57,-2.44,11.38,-2.34,0.29,-0.69,42.19,28.31,-6.12,-2.42,-1.47,2.23,-2.15,-0.97,9.15,0.95,-0.06,0.1,0.29
1546355,-4.34,-6.62,37.08,1.63,-0.0,0.75,43.06,27.31,-8.19,-2.1,-6.41,27.89,-2.24,-0.21,9.19,0.95,-0.09,0.09,0.29
1546395,-2.92,0.97,6.51,-0.04,1.34,-0.17,43.06,27.0,-7.81,-0.33,1.37,-2.61,-2.59,-0.4,9.12,0.95,-0.05,0.12,0.3
1546435,-2.89,-2.18,7.92,-0.65,-0.19,-0.12,42.62,27.5,-8.25,-0.35,-1.61,-1.23,-2.54,-0.57,9.16,0.95,-0.07,0.12,0.29
1546475,-2.35,-2.18,8.93,0.05,0.2,0.02,43.5,27.44,-5.62,0.27,-1.6,-0.22,-2.62,-0.58,9.14,0.95,-0.07,0.12,0.29
1546515,-2.46,-1.45,10.99,0.04,0.01,0.09,44.19,29.12,-8.12,0.18,-0.89,1.84,-2.65,-0.55,9.16,0.95,-0.08,0.12,0.29
1546556,-2.85,-0.72,9.45,-0.05,0.28,0.03,45.0,27.38,-6.81,-0.11,-0.14,0.31,-2.74,-0.58,9.15,0.94,-0.08,0.13,0.29
