timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
6103348,-0.38,9.63,0.54,0.01,0.02,0.0,-10.0,-14.69,1.5,-0.23,-0.0,0.12,-0.49,9.63,0.49,0.37,0.39,-0.56,-0.63
6103387,-0.41,9.67,0.5,0.01,0.0,-0.03,-9.19,-12.75,1.75,0.12,-0.0,0.05,-0.5,9.63,0.48,0.37,0.39,-0.56,-0.63
6103427,-0.64,9.55,0.34,-0.02,0.08,-0.05,-9.44,-14.75,1.56,0.1,0.03,0.0,-0.52,9.63,0.5,0.37,0.39,-0.56,-0.63
6103467,-0.57,9.66,0.61,-0.0,-0.01,-0.02,-10.31,-13.25,1.19,-0.04,0.04,0.11,-0.52,9.62,0.5,0.37,0.39,-0.56,-0.63
6103509,-0.57,9.62,0.54,0.02,0.03,-0.06,-9.75,-13.56,1.31,0.05,0.12,0.2,-0.55,9.62,0.49,0.37,0.39,-0.56,-0.63
6103547,-0.84,9.55,0.65,-0.01,0.04,-0.1,-9.69,-14.06,3.06,0.02,0.0,0.04,-0.59,9.62,0.5,0.37,0.39,-0.56,-0.63
6103587,-0.99,9.55,0.57,0.04,0.01,-0.07,-10.12,-13.69,-0.38,-0.21,-0.07,0.14,-0.62,9.62,0.51,0.37,0.39,-0.56,-0.63
6103627,-0.76,9.59,0.54,0.03,0.02,-0.04,-10.06,-14.0,0.31,-0.09,-0.04,0.04,-0.66,9.62,0.5,0.37,0.39,-0.56,-0.63
6103669,-1.03,9.71,0.31,0.02,0.04,-0.1,-9.56,-13.81,0.31,0.14,0.09,-0.01,-0.71,9.62,0.51,0.37,0.39,-0.56,-0.62
6103708,-1.03,9.51,0.19,0.01,0.05,-0.03,-9.12,-14.5,2.12,-0.28,0.09,-0.19,-0.75,9.62,0.5,0.37,0.4,-0.56,-0.62
6103748,-0.49,9.59,0.61,-0.01,0.03,-0.0,-9.19,-14.62,0.5,-0.25,-0.11,-0.29,-0.77,9.62,0.48,0.37,0.4,-0.56,-0.62
6103788,-0.61,9.82,0.5,0.03,0.06,-0.07,-9.0,-12.69,0.69,0.2,0.2,0.04,-0.8,9.62,0.46,0.37,0.4,-0.56,-0.62
6103828,-1.03,9.75,0.38,-0.04,0.05,-0.04,-10.06,-13.25,1.19,-0.21,0.12,-0.09,-0.82,9.62,0.47,0.37,0.4,-0.56,-0.62
6103868,-0.61,9.59,0.77,0.03,-0.01,-0.04,-9.81,-13.31,1.25,0.04,-0.05,0.23,-0.84,9.64,0.46,0.37,0.4,-0.56,-0.62
6103908,-0.68,9.55,0.46,0.05,0.0,-0.11,-9.81,-13.94,-0.31,0.26,-0.04,0.3,-0.87,9.63,0.46,0.37,0.4,-0.56,-0.62
6103948,-1.11,9.47,0.42,-0.01,0.05,-0.15,-8.75,-13.31,0.81,-0.19,-0.15,-0.06,-0.91,9.62,0.48,0.37,0.4,-0.56,-0.63
