timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
6138113,0.75,9.57,-1.21,-0.02,0.01,-0.02,-11.81,-11.19,6.19,-0.18,-0.07,-0.19,0.97,9.56,-1.13,0.37,0.35,-0.66,-0.55
6138152,1.09,9.61,-1.13,-0.03,0.04,0.04,-10.94,-9.44,8.75,-0.22,0.01,-0.07,0.97,9.56,-1.14,0.37,0.35,-0.66,-0.55
6138192,1.24,9.57,-1.02,-0.05,0.05,-0.0,-11.56,-10.38,7.19,0.14,0.04,0.0,0.95,9.57,-1.13,0.37,0.35,-0.66,-0.55
6138232,1.17,9.53,-0.94,-0.01,0.03,-0.07,-11.56,-10.31,6.69,0.23,-0.04,0.18,0.94,9.57,-1.12,0.37,0.35,-0.65,-0.55
6138274,0.98,9.53,-1.09,-0.02,0.04,-0.05,-11.88,-10.75,5.0,0.05,-0.04,-0.1,0.93,9.57,-1.11,0.37,0.36,-0.65,-0.55
6138312,1.05,9.65,-0.71,-0.02,-0.01,-0.05,-11.5,-10.69,7.25,0.05,-0.04,0.0,0.93,9.57,-1.09,0.37,0.36,-0.65,-0.55
6138352,0.79,9.68,-1.05,0.04,0.0,-0.1,-11.12,-10.69,4.0,0.14,0.07,0.39,0.91,9.58,-1.09,0.37,0.36,-0.65,-0.55
6138392,0.55,9.5,-1.47,-0.02,0.03,-0.06,-12.38,-11.62,5.69,-0.33,-0.09,-0.39,0.88,9.59,-1.08,0.37,0.36,-0.65,-0.55
6138434,1.01,9.68,-1.17,-0.04,0.02,-0.07,-12.44,-10.19,5.44,0.05,-0.09,-0.18,0.85,9.59,-1.07,0.37,0.36,-0.65,-0.55
6138472,1.17,9.68,-1.13,-0.02,0.02,-0.05,-11.38,-11.69,9.12,0.18,0.1,-0.11,0.84,9.59,-1.06,0.37,0.36,-0.65,-0.55
6138512,0.82,9.72,-0.98,-0.06,0.02,-0.12,-11.62,-10.5,5.56,0.37,0.09,-0.08,0.8,9.59,-1.05,0.37,0.36,-0.65,-0.56
6138552,0.59,9.61,-0.98,-0.02,-0.01,-0.08,-12.06,-10.31,6.62,-0.17,0.01,0.05,0.76,9.6,-1.03,0.37,0.36,-0.65,-0.56
6138592,0.63,9.57,-0.94,0.02,-0.0,-0.04,-12.31,-11.75,6.88,-0.11,-0.03,0.1,0.74,9.6,-1.04,0.37,0.36,-0.65,-0.56
6138632,0.44,9.49,-1.17,-0.01,0.02,-0.05,-10.88,-11.44,8.5,-0.2,-0.02,-0.04,0.72,9.59,-1.05,0.37,0.36,-0.65,-0.56
6138672,0.55,9.46,-1.13,-0.04,0.01,-0.04,-11.56,-10.88,6.12,-0.27,-0.11,-0.14,0.7,9.6,-1.03,0.37,0.37,-0.65,-0.56
6138712,0.79,9.53,-0.94,-0.06,-0.0,-0.03,-11.81,-10.81,5.56,0.11,-0.07,0.07,0.68,9.6,-1.01,0.37,0.37,-0.65,-0.56
