timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1088268,7.52,-1.84,5.73,-0.09,-0.1,0.11,-0.88,31.75,-11.81,0.02,-0.04,-0.16,7.5,-1.8,5.89,0.86,0.01,-0.45,0.23
1088308,7.79,-1.88,5.42,-0.05,-0.06,-0.01,-2.19,32.25,-12.0,0.55,-0.02,-0.37,7.51,-1.82,5.87,0.86,0.01,-0.45,0.23
1088348,7.64,-2.03,5.42,0.0,-0.0,-0.01,-1.69,32.88,-11.94,0.12,-0.21,-0.43,7.52,-1.82,5.85,0.86,0.01,-0.45,0.23
1088388,7.61,-2.03,5.27,-0.1,-0.03,-0.02,-1.75,32.75,-9.44,0.07,-0.2,-0.59,7.53,-1.84,5.85,0.86,0.01,-0.45,0.23
1088428,7.87,-1.99,5.42,-0.11,0.15,-0.1,-2.5,31.56,-10.88,0.34,-0.16,-0.43,7.53,-1.84,5.84,0.86,0.01,-0.45,0.23
1088468,7.64,-2.03,5.57,-0.09,0.09,-0.04,-2.62,31.25,-11.31,0.36,-0.19,-0.3,7.51,-1.84,5.88,0.87,0.01,-0.45,0.23
1088508,7.6,-2.11,5.69,-0.07,-0.02,-0.03,-2.25,32.25,-12.06,0.11,-0.27,-0.2,7.49,-1.84,5.89,0.87,0.01,-0.45,0.23
1088548,7.33,-2.07,5.65,-0.05,-0.12,0.05,-2.19,32.44,-9.81,-0.18,-0.21,-0.23,7.52,-1.86,5.88,0.87,0.0,-0.45,0.23
1088588,7.6,-2.03,5.69,-0.06,-0.12,0.06,-1.69,31.62,-11.19,0.06,-0.14,-0.14,7.54,-1.89,5.83,0.86,0.0,-0.45,0.23
1088628,7.79,-1.99,5.73,-0.05,-0.15,0.08,-2.0,32.5,-10.88,0.19,-0.06,-0.13,7.56,-1.93,5.78,0.86,0.0,-0.45,0.23
1088668,7.87,-2.15,5.84,-0.06,-0.1,0.03,-1.62,32.25,-11.19,0.29,-0.19,0.1,7.59,-1.96,5.74,0.86,0.0,-0.45,0.23
1088708,7.68,-2.26,5.96,0.04,-0.13,0.04,-1.25,32.19,-8.94,0.07,-0.29,0.25,7.61,-1.98,5.7,0.86,0.0,-0.46,0.23
1088750,7.71,-2.26,5.8,0.07,-0.08,0.07,0.56,32.62,-9.5,0.07,-0.28,0.13,7.64,-1.98,5.67,0.86,0.0,-0.46,0.23
1088789,7.99,-2.15,5.34,0.04,0.0,-0.03,-2.12,31.62,-10.81,0.14,-0.21,-0.12,7.65,-1.98,5.66,0.86,0.0,-0.46,0.23
1088829,7.71,-2.18,5.11,0.01,-0.04,0.0,-2.44,32.5,-11.31,0.06,-0.21,-0.55,7.66,-1.97,5.66,0.86,0.0,-0.46,0.23
1088869,7.71,-2.15,5.04,-0.04,-0.04,-0.0,-2.75,33.0,-10.62,0.04,-0.16,-0.61,7.67,-1.98,5.64,0.86,0.0,-0.46,0.23
1088910,7.87,-2.18,5.34,-0.04,-0.07,0.02,-4.12,32.0,-10.0,0.19,-0.19,-0.29,7.68,-1.99,5.63,0.86,0.0,-0.46,0.23
1088949,7.87,-2.18,5.46,-0.04,-0.05,0.02,-2.19,32.75,-9.81,-0.02,-0.25,-0.21,7.7,-2.01,5.59,0.86,0.0,-0.46,0.23
1088989,7.99,-2.18,5.61,-0.02,0.11,-0.04,-1.56,31.94,-10.44,0.28,-0.16,0.04,7.7,-2.02,5.58,0.86,0.0,-0.46,0.23
1089029,7.75,-2.18,5.57,0.03,0.06,-0.03,-1.31,32.5,-9.38,0.07,-0.16,-0.04,7.69,-2.02,5.62,0.86,0.0,-0.46,0.23
1089069,7.6,-2.18,5.38,0.01,0.05,-0.02,-3.06,32.69,-9.56,-0.08,-0.18,-0.24,7.68,-2.01,5.62,0.86,0.0,-0.46,0.23
