timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
5661061,-7.36,-4.8,4.66,0.16,-0.2,-0.09,27.31,0.19,30.38,0.08,-0.11,0.17,-7.44,-4.69,4.48,0.33,-0.52,-0.09,0.79
5661101,-7.4,-4.84,4.54,0.25,-0.24,-0.1,27.62,-1.81,29.75,-0.02,-0.16,-0.05,-7.38,-4.68,4.59,0.33,-0.51,-0.09,0.79
5661141,-7.4,-4.61,4.73,0.15,-0.17,-0.12,27.25,-0.12,31.19,0.04,0.04,0.06,-7.32,-4.68,4.67,0.33,-0.51,-0.09,0.79
5661181,-7.47,-4.57,4.46,0.04,-0.06,-0.09,27.31,-0.88,29.88,-0.18,0.14,-0.24,-7.29,-4.7,4.7,0.34,-0.51,-0.09,0.79
5661221,-7.16,-4.76,4.58,0.01,-0.05,-0.07,26.56,-1.56,29.0,0.11,-0.04,-0.14,-7.27,-4.72,4.72,0.34,-0.5,-0.09,0.79
5661261,-7.13,-4.53,4.54,0.01,-0.11,-0.16,27.0,-0.94,29.06,0.1,0.23,-0.2,-7.23,-4.76,4.74,0.34,-0.5,-0.09,0.79
5661301,-7.28,-5.22,4.77,-0.18,0.04,-0.3,25.81,0.19,31.31,0.36,0.6,0.14,-7.18,-4.86,4.7,0.34,-0.5,-0.09,0.79
5661341,-7.36,-5.07,4.7,-0.0,0.02,-0.14,25.88,-0.25,29.94,-0.21,-0.15,0.0,-7.15,-4.91,4.7,0.34,-0.5,-0.1,0.79
5661381,-7.17,-4.72,4.73,-0.06,-0.01,-0.22,25.81,-1.56,29.5,-0.06,0.27,0.05,-7.11,-4.99,4.69,0.35,-0.5,-0.1,0.79
5661421,-7.29,-4.88,4.85,-0.16,0.08,-0.21,27.31,0.19,30.38,-0.2,0.2,0.21,-7.08,-5.07,4.63,0.35,-0.5,-0.1,0.78
5661461,-6.78,-4.76,4.62,-0.13,0.05,-0.16,26.94,0.56,30.81,-0.26,-0.08,0.15,-7.06,-5.14,4.59,0.35,-0.51,-0.1,0.78
5661501,-6.82,-4.26,4.04,-0.34,0.32,-0.14,26.19,-0.56,29.94,0.26,0.99,-0.39,-7.09,-5.25,4.43,0.35,-0.51,-0.11,0.78
5661541,-7.47,-6.29,4.04,-0.31,0.21,-0.12,26.12,-1.5,31.56,-0.39,-0.95,-0.27,-7.09,-5.34,4.31,0.35,-0.52,-0.11,0.77
5661582,-6.94,-5.56,4.66,0.1,-0.21,-0.12,25.81,0.5,31.69,0.1,-0.2,0.3,-7.04,-5.36,4.36,0.35,-0.52,-0.12,0.77
5661622,-6.94,-5.56,4.43,-0.13,0.09,-0.29,24.75,0.5,32.69,0.47,0.82,0.38,-6.98,-5.46,4.32,0.35,-0.52,-0.12,0.77
5661662,-7.05,-6.33,4.66,-0.17,-0.0,-0.27,25.56,1.12,30.94,-0.12,-0.78,0.38,-6.93,-5.55,4.28,0.36,-0.52,-0.13,0.77
5661702,-6.86,-5.53,4.23,-0.03,-0.06,-0.19,25.88,1.5,31.75,0.02,0.09,-0.05,-6.88,-5.62,4.29,0.36,-0.52,-0.13,0.77
5661742,-6.82,-5.3,4.12,-0.01,-0.11,-0.31,25.94,1.44,30.44,-0.04,0.41,-0.2,-6.79,-5.7,4.32,0.36,-0.51,-0.13,0.77
5661782,-6.74,-5.98,4.54,-0.04,-0.05,-0.26,26.94,2.94,32.69,-0.07,-0.06,0.01,-6.72,-5.77,4.34,0.37,-0.51,-0.13,0.76
5661822,-6.74,-5.95,4.96,0.3,-0.15,-0.18,26.0,2.75,29.31,-0.09,-0.2,0.5,-6.66,-5.75,4.46,0.37,-0.51,-0.14,0.76
5661862,-6.36,-4.88,4.73,0.84,-0.26,-0.01,25.88,2.94,26.69,0.23,0.75,0.03,-6.59,-5.62,4.7,0.38,-0.5,-0.13,0.77
5661902,-5.83,-3.77,5.12,1.0,-0.18,-0.41,25.88,2.94,26.69,0.65,1.75,0.13,-6.48,-5.52,4.98,0.39,-0.49,-0.12,0.77
5661942,-6.94,-7.25,6.27,1.28,-0.25,0.13,26.0,3.88,24.62,0.25,-1.23,0.06,-6.46,-5.17,5.36,0.4,-0.48,-0.11,0.77
5661982,-6.59,-3.96,4.96,2.14,-0.68,0.84,26.19,4.12,21.19,-0.13,0.55,-0.97,-6.46,-4.51,5.93,0.41,-0.46,-0.07,0.79
5662022,-6.1,-2.84,5.73,1.85,-0.81,0.54,25.56,4.0,19.12,0.27,1.02,-0.74,-6.36,-3.87,6.47,0.42,-0.43,-0.04,0.8
5662063,-6.4,-3.34,6.07,2.72,-1.07,1.17,25.94,2.19,17.31,-0.19,-0.49,-1.03,-6.21,-2.85,7.1,0.42,-0.4,-0.01,0.82
5662102,-5.79,-1.89,6.34,2.64,-1.3,1.37,26.94,2.25,17.62,-0.34,-1.51,-1.16,-5.95,-1.8,7.66,0.42,-0.35,0.04,0.84
5662142,-5.33,-1.5,7.68,1.23,-1.08,0.68,26.0,1.12,14.62,0.32,-0.3,-0.3,-5.65,-1.2,7.98,0.42,-0.31,0.06,0.85
5662182,-6.17,-1.66,8.3,1.64,-1.12,1.21,25.69,1.75,13.88,-0.86,-1.21,0.02,-5.31,-0.45,8.28,0.41,-0.28,0.08,0.86
5662222,-5.86,-0.81,8.22,1.04,-1.34,1.34,25.0,0.19,11.19,-0.99,-1.0,-0.34,-4.88,0.19,8.55,0.4,-0.25,0.11,0.88
5662262,-4.79,0.26,9.9,0.66,-1.26,1.29,24.0,0.88,11.81,-0.67,-0.74,0.02,-4.43,0.66,8.77,0.38,-0.22,0.12,0.89
5662302,-4.14,0.91,9.9,0.4,-0.65,0.99,23.62,-0.19,10.44,0.03,-0.07,1.04,-4.17,0.98,8.87,0.37,-0.19,0.12,0.9
5662342,-4.1,0.95,9.21,0.15,-0.11,0.28,24.38,-1.62,8.62,0.02,-0.13,0.34,-4.12,1.08,8.88,0.36,-0.18,0.13,0.91
5662382,-4.95,0.91,9.41,0.26,-0.3,0.45,24.0,-1.56,9.94,-0.95,-0.32,0.49,-4.0,1.23,8.91,0.35,-0.17,0.13,0.91
5662422,-3.41,1.18,8.57,0.06,-0.12,0.3,23.19,-1.56,10.81,-0.13,0.0,0.29,-3.94,1.29,8.93,0.34,-0.17,0.14,0.91
5662462,-3.72,1.02,8.68,-0.2,-0.1,-0.09,24.75,-1.56,8.62,0.2,-0.2,-0.27,-3.91,1.22,8.95,0.34,-0.17,0.13,0.91
5662503,-3.87,0.87,9.41,-0.15,-0.21,-0.14,24.06,-1.62,7.81,-0.03,-0.27,0.41,-3.84,1.14,8.99,0.35,-0.16,0.13,0.91
5662543,-3.57,0.95,9.1,-0.06,-0.02,-0.13,23.25,-3.38,7.75,0.28,-0.14,0.1,-3.84,1.09,9.0,0.35,-0.16,0.13,0.91
5662583,-4.1,0.72,8.6,-0.2,-0.02,-0.37,24.44,0.12,9.12,0.4,-0.0,-0.57,-3.85,0.95,9.02,0.35,-0.17,0.12,0.91
5662623,-4.29,0.72,9.37,-0.15,-0.25,-0.15,24.81,0.12,9.12,-0.53,-0.16,0.3,-3.77,0.88,9.07,0.36,-0.16,0.12,0.91
5662664,-3.61,0.79,9.56,-0.12,-0.14,-0.08,22.0,0.31,8.0,0.11,-0.01,0.46,-3.72,0.8,9.09,0.36,-0.16,0.11,0.91
5662704,-3.49,0.6,9.49,-0.16,0.02,-0.37,23.44,0.0,7.44,0.25,-0.09,0.39,-3.73,0.7,9.09,0.36,-0.16,0.11,0.91
5662744,-4.37,0.41,8.91,0.03,0.1,-0.31,24.12,0.06,8.31,-0.33,-0.25,0.33,-3.77,0.66,9.08,0.37,-0.16,0.11,0.91
5662784,-4.22,0.45,8.68,-0.0,-0.08,-0.09,24.12,1.12,8.75,-0.61,-0.23,-0.18,-3.76,0.64,9.09,0.37,-0.17,0.11,0.91
5662824,-3.76,0.45,8.98,-0.1,-0.16,-0.03,25.69,1.44,6.56,-0.05,-0.14,-0.13,-3.7,0.59,9.12,0.37,-0.16,0.1,0.91
