timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7135135,-4.63,1.54,8.5,0.38,1.1,0.25,-20.56,-7.19,-69.06,0.71,-0.46,0.73,-5.34,2.01,7.77,0.12,0.3,-0.07,-0.94
7135172,-5.05,3.46,6.96,-0.38,1.56,-0.04,-17.81,-8.62,-64.12,0.69,1.4,-0.5,-5.74,2.05,7.46,0.12,0.33,-0.07,-0.93
7135216,-6.78,2.81,5.93,-0.25,0.62,-0.1,-12.94,-9.75,-60.62,-0.7,0.9,-1.29,-6.08,1.91,7.23,0.12,0.35,-0.06,-0.93
7135252,-6.85,2.23,6.2,1.09,0.52,-0.73,-11.38,-12.31,-58.38,-0.66,0.45,-0.96,-6.19,1.78,7.16,0.12,0.35,-0.06,-0.93
7135295,-5.01,3.42,5.51,1.44,-0.18,-1.15,0.75,-13.62,-40.81,1.32,1.34,-1.45,-6.34,2.08,6.96,0.09,0.36,-0.08,-0.92
7135333,-3.52,3.27,6.93,1.52,-0.29,-1.55,8.44,-14.44,-29.44,2.86,1.12,0.04,-6.38,2.15,6.89,0.05,0.36,-0.1,-0.92
7135373,-3.94,2.88,6.62,0.7,-0.26,-1.63,12.69,-14.06,-20.81,2.46,0.83,-0.27,-6.4,2.05,6.89,0.01,0.36,-0.11,-0.93
7135418,-5.01,1.2,7.77,0.73,-0.23,-1.71,16.5,-12.69,-19.0,1.43,-0.63,0.87,-6.45,1.83,6.9,0.02,-0.36,0.11,0.93
7135456,-6.05,0.78,6.96,0.41,-0.21,-1.9,19.38,-10.69,-20.19,1.5,-0.32,0.86,-6.51,1.52,6.91,0.06,-0.36,0.11,0.92
7135493,-7.5,-0.22,7.84,0.24,-0.33,-1.48,20.56,-10.06,-18.5,-1.0,-1.34,0.87,-6.51,1.12,6.98,0.1,-0.36,0.1,0.92
7135533,-7.77,-0.37,8.0,0.16,-0.07,-1.14,22.56,-8.31,-16.44,-1.27,-1.24,0.98,-6.5,0.87,7.02,0.12,-0.36,0.09,0.92
7135579,-8.12,-0.37,6.66,0.02,-0.04,-0.6,22.5,-6.25,-20.12,-1.62,-1.04,-0.37,-6.5,0.66,7.03,0.14,-0.36,0.09,0.92
7135616,-7.85,-0.26,6.43,-0.1,-0.31,-0.6,22.62,-6.75,-18.38,-1.64,-0.89,-0.41,-6.48,0.52,7.07,0.15,-0.35,0.08,0.92
7135653,-8.08,-0.83,7.46,-0.15,-0.39,-0.24,22.62,-6.75,-18.38,-1.72,-1.18,0.29,-6.36,0.34,7.18,0.16,-0.35,0.08,0.92
7135693,-7.31,-0.68,8.04,-0.02,0.03,-0.05,22.62,-5.62,-18.0,-0.98,-0.98,0.82,-6.33,0.3,7.22,0.16,-0.35,0.07,0.92
7135733,-6.81,-0.18,7.28,-0.04,-0.13,-0.05,22.44,-5.69,-20.75,-0.49,-0.46,0.05,-6.32,0.28,7.22,0.16,-0.35,0.07,0.92
7135773,-6.97,-0.37,7.58,0.05,-0.07,0.23,22.38,-4.62,-22.12,-0.69,-0.68,0.31,-6.28,0.3,7.27,0.16,-0.34,0.07,0.92
7135813,-5.55,0.43,7.66,0.1,0.16,-0.27,22.38,-4.62,-22.12,0.75,0.12,0.41,-6.3,0.31,7.25,0.16,-0.34,0.08,0.92
7135853,-6.24,0.32,7.12,0.03,-0.08,0.09,21.75,-5.88,-18.62,0.09,0.02,-0.12,-6.33,0.3,7.24,0.16,-0.34,0.08,0.92
7135893,-6.28,0.39,6.93,0.11,-0.12,-0.0,21.44,-6.81,-20.12,0.01,0.05,-0.34,-6.29,0.34,7.27,0.16,-0.34,0.08,0.92
7135933,-6.12,0.47,6.96,0.05,-0.03,0.04,21.44,-6.0,-19.75,0.14,0.11,-0.32,-6.27,0.36,7.29,0.16,-0.34,0.08,0.92
7135973,-6.09,0.43,7.46,0.09,0.2,-0.1,22.0,-6.81,-20.62,0.21,0.07,0.2,-6.3,0.37,7.27,0.16,-0.34,0.08,0.92
7136013,-6.51,0.43,6.89,0.04,0.03,-0.09,21.5,-7.19,-19.56,-0.16,0.07,-0.34,-6.34,0.36,7.23,0.17,-0.34,0.08,0.92
7136053,-6.7,0.39,6.89,0.04,-0.01,-0.06,21.31,-5.44,-22.62,-0.36,0.04,-0.34,-6.34,0.36,7.23,0.17,-0.34,0.08,0.92
7136093,-6.55,0.39,7.04,0.0,0.02,-0.09,20.31,-5.94,-20.38,-0.21,0.05,-0.19,-6.34,0.34,7.23,0.17,-0.34,0.08,0.92
7136133,-6.47,0.39,6.93,-0.03,-0.1,-0.12,21.69,-7.25,-21.75,-0.13,0.08,-0.31,-6.34,0.31,7.24,0.17,-0.34,0.08,0.92
7136173,-6.51,0.2,7.27,-0.06,-0.04,0.02,22.38,-6.44,-18.44,-0.2,-0.08,0.01,-6.31,0.28,7.27,0.17,-0.34,0.08,0.92
7136213,-6.36,0.12,7.5,-0.04,-0.02,-0.03,21.81,-6.69,-18.44,-0.04,-0.13,0.23,-6.31,0.26,7.27,0.17,-0.34,0.08,0.92
7136253,-6.28,0.2,7.32,0.0,-0.04,-0.04,20.81,-6.06,-21.5,0.04,-0.04,0.03,-6.31,0.24,7.28,0.17,-0.34,0.08,0.92
7136293,-6.32,0.16,7.42,-0.01,0.02,-0.0,21.06,-5.25,-21.62,-0.01,-0.06,0.14,-6.3,0.23,7.28,0.17,-0.34,0.08,0.92
7136333,-6.51,0.2,7.36,0.01,-0.05,0.07,21.75,-6.31,-19.06,-0.2,-0.04,0.07,-6.3,0.24,7.28,0.17,-0.34,0.08,0.92
7136374,-6.36,0.36,7.0,-0.06,-0.09,0.07,19.88,-6.56,-19.19,-0.07,0.11,-0.29,-6.28,0.25,7.3,0.17,-0.34,0.08,0.92
7136414,-6.51,0.16,7.36,-0.08,-0.04,0.43,21.38,-6.31,-21.94,-0.24,-0.11,0.03,-6.27,0.27,7.32,0.17,-0.34,0.08,0.92
7136454,-6.24,0.28,7.38,-0.06,0.06,0.37,20.25,-5.44,-22.19,0.03,-0.09,0.07,-6.27,0.37,7.31,0.16,-0.34,0.08,0.92
