timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1689556,-6.65,-2.79,6.3,0.01,-0.04,0.0,44.69,32.06,-1.69,0.05,0.05,-0.12,-6.7,-2.84,6.43,0.9,-0.21,0.35,0.12
1689596,-6.65,-3.06,6.61,0.02,0.07,-0.02,45.12,31.81,-1.62,0.05,-0.22,0.18,-6.7,-2.84,6.43,0.9,-0.21,0.35,0.12
1689636,-6.61,-2.79,6.42,0.01,0.06,-0.03,45.06,31.81,-2.0,0.1,0.05,0.01,-6.71,-2.84,6.41,0.9,-0.21,0.36,0.12
1689676,-6.76,-2.79,6.42,0.0,0.03,-0.02,44.12,31.44,-2.12,-0.04,0.06,-0.05,-6.72,-2.85,6.4,0.9,-0.21,0.36,0.12
1689716,-6.69,-2.83,6.38,-0.01,0.02,-0.02,42.38,32.19,-2.38,0.05,0.02,0.0,-6.73,-2.85,6.38,0.9,-0.21,0.36,0.12
1689756,-6.73,-2.87,6.38,-0.01,0.04,-0.01,44.62,32.12,-2.06,0.01,-0.02,0.0,-6.73,-2.85,6.38,0.9,-0.21,0.36,0.12
1689796,-6.76,-2.87,6.34,-0.0,-0.01,-0.01,44.81,32.06,-1.0,-0.02,-0.01,-0.03,-6.74,-2.86,6.38,0.9,-0.21,0.36,0.12
1689836,-6.69,-2.87,6.42,0.0,0.03,-0.0,44.62,31.81,-2.06,-0.02,-0.01,-0.03,-6.74,-2.86,6.38,0.9,-0.21,0.36,0.12
1689876,-6.76,-2.87,6.34,0.0,-0.01,-0.0,43.38,31.69,-1.5,-0.07,-0.02,-0.05,-6.7,-2.85,6.4,0.9,-0.21,0.36,0.12
1689916,-6.73,-2.83,6.34,0.01,-0.01,0.0,44.38,32.0,-1.06,-0.03,0.02,-0.05,-6.7,-2.85,6.4,0.9,-0.21,0.36,0.12
1689957,-6.73,-2.87,6.38,0.0,0.02,-0.01,44.62,30.88,-1.31,-0.02,-0.02,-0.01,-6.7,-2.85,6.39,0.9,-0.21,0.36,0.12
1689997,-6.8,-2.83,6.34,-0.01,-0.02,-0.0,44.31,32.31,-1.38,-0.02,-0.02,-0.04,-6.71,-2.85,6.38,0.9,-0.21,0.36,0.12
1690037,-6.73,-2.87,6.38,0.0,0.01,0.0,44.06,31.75,-2.5,-0.02,-0.02,0.0,-6.71,-2.85,6.38,0.9,-0.21,0.36,0.12
1690077,-6.69,-2.87,6.34,0.0,-0.0,-0.0,44.88,32.06,-0.56,0.03,-0.02,-0.03,-6.72,-2.85,6.38,0.9,-0.21,0.36,0.12
1690117,-6.76,-2.91,6.38,0.01,0.01,0.0,44.38,31.69,-0.62,-0.04,-0.05,0.02,-6.72,-2.86,6.37,0.9,-0.21,0.36,0.12
1690157,-6.73,-2.79,6.3,0.0,-0.01,-0.01,43.62,32.31,-2.94,-0.04,-0.01,0.01,-6.73,-2.86,6.38,0.9,-0.21,0.36,0.12
1690198,-6.73,-2.87,6.38,-0.0,0.0,-0.0,45.69,31.81,-1.19,0.0,-0.01,0.02,-6.73,-2.86,6.37,0.9,-0.21,0.36,0.12
1690238,-6.69,-2.91,6.38,-0.0,0.01,0.0,44.62,31.5,-1.62,0.04,-0.05,0.02,-6.73,-2.86,6.37,0.9,-0.21,0.36,0.12
1690278,-6.8,-2.87,6.34,0.0,0.01,0.0,43.56,31.62,-0.38,-0.07,-0.01,-0.02,-6.73,-2.86,6.37,0.9,-0.21,0.36,0.12
1690317,-6.73,-2.83,6.34,0.0,-0.0,-0.0,44.0,31.69,-0.31,0.05,0.03,0.02,-6.73,-2.86,6.37,0.9,-0.21,0.36,0.12
1690358,-6.76,-2.91,6.34,0.01,0.0,0.0,45.69,33.0,-2.0,-0.03,-0.05,-0.02,-6.73,-2.86,6.37,0.9,-0.21,0.36,0.12
1690398,-6.76,-2.87,6.38,-0.0,0.0,0.0,44.88,31.88,-3.12,-0.03,-0.0,0.02,-6.73,-2.87,6.36,0.9,-0.21,0.36,0.12
1690438,-6.76,-2.83,6.34,0.0,0.0,0.0,46.19,33.25,0.94,-0.02,0.03,-0.02,-6.74,-2.86,6.36,0.9,-0.21,0.36,0.12
1690477,-6.73,-2.83,6.38,0.0,0.01,-0.0,44.62,32.12,-2.06,0.02,-0.01,0.03,-6.74,-2.86,6.35,0.9,-0.21,0.36,0.12
1690518,-6.76,-2.87,6.34,0.0,-0.0,-0.0,45.56,32.19,-2.0,-0.02,-0.01,-0.02,-6.74,-2.86,6.36,0.9,-0.21,0.36,0.12
1690558,-6.76,-2.87,6.34,0.0,0.01,-0.0,43.75,32.0,-1.81,-0.01,-0.01,-0.02,-6.75,-2.86,6.36,0.9,-0.21,0.36,0.12
1690598,-6.76,-2.87,6.34,0.0,0.0,-0.0,44.75,31.75,-1.31,-0.01,-0.02,-0.02,-6.75,-2.85,6.36,0.9,-0.21,0.36,0.12
1690638,-6.73,-2.87,6.38,0.0,0.01,0.0,44.56,31.5,-2.06,0.02,0.02,0.03,-6.75,-2.85,6.35,0.9,-0.21,0.36,0.12
1690678,-6.73,-2.87,6.34,0.0,-0.01,0.01,43.62,31.12,-2.19,0.02,-0.02,-0.01,-6.75,-2.85,6.35,0.9,-0.21,0.36,0.12
