timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
6263052,-8.7,-0.48,-4.37,-0.08,-0.01,-0.04,26.62,-13.12,-53.44,0.11,0.24,-0.18,-8.8,-0.72,-4.19,0.02,0.84,0.1,-0.53
6263092,-8.43,-0.32,-4.14,-0.1,-0.01,-0.28,26.19,-14.38,-51.56,0.37,0.46,0.04,-8.8,-0.78,-4.18,0.02,0.84,0.1,-0.54
6263132,-8.62,-0.89,-4.11,0.03,-0.04,-0.33,27.06,-12.62,-49.56,0.17,-0.0,0.07,-8.79,-0.89,-4.17,0.02,0.84,0.11,-0.54
6263172,-8.73,-1.43,-4.07,-0.03,0.03,-0.21,28.0,-12.88,-47.25,0.05,-0.47,0.11,-8.78,-0.96,-4.17,0.01,0.84,0.11,-0.54
6263212,-8.62,-0.82,-3.53,-0.01,0.05,-0.34,28.06,-11.5,-50.19,0.14,0.23,0.67,-8.76,-1.05,-4.2,0.01,0.84,0.12,-0.53
6263252,-8.43,-1.32,-3.18,0.06,0.06,-0.11,27.56,-11.31,-48.62,0.31,-0.19,1.03,-8.74,-1.12,-4.21,0.01,0.84,0.12,-0.53
6263292,-7.67,-0.67,-2.54,0.36,0.26,-0.3,28.44,-11.44,-48.0,1.03,0.58,1.72,-8.7,-1.25,-4.26,0.0,0.84,0.12,-0.53
6263333,-7.43,-0.59,-2.76,0.46,0.37,-0.63,28.31,-11.38,-45.81,1.17,0.93,1.59,-8.6,-1.52,-4.35,0.01,-0.84,-0.13,0.53
6263373,-7.93,-2.66,-4.22,0.6,0.17,-0.51,28.19,-10.06,-47.19,0.59,-0.85,0.16,-8.52,-1.81,-4.38,0.03,-0.84,-0.13,0.52
6263413,-7.21,-1.78,-3.11,0.75,0.13,-0.41,28.12,-9.5,-47.31,1.25,0.3,1.26,-8.45,-2.08,-4.37,0.04,-0.84,-0.13,0.52
