timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7487442,-9.62,-2.3,0.75,0.08,-0.19,-0.01,28.94,-21.31,26.81,-0.2,0.07,-0.06,-9.42,-2.37,0.81,0.0,-0.66,-0.17,0.74
7487482,-9.92,-2.68,0.87,0.07,-0.26,0.15,27.88,-20.75,27.19,-0.49,-0.36,-0.04,-9.44,-2.33,0.91,0.0,0.65,0.16,-0.74
7487522,-9.54,-2.18,1.1,0.08,-0.32,-0.0,28.62,-21.44,25.12,-0.11,0.13,0.06,-9.43,-2.31,1.04,0.0,0.65,0.16,-0.74
7487562,-9.32,-2.26,1.29,0.13,-0.24,-0.14,29.31,-20.62,22.75,0.11,0.1,0.15,-9.42,-2.36,1.14,0.0,-0.64,-0.16,0.75
7487603,-9.16,-2.49,1.25,0.22,-0.27,-0.23,29.06,-21.5,22.88,0.23,-0.07,-0.0,-9.39,-2.42,1.26,0.0,-0.64,-0.16,0.75
7487642,-8.59,-1.69,1.18,0.35,-0.32,-0.48,29.75,-22.62,19.25,0.74,0.88,-0.24,-9.33,-2.56,1.41,0.01,-0.63,-0.16,0.76
7487682,-9.12,-2.22,1.06,0.37,-0.26,-0.4,29.06,-21.5,16.81,0.15,0.48,-0.5,-9.27,-2.7,1.56,0.02,-0.63,-0.16,0.76
7487722,-9.39,-2.53,1.41,0.16,-0.14,-0.17,29.31,-22.56,15.81,-0.16,0.24,-0.25,-9.23,-2.77,1.66,0.03,-0.62,-0.16,0.76
7487762,-9.58,-2.57,1.6,0.01,-0.02,-0.03,29.12,-21.62,17.88,-0.35,0.23,-0.07,-9.23,-2.8,1.66,0.03,-0.62,-0.16,0.76
7487802,-9.77,-2.68,1.52,-0.05,-0.23,0.08,29.25,-22.69,14.19,-0.55,0.08,-0.2,-9.23,-2.77,1.72,0.03,-0.62,-0.16,0.77
7487842,-9.47,-2.76,1.56,-0.19,-0.2,0.13,27.75,-22.12,12.25,-0.24,-0.02,-0.22,-9.23,-2.73,1.78,0.03,-0.62,-0.16,0.77
7487882,-9.27,-2.8,1.6,-0.21,-0.22,0.18,28.44,-21.62,10.0,-0.04,-0.1,-0.23,-9.23,-2.7,1.83,0.02,-0.62,-0.16,0.77
7487922,-9.12,-2.84,1.71,-0.12,-0.19,0.17,26.62,-22.0,11.62,0.11,-0.2,-0.18,-9.23,-2.64,1.89,0.02,-0.61,-0.16,0.77
7487963,-9.08,-2.64,1.79,-0.32,-0.23,0.14,24.75,-21.88,8.06,0.15,-0.04,-0.16,-9.23,-2.61,1.95,0.01,-0.61,-0.17,0.77
7488002,-9.08,-2.8,2.1,-0.33,-0.18,0.05,25.81,-22.19,5.38,0.15,-0.2,0.11,-9.23,-2.6,1.98,0.0,-0.61,-0.17,0.78
7488042,-9.31,-2.99,2.17,-0.23,-0.3,-0.02,24.56,-21.69,3.5,-0.1,-0.36,0.12,-9.21,-2.62,2.05,0.0,0.6,0.17,-0.78
7488083,-9.35,-3.11,2.21,-0.01,-0.68,-0.23,24.62,-20.5,5.56,-0.2,-0.41,-0.02,-9.15,-2.7,2.23,0.0,0.6,0.18,-0.78
7488124,-8.39,-2.95,2.94,-0.0,-0.7,-0.12,24.38,-21.44,0.69,0.66,-0.2,0.43,-9.05,-2.75,2.51,0.0,0.58,0.18,-0.79
7488163,-8.01,-2.8,3.09,-0.23,-0.21,-0.1,24.31,-20.44,-0.62,1.0,0.02,0.51,-9.02,-2.81,2.59,0.0,0.58,0.18,-0.8
7488203,-8.16,-2.99,3.02,-0.1,-0.25,-0.21,24.31,-20.44,-0.62,0.8,-0.08,0.37,-8.97,-2.91,2.65,0.0,0.57,0.19,-0.8
7488244,-8.31,-3.14,3.05,-0.09,-0.09,-0.16,25.44,-20.0,0.5,0.61,-0.17,0.36,-8.93,-2.98,2.7,0.0,0.57,0.19,-0.8
7488285,-9.12,-2.49,2.21,-0.02,-0.12,-0.12,24.5,-19.5,-1.94,-0.21,0.52,-0.51,-8.91,-3.02,2.72,0.0,-0.57,-0.19,0.8
7488323,-8.97,-2.72,2.82,-0.13,0.03,-0.14,25.56,-19.5,-2.38,-0.09,0.36,0.08,-8.88,-3.09,2.74,0.0,-0.57,-0.2,0.8
7488363,-8.89,-3.3,3.51,0.02,0.06,0.02,25.56,-19.5,-2.38,-0.01,-0.21,0.79,-8.88,-3.09,2.73,0.0,-0.57,-0.2,0.8
7488403,-9.08,-3.14,2.98,0.02,-0.04,0.03,24.94,-20.62,0.56,-0.2,-0.07,0.24,-8.88,-3.07,2.73,0.0,-0.57,-0.2,0.8
7488445,-8.73,-2.76,2.75,-0.11,-0.05,0.01,24.44,-19.62,-3.0,0.14,0.32,-0.0,-8.88,-3.08,2.75,0.0,-0.57,-0.2,0.8
7488483,-8.7,-3.11,3.09,-0.1,0.08,0.05,24.62,-18.19,-3.25,0.19,-0.04,0.38,-8.89,-3.07,2.71,0.0,0.57,0.2,-0.8
7488523,-8.82,-3.14,2.98,-0.05,0.06,0.03,24.75,-20.0,-2.38,0.08,-0.07,0.28,-8.9,-3.07,2.7,0.0,0.57,0.2,-0.8
7488563,-8.97,-3.18,2.79,-0.04,0.08,0.08,24.12,-20.25,0.44,-0.06,-0.12,0.12,-8.91,-3.05,2.66,0.0,0.57,0.2,-0.8
7488606,-8.97,-3.18,2.32,-0.05,-0.02,0.12,22.94,-20.62,-1.25,-0.04,-0.16,-0.3,-8.93,-3.02,2.62,0.01,0.57,0.2,-0.8
7488643,-8.63,-3.07,2.67,0.0,-0.04,0.0,24.19,-20.0,-2.44,0.3,-0.06,0.03,-8.93,-3.01,2.64,0.01,0.57,0.2,-0.8
7488684,-8.67,-3.11,2.67,-0.03,0.05,0.03,24.12,-19.56,-3.69,0.27,-0.1,0.05,-8.93,-3.01,2.62,0.01,0.57,0.2,-0.8
7488723,-8.59,-2.99,2.63,-0.08,0.12,0.01,24.12,-19.5,1.38,0.36,0.02,0.04,-8.95,-3.01,2.59,0.01,0.57,0.2,-0.8
7488764,-8.7,-3.18,2.82,-0.18,0.31,0.11,24.19,-19.44,-2.5,0.28,-0.19,0.34,-8.98,-2.99,2.48,0.01,0.58,0.2,-0.79
7488804,-9.01,-3.07,2.32,-0.03,0.12,0.02,24.25,-19.56,-1.38,-0.01,-0.09,-0.09,-9.0,-2.98,2.41,0.01,0.58,0.2,-0.79
7488844,-8.89,-3.11,2.52,0.09,0.03,-0.07,23.94,-20.0,-2.44,0.1,-0.11,0.11,-8.99,-2.99,2.41,0.01,0.58,0.2,-0.79
7488884,-8.97,-3.11,2.32,0.1,-0.0,-0.08,25.06,-20.81,2.88,0.02,-0.09,-0.08,-8.99,-3.02,2.41,0.01,0.58,0.2,-0.79
7488924,-8.86,-2.88,2.02,0.05,0.09,-0.13,24.75,-19.31,-1.38,0.12,0.19,-0.38,-8.98,-3.06,2.4,0.0,0.58,0.2,-0.79
7488964,-8.97,-3.34,2.52,-0.02,0.06,-0.03,25.06,-19.62,-1.25,0.01,-0.26,0.14,-8.98,-3.08,2.38,0.0,0.58,0.2,-0.79
7489004,-8.77,-3.22,2.86,0.09,0.04,-0.08,25.44,-19.69,-0.12,0.19,-0.12,0.5,-8.97,-3.09,2.37,0.0,0.58,0.2,-0.79
7489044,-8.67,-3.03,2.9,0.12,0.18,-0.14,25.0,-20.75,2.31,0.3,0.1,0.57,-8.97,-3.12,2.34,0.0,-0.58,-0.2,0.79
7489084,-8.66,-3.11,2.9,0.21,0.09,-0.16,24.81,-21.25,4.06,0.29,0.07,0.59,-8.95,-3.17,2.31,0.01,-0.59,-0.2,0.79
7489125,-9.47,-3.03,2.06,0.34,-0.11,-0.22,24.69,-20.06,1.56,-0.55,0.18,-0.32,-8.92,-3.21,2.38,0.01,-0.58,-0.2,0.79
7489165,-10.12,-3.18,1.64,0.28,-0.17,-0.04,26.31,-18.31,2.5,-1.21,0.04,-0.82,-8.91,-3.22,2.45,0.02,-0.58,-0.19,0.79
7489205,-9.36,-3.64,2.48,0.04,0.09,0.29,26.19,-19.38,4.88,-0.43,-0.5,0.02,-8.92,-3.14,2.46,0.02,-0.58,-0.19,0.79
7489245,-8.47,-3.53,3.02,0.17,-0.09,0.08,26.38,-18.94,3.19,0.47,-0.45,0.53,-8.95,-3.08,2.48,0.02,-0.58,-0.19,0.79
7489285,-7.97,-3.14,2.94,0.19,0.09,0.04,25.06,-20.12,4.44,0.97,-0.09,0.42,-8.95,-3.05,2.52,0.02,-0.58,-0.18,0.79
7489325,-8.25,-2.84,2.63,0.2,0.1,-0.12,26.69,-19.88,4.0,0.7,0.23,0.14,-8.95,-3.06,2.49,0.02,-0.58,-0.18,0.79
7489365,-8.66,-2.88,2.52,0.2,0.05,-0.17,27.69,-19.44,7.88,0.26,0.23,0.02,-8.92,-3.1,2.5,0.03,-0.58,-0.18,0.79
7489405,-9.01,-3.3,2.75,0.23,0.15,0.08,27.75,-20.62,8.12,-0.07,-0.22,0.25,-8.94,-3.08,2.49,0.03,-0.58,-0.18,0.79
7489445,-9.16,-2.76,2.21,0.25,0.15,0.18,27.5,-20.88,8.12,-0.19,0.24,-0.26,-8.97,-3.0,2.47,0.03,-0.59,-0.17,0.79
7489485,-9.16,-2.45,1.98,0.14,0.13,0.14,28.38,-20.81,9.88,-0.16,0.48,-0.46,-9.0,-2.93,2.45,0.03,-0.59,-0.17,0.79
7489525,-9.16,-2.64,2.06,0.12,0.16,0.17,29.12,-21.38,12.81,-0.13,0.21,-0.34,-9.03,-2.86,2.4,0.03,-0.59,-0.16,0.79
7489565,-9.12,-2.64,2.02,0.09,0.15,0.11,28.12,-21.06,15.44,-0.07,0.16,-0.33,-9.05,-2.8,2.35,0.03,-0.6,-0.16,0.79
7489605,-9.23,-2.64,1.91,-0.02,0.12,0.04,27.62,-19.44,11.25,-0.16,0.14,-0.41,-9.08,-2.79,2.31,0.03,-0.6,-0.16,0.79
7489645,-9.31,-2.84,1.98,-0.02,0.07,0.05,28.5,-21.25,11.62,-0.23,-0.07,-0.3,-9.09,-2.77,2.28,0.03,-0.6,-0.16,0.78
7489685,-9.24,-2.76,1.98,-0.05,-0.01,-0.0,28.31,-21.75,13.94,-0.15,0.02,-0.29,-9.09,-2.77,2.27,0.03,-0.6,-0.16,0.78
7489725,-9.08,-2.91,2.13,-0.08,-0.04,-0.03,27.69,-22.25,16.19,0.0,-0.13,-0.15,-9.09,-2.78,2.28,0.03,-0.6,-0.16,0.78
7489765,-8.89,-2.99,2.21,-0.09,-0.04,-0.03,28.5,-21.25,11.62,0.18,-0.18,-0.08,-9.07,-2.8,2.29,0.03,-0.6,-0.16,0.78
7489805,-8.86,-3.03,2.36,-0.04,-0.04,-0.05,27.44,-20.5,13.12,0.21,-0.21,0.07,-9.06,-2.82,2.29,0.03,-0.6,-0.16,0.78
7489845,-8.81,-2.95,2.36,-0.01,0.0,-0.0,28.5,-21.81,11.75,0.24,-0.12,0.07,-9.05,-2.83,2.29,0.03,-0.6,-0.16,0.78
7489885,-8.85,-2.76,2.32,-0.02,0.12,-0.02,28.5,-23.06,15.88,0.21,0.08,0.06,-9.07,-2.84,2.27,0.03,-0.6,-0.16,0.78
7489925,-9.27,-2.8,2.17,0.02,0.09,0.01,27.38,-21.44,10.94,-0.2,0.04,-0.05,-9.08,-2.84,2.23,0.03,-0.6,-0.16,0.78
7489965,-9.39,-2.91,2.1,0.0,0.04,0.01,27.81,-22.19,12.81,-0.31,-0.09,-0.11,-9.08,-2.83,2.21,0.03,-0.6,-0.16,0.78
7490005,-9.54,-3.22,2.25,0.04,-0.03,0.05,27.69,-21.81,11.69,-0.46,-0.41,0.04,-9.09,-2.81,2.21,0.03,-0.6,-0.16,0.78
7490045,-9.31,-3.34,2.52,0.12,-0.03,0.06,28.31,-21.75,13.94,-0.22,-0.55,0.29,-9.09,-2.78,2.23,0.03,-0.6,-0.16,0.78
7490085,-8.97,-3.18,2.48,0.17,0.05,0.07,28.38,-22.56,13.56,0.13,-0.44,0.25,-9.1,-2.74,2.23,0.03,-0.6,-0.16,0.78
7490125,-9.12,-3.3,2.44,0.28,-0.07,0.11,28.12,-22.88,14.12,-0.01,-0.6,0.16,-9.11,-2.7,2.28,0.03,-0.6,-0.15,0.78
7490166,-9.01,-3.22,2.44,0.3,-0.1,0.09,29.25,-21.62,15.12,0.1,-0.59,0.1,-9.11,-2.62,2.34,0.03,-0.6,-0.15,0.79
7490206,-8.55,-3.14,2.9,0.4,0.05,0.05,29.88,-21.31,17.38,0.58,-0.57,0.53,-9.12,-2.57,2.38,0.03,-0.6,-0.14,0.79
7490246,-8.63,-2.15,2.06,0.32,0.15,-0.02,30.5,-20.19,14.5,0.51,0.39,-0.31,-9.13,-2.54,2.37,0.04,-0.6,-0.14,0.79
7490286,-8.81,-1.73,1.91,0.25,0.1,-0.1,31.5,-20.56,17.88,0.32,0.81,-0.45,-9.13,-2.54,2.36,0.04,-0.6,-0.13,0.79
7490326,-9.05,-1.5,1.83,0.1,0.04,-0.2,32.25,-19.38,17.25,0.07,1.11,-0.52,-9.12,-2.6,2.34,0.05,-0.6,-0.13,0.79
7490366,-9.35,-1.8,1.94,0.05,0.02,-0.14,33.25,-20.31,20.31,-0.25,0.85,-0.4,-9.1,-2.65,2.34,0.05,-0.6,-0.13,0.79
