timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
6224603,-8.67,-2.04,-4.11,-0.16,-0.04,-0.16,18.06,-9.94,-24.44,-0.07,-0.16,0.12,-8.59,-1.88,-4.23,0.03,-0.84,-0.13,0.53
6224643,-8.70,-2.08,-4.27,-0.09,-0.07,-0.08,18.81,-10.56,-20.94,-0.11,-0.18,-0.05,-8.59,-1.90,-4.22,0.03,-0.84,-0.13,0.53
6224685,-8.55,-2.00,-4.15,-0.07,-0.06,-0.10,17.62,-8.31,-26.44,0.05,-0.07,0.05,-8.60,-1.93,-4.20,0.03,-0.83,-0.14,0.53
6224723,-8.70,-2.23,-4.11,-0.01,-0.02,0.04,18.81,-10.06,-26.00,-0.10,-0.31,0.10,-8.60,-1.92,-4.21,0.03,-0.83,-0.14,0.53
6224763,-8.55,-1.93,-4.00,0.03,0.04,0.12,18.25,-8.75,-24.62,0.06,-0.04,0.21,-8.61,-1.88,-4.21,0.03,-0.83,-0.14,0.53
6224803,-8.43,-1.66,-3.92,0.05,0.09,0.10,18.25,-10.50,-21.56,0.17,0.20,0.31,-8.60,-1.86,-4.23,0.03,-0.84,-0.13,0.53
6224845,-8.59,-1.89,-4.23,0.03,0.12,0.06,18.69,-10.69,-22.56,0.00,-0.05,0.04,-8.59,-1.84,-4.27,0.03,-0.84,-0.13,0.53
6224883,-8.62,-1.93,-4.38,0.01,0.03,0.01,18.38,-11.38,-24.12,-0.05,-0.10,-0.09,-8.58,-1.83,-4.29,0.03,-0.84,-0.13,0.53
6224923,-8.55,-1.89,-4.11,0.01,0.05,0.03,18.75,-11.50,-23.00,0.03,-0.06,0.18,-8.58,-1.83,-4.30,0.03,-0.84,-0.13,0.53
6224963,-8.55,-1.89,-4.11,0.03,0.08,0.06,18.00,-11.31,-21.44,0.01,-0.07,0.20,-8.56,-1.81,-4.31,0.03,-0.84,-0.13,0.53
6225003,-8.59,-1.85,-4.42,0.03,0.01,0.00,18.62,-10.56,-23.69,-0.03,-0.04,-0.09,-8.55,-1.81,-4.33,0.03,-0.84,-0.13,0.53
6225043,-8.62,-1.85,-4.30,0.01,0.02,0.03,18.12,-10.81,-24.25,-0.07,-0.04,0.03,-8.55,-1.81,-4.34,0.03,-0.84,-0.13,0.53
6225083,-8.47,-1.70,-4.42,-0.01,-0.00,-0.02,19.06,-8.94,-26.19,0.08,0.12,-0.08,-8.55,-1.82,-4.34,0.03,-0.84,-0.13,0.53
6225124,-8.47,-1.73,-4.42,-0.10,0.01,-0.10,18.25,-11.88,-21.81,0.07,0.09,-0.07,-8.55,-1.83,-4.34,0.03,-0.84,-0.13,0.53
6225164,-8.43,-1.73,-4.23,-0.05,0.05,-0.05,19.25,-10.94,-23.62,0.10,0.10,0.14,-8.53,-1.84,-4.37,0.03,-0.84,-0.13,0.53
6225204,-8.32,-1.66,-4.11,0.09,0.00,-0.12,17.81,-10.75,-24.81,0.20,0.22,0.25,-8.52,-1.88,-4.37,0.03,-0.84,-0.13,0.53
6225244,-8.36,-1.66,-4.23,0.11,0.02,-0.15,18.62,-10.50,-24.81,0.15,0.29,0.13,-8.51,-1.95,-4.36,0.03,-0.84,-0.13,0.53
6225284,-8.39,-1.81,-4.34,0.01,0.11,-0.15,18.31,-9.94,-24.38,0.09,0.19,0.04,-8.48,-2.00,-4.38,0.04,-0.84,-0.14,0.52
6225324,-8.47,-1.96,-4.42,0.05,0.02,-0.19,18.94,-10.81,-24.19,-0.01,0.10,-0.02,-8.46,-2.06,-4.40,0.04,-0.84,-0.14,0.52
6225364,-8.62,-2.31,-4.57,0.02,0.00,-0.11,18.50,-10.31,-26.50,-0.18,-0.19,-0.18,-8.45,-2.12,-4.39,0.04,-0.84,-0.14,0.52
6225404,-8.59,-2.23,-4.38,-0.03,0.02,0.01,18.81,-10.06,-26.00,-0.14,-0.12,0.02,-8.45,-2.12,-4.40,0.04,-0.84,-0.14,0.52
6225444,-8.39,-2.12,-4.15,0.05,0.00,-0.02,19.38,-9.56,-25.50,0.04,0.01,0.25,-8.44,-2.12,-4.40,0.04,-0.84,-0.14,0.52
6225484,-8.47,-2.20,-4.04,0.08,0.07,0.05,19.50,-9.62,-22.62,-0.04,-0.07,0.37,-8.44,-2.12,-4.41,0.04,-0.84,-0.14,0.52
6225524,-8.39,-2.20,-4.19,0.12,0.07,0.07,18.75,-9.50,-26.12,0.04,-0.08,0.23,-8.43,-2.12,-4.42,0.04,-0.84,-0.14,0.52
6225564,-8.39,-2.20,-4.27,0.15,0.09,0.05,18.88,-10.50,-24.75,0.03,-0.06,0.17,-8.42,-2.13,-4.44,0.05,-0.84,-0.13,0.52
6225604,-8.47,-2.31,-4.34,0.16,0.08,0.08,20.00,-10.62,-24.12,-0.07,-0.18,0.11,-8.41,-2.13,-4.45,0.05,-0.84,-0.13,0.52
6225644,-8.39,-2.20,-4.34,0.13,0.09,0.03,20.12,-11.06,-22.31,0.00,-0.05,0.12,-8.40,-2.15,-4.46,0.05,-0.84,-0.13,0.52
6225684,-8.43,-2.16,-4.61,0.11,0.08,0.09,19.44,-10.25,-24.75,-0.04,-0.02,-0.12,-8.39,-2.14,-4.48,0.05,-0.84,-0.13,0.52
6225724,-8.32,-2.04,-4.65,0.08,0.05,0.04,18.88,-9.94,-24.31,0.05,0.10,-0.16,-8.38,-2.14,-4.49,0.05,-0.85,-0.13,0.52
6225764,-8.36,-2.08,-4.61,0.06,0.05,0.03,18.62,-9.69,-23.88,0.02,0.06,-0.11,-8.38,-2.14,-4.50,0.05,-0.85,-0.12,0.52
6225804,-8.32,-1.96,-4.57,0.05,0.03,0.00,19.00,-10.75,-21.94,0.05,0.18,-0.06,-8.37,-2.15,-4.51,0.06,-0.85,-0.12,0.52
6225844,-8.43,-2.20,-4.76,0.04,0.02,0.01,18.94,-10.56,-24.25,-0.07,-0.04,-0.25,-8.36,-2.16,-4.52,0.06,-0.85,-0.12,0.51
6225884,-8.39,-2.12,-4.72,0.00,0.01,0.01,18.25,-10.62,-25.94,-0.00,0.02,-0.25,-8.39,-2.14,-4.47,0.06,-0.85,-0.12,0.51
6225924,-8.29,-2.08,-4.57,0.00,-0.01,-0.03,19.81,-10.75,-22.44,0.11,0.07,-0.09,-8.39,-2.15,-4.48,0.06,-0.85,-0.12,0.52
6225964,-8.43,-2.23,-4.53,-0.01,-0.00,0.01,19.31,-10.31,-20.94,-0.05,-0.09,-0.04,-8.38,-2.14,-4.49,0.06,-0.85,-0.12,0.52
6226004,-8.28,-2.16,-4.42,0.03,-0.02,0.02,18.56,-10.69,-25.38,0.11,-0.02,0.07,-8.39,-2.14,-4.49,0.06,-0.85,-0.12,0.52
6226044,-8.36,-2.16,-4.34,0.00,0.03,0.03,19.38,-9.88,-25.44,0.02,-0.01,0.15,-8.38,-2.15,-4.49,0.06,-0.85,-0.12,0.52
6226084,-8.29,-2.08,-4.34,0.04,0.01,-0.01,18.31,-10.19,-24.31,0.09,0.07,0.14,-8.38,-2.16,-4.48,0.06,-0.85,-0.12,0.52
6226125,-8.28,-2.12,-4.50,0.02,0.04,-0.01,19.06,-11.12,-21.38,0.08,0.05,-0.03,-8.36,-2.16,-4.47,0.06,-0.85,-0.12,0.52
6226165,-8.36,-2.16,-4.53,0.04,0.01,0.03,18.31,-10.75,-24.75,0.01,0.02,-0.05,-8.37,-2.17,-4.48,0.06,-0.85,-0.12,0.51
6226205,-8.28,-2.12,-4.46,0.03,0.02,-0.01,18.88,-10.50,-24.75,0.08,0.06,0.02,-8.36,-2.18,-4.48,0.06,-0.85,-0.12,0.51
6226245,-8.32,-2.16,-4.38,0.05,0.04,0.02,19.50,-10.62,-23.62,0.02,0.02,0.11,-8.34,-2.18,-4.48,0.06,-0.85,-0.12,0.51
6226285,-8.25,-2.08,-4.50,0.05,0.04,-0.03,18.44,-10.69,-22.56,0.09,0.11,-0.01,-8.34,-2.19,-4.48,0.06,-0.85,-0.12,0.51
6226325,-8.43,-2.27,-4.80,0.04,0.01,0.01,18.75,-12.00,-23.44,-0.11,-0.08,-0.31,-8.33,-2.20,-4.49,0.06,-0.85,-0.12,0.51
6226365,-8.36,-2.23,-4.76,-0.01,-0.02,-0.02,19.19,-10.56,-24.19,-0.03,-0.04,-0.25,-8.33,-2.20,-4.51,0.06,-0.85,-0.12,0.51
6226405,-8.47,-2.27,-4.53,-0.00,-0.01,0.05,19.12,-9.69,-24.38,-0.13,-0.08,0.00,-8.34,-2.20,-4.53,0.06,-0.85,-0.12,0.51
6226445,-8.21,-1.96,-4.42,0.02,-0.01,-0.04,19.12,-9.44,-24.38,0.15,0.22,0.13,-8.35,-2.19,-4.55,0.06,-0.85,-0.12,0.51
6226486,-8.55,-2.46,-4.57,-0.01,0.00,-0.02,19.12,-10.19,-24.81,-0.21,-0.27,-0.02,-8.34,-2.20,-4.55,0.06,-0.85,-0.12,0.51
6226525,-8.39,-2.31,-4.57,-0.01,-0.01,0.03,19.81,-11.25,-22.94,-0.04,-0.11,-0.02,-8.35,-2.20,-4.55,0.06,-0.85,-0.12,0.51
6226565,-8.36,-2.27,-4.50,-0.01,0.00,0.04,18.38,-10.00,-23.31,0.00,-0.09,0.05,-8.36,-2.19,-4.55,0.06,-0.85,-0.12,0.51
6226605,-8.39,-2.23,-4.46,-0.01,-0.00,0.04,19.38,-10.94,-20.19,-0.03,-0.05,0.09,-8.37,-2.19,-4.55,0.06,-0.85,-0.12,0.51
