timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7172301,-4.64,-0.36,8.5,0.01,0.0,0.02,-17.81,-7.56,-63.12,0.02,0.01,0.01,-4.66,-0.37,8.48,0.08,0.25,0.04,-0.97
7172341,-4.64,-0.24,8.42,-0.01,0.0,0.02,-18.62,-7.56,-63.25,0.02,0.12,-0.07,-4.66,-0.37,8.48,0.08,0.25,0.04,-0.97
7172381,-4.56,-0.28,8.49,0.0,0.0,-0.01,-18.62,-7.56,-63.25,0.09,0.08,0.01,-4.66,-0.36,8.48,0.08,0.25,0.04,-0.97
7172421,-4.6,-0.28,8.45,-0.01,0.01,0.0,-18.38,-7.31,-62.75,0.05,0.06,-0.02,-4.66,-0.34,8.48,0.08,0.25,0.04,-0.97
7172461,-4.68,-0.36,8.5,-0.01,0.0,-0.01,-18.44,-6.88,-64.38,-0.03,-0.02,0.02,-4.65,-0.34,8.47,0.08,0.25,0.04,-0.97
7172501,-4.64,-0.36,8.5,-0.01,0.0,0.01,-18.44,-6.44,-63.44,0.01,-0.02,0.02,-4.65,-0.34,8.47,0.08,0.25,0.04,-0.96
7172541,-4.72,-0.36,8.41,-0.01,-0.03,0.03,-18.44,-6.88,-63.88,-0.08,-0.02,-0.05,-4.64,-0.34,8.47,0.08,0.25,0.04,-0.97
7172582,-4.64,-0.43,8.57,0.0,-0.03,0.02,-17.69,-7.44,-61.5,0.0,-0.08,0.09,-4.64,-0.35,8.48,0.08,0.24,0.04,-0.97
7172622,-4.64,-0.36,8.5,0.01,-0.04,0.02,-18.62,-6.25,-61.75,-0.02,-0.01,0.01,-4.62,-0.35,8.48,0.08,0.24,0.04,-0.97
7172662,-4.64,-0.43,8.57,0.02,-0.03,0.03,-18.69,-6.69,-63.38,-0.02,-0.09,0.07,-4.62,-0.34,8.5,0.08,0.24,0.04,-0.97
7172702,-4.6,-0.36,8.53,0.02,-0.02,0.01,-17.75,-7.31,-62.69,0.02,-0.01,0.02,-4.62,-0.35,8.51,0.08,0.24,0.04,-0.97
7172742,-4.53,-0.32,8.54,0.01,0.0,0.01,-17.94,-7.88,-60.31,0.09,0.03,0.02,-4.62,-0.35,8.52,0.08,0.24,0.04,-0.97
7172782,-4.56,-0.24,8.49,0.0,-0.01,-0.0,-17.81,-5.94,-62.31,0.04,0.11,-0.03,-4.6,-0.35,8.52,0.08,0.24,0.04,-0.97
7172822,-4.56,-0.28,8.45,-0.01,-0.01,0.0,-18.19,-5.81,-63.5,0.03,0.07,-0.07,-4.59,-0.35,8.52,0.08,0.24,0.04,-0.97
7172862,-4.6,-0.32,8.54,-0.0,0.0,0.01,-16.75,-7.56,-63.56,-0.02,0.02,0.01,-4.59,-0.34,8.52,0.08,0.24,0.04,-0.97
7172902,-4.6,-0.21,8.46,-0.05,-0.03,-0.01,-18.0,-6.62,-61.12,-0.02,0.14,-0.07,-4.59,-0.35,8.52,0.08,0.24,0.04,-0.97
7172942,-4.56,-0.47,8.57,-0.02,-0.02,-0.01,-18.38,-6.25,-62.31,0.02,-0.12,0.04,-4.58,-0.35,8.52,0.08,0.24,0.04,-0.97
7172982,-4.56,-0.43,8.56,0.0,0.0,-0.01,-17.62,-5.25,-63.56,0.01,-0.08,0.04,-4.57,-0.35,8.52,0.08,0.24,0.04,-0.97
7173022,-4.53,-0.4,8.53,0.02,-0.01,0.0,-17.81,-6.5,-62.81,0.04,-0.03,0.0,-4.56,-0.37,8.53,0.08,0.24,0.04,-0.97
7173062,-4.56,-0.28,8.45,-0.03,-0.01,-0.01,-18.25,-6.38,-60.56,0.0,0.09,-0.08,-4.56,-0.38,8.53,0.08,0.24,0.04,-0.97
7173102,-4.72,-0.36,8.45,-0.02,-0.08,0.01,-18.12,-5.31,-63.0,-0.17,0.02,-0.09,-4.55,-0.38,8.54,0.08,0.24,0.04,-0.97
7173142,-4.79,-0.47,8.54,-0.01,-0.07,-0.0,-18.12,-5.56,-63.0,-0.25,-0.09,-0.02,-4.54,-0.38,8.55,0.08,0.24,0.04,-0.97
7173182,-4.6,-0.47,8.57,0.01,-0.06,0.02,-18.62,-6.75,-62.88,-0.06,-0.09,0.01,-4.54,-0.38,8.55,0.08,0.24,0.04,-0.97
7173222,-4.45,-0.36,8.57,0.02,-0.08,-0.0,-17.62,-5.25,-63.56,0.08,0.02,-0.0,-4.53,-0.38,8.57,0.09,0.24,0.04,-0.97
7173262,-4.3,-0.24,8.57,-0.02,-0.05,-0.02,-18.25,-7.75,-60.94,0.21,0.14,-0.01,-4.51,-0.38,8.58,0.08,0.24,0.04,-0.97
7173302,-4.26,-0.28,8.6,-0.02,-0.03,-0.02,-17.81,-6.25,-62.25,0.22,0.1,0.03,-4.48,-0.38,8.58,0.08,0.23,0.04,-0.97
7173342,-4.26,-0.36,8.64,-0.01,0.01,-0.03,-18.12,-6.5,-62.75,0.19,0.02,0.06,-4.45,-0.38,8.59,0.08,0.23,0.04,-0.97
7173382,-4.37,-0.32,8.57,-0.03,-0.0,-0.04,-18.69,-5.94,-62.38,0.05,0.06,-0.02,-4.42,-0.38,8.59,0.08,0.23,0.04,-0.97
7173422,-4.41,-0.36,8.56,-0.02,0.01,-0.04,-18.12,-6.69,-63.88,-0.0,0.04,-0.03,-4.41,-0.4,8.59,0.08,0.23,0.04,-0.97
7173462,-4.41,-0.59,8.72,0.01,0.01,-0.02,-18.44,-5.88,-63.0,-0.0,-0.19,0.13,-4.41,-0.4,8.59,0.08,0.23,0.04,-0.97
7173502,-4.64,-0.47,8.53,-0.02,-0.01,-0.02,-18.12,-6.69,-63.88,-0.23,-0.06,-0.06,-4.41,-0.41,8.59,0.08,0.23,0.04,-0.97
7173542,-4.72,-0.59,8.57,0.0,-0.03,-0.01,-17.94,-5.5,-64.06,-0.3,-0.17,-0.04,-4.41,-0.42,8.6,0.08,0.23,0.04,-0.97
7173583,-4.56,-0.51,8.61,0.02,-0.03,-0.0,-18.0,-5.81,-60.62,-0.13,-0.07,0.0,-4.43,-0.45,8.6,0.08,0.23,0.04,-0.97
7173623,-4.37,-0.47,8.64,0.0,-0.0,0.01,-19.25,-6.38,-63.5,0.08,-0.04,0.04,-4.45,-0.44,8.61,0.08,0.23,0.04,-0.97
7173663,-4.26,-0.43,8.68,0.03,0.01,0.01,-18.94,-6.31,-64.0,0.2,0.0,0.07,-4.45,-0.44,8.61,0.08,0.23,0.04,-0.97
7173703,-4.26,-0.32,8.61,0.0,0.03,-0.02,-18.19,-5.56,-63.56,0.19,0.12,-0.0,-4.45,-0.44,8.61,0.08,0.23,0.04,-0.97
7173743,-4.41,-0.47,8.64,0.03,0.02,-0.01,-18.31,-7.62,-62.69,0.03,-0.04,0.04,-4.44,-0.43,8.61,0.08,0.23,0.04,-0.97
7173783,-4.49,-0.47,8.61,0.04,0.01,-0.01,-18.81,-6.88,-61.69,-0.06,-0.05,-0.0,-4.43,-0.42,8.61,0.08,0.23,0.04,-0.97
7173823,-4.56,-0.36,8.53,0.01,0.0,-0.0,-18.25,-6.75,-65.56,-0.12,0.05,-0.07,-4.44,-0.41,8.6,0.08,0.23,0.04,-0.97
7173863,-4.53,-0.36,8.53,0.0,-0.01,0.0,-18.06,-7.88,-63.12,-0.08,0.05,-0.07,-4.45,-0.41,8.6,0.08,0.23,0.04,-0.97
7173903,-4.49,-0.32,8.54,-0.0,-0.01,0.0,-18.06,-7.0,-62.75,-0.04,0.09,-0.06,-4.45,-0.41,8.59,0.08,0.23,0.04,-0.97
7173943,-4.45,-0.4,8.61,0.01,-0.01,0.01,-18.44,-6.81,-64.5,0.0,0.0,0.02,-4.45,-0.4,8.59,0.08,0.23,0.04,-0.97
7173984,-4.37,-0.4,8.64,-0.01,0.01,-0.01,-18.75,-6.31,-64.0,0.08,0.0,0.06,-4.45,-0.4,8.59,0.08,0.23,0.04,-0.97
7174023,-4.41,-0.43,8.64,-0.0,0.0,-0.01,-18.75,-5.75,-64.12,0.04,-0.04,0.05,-4.45,-0.4,8.59,0.08,0.23,0.04,-0.97
