timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1278084,-9.62,-0.02,1.33,0.05,0.05,0.08,145.19,33.88,-22.81,0.07,-0.05,0.03,-9.7,0.03,1.3,0.58,-0.42,0.51,0.48
1278125,-9.77,0.32,0.91,-0.11,-0.0,0.02,144.75,33.94,-25.44,-0.0,0.0,-0.02,-9.7,0.05,1.27,0.58,-0.42,0.51,0.48
1278165,-9.93,-0.14,0.99,0.06,-0.15,-0.03,144.44,34.25,-25.12,-0.24,-0.18,-0.31,-9.69,0.05,1.3,0.58,-0.42,0.51,0.48
1278205,-9.74,-0.25,1.29,-0.04,-0.14,0.1,144.0,34.19,-25.12,-0.06,-0.32,-0.07,-9.68,0.06,1.36,0.58,-0.41,0.51,0.48
1278245,-9.51,0.13,1.33,-0.06,-0.03,0.03,145.19,34.31,-25.75,0.17,0.04,-0.06,-9.68,0.09,1.39,0.58,-0.41,0.51,0.48
1278285,-9.58,0.09,1.26,-0.04,-0.04,0.03,143.56,33.62,-27.31,0.28,0.19,0.04,-9.67,0.09,1.41,0.58,-0.41,0.51,0.48
1278325,-9.58,0.09,1.37,-0.03,-0.05,0.01,142.88,33.94,-28.88,0.09,-0.01,-0.05,-9.67,0.1,1.42,0.58,-0.41,0.51,0.48
1278365,-9.62,0.09,1.37,-0.05,-0.03,0.02,144.5,34.0,-26.88,0.05,-0.02,-0.07,-9.67,0.11,1.44,0.58,-0.41,0.51,0.49
1278405,-9.66,0.09,1.41,-0.06,-0.07,0.02,144.19,34.31,-26.94,0.0,-0.02,-0.04,-9.66,0.11,1.45,0.58,-0.41,0.5,0.49
1278445,-9.58,0.09,1.45,0.04,0.02,0.03,144.19,34.0,-26.56,-0.04,-0.07,-0.09,-9.66,0.12,1.46,0.58,-0.41,0.5,0.49
1278485,-9.55,0.21,1.45,0.06,0.15,0.02,143.75,32.56,-27.62,0.12,0.07,0.01,-9.66,0.14,1.44,0.58,-0.41,0.51,0.49
1278525,-9.62,0.32,1.29,0.06,0.12,0.05,143.56,33.31,-27.0,0.05,0.17,-0.09,-9.67,0.15,1.38,0.58,-0.41,0.51,0.48
1278565,-9.73,0.25,1.26,-0.04,0.25,0.11,143.31,32.69,-25.56,-0.07,0.07,-0.07,-9.67,0.17,1.33,0.58,-0.41,0.51,0.48
1278605,-10.31,0.4,1.03,0.05,0.15,-0.03,143.44,32.19,-26.94,-0.16,0.03,0.14,-9.69,0.22,1.23,0.57,-0.41,0.52,0.48
1278645,-10.39,0.36,0.53,0.12,-0.22,-0.49,143.94,31.88,-26.12,-0.7,0.2,-0.67,-9.69,0.16,1.2,0.58,-0.42,0.51,0.48
1278685,-10.16,-0.64,0.88,-0.0,-0.1,0.02,144.56,32.5,-25.75,-0.47,-0.64,-0.41,-9.69,0.01,1.29,0.58,-0.42,0.51,0.48
1278725,-8.79,-0.56,2.1,-0.05,0.3,0.22,143.62,31.81,-25.81,0.91,-0.61,0.84,-9.69,0.05,1.26,0.58,-0.42,0.51,0.48
1278765,-9.35,0.13,1.52,0.04,0.31,0.23,143.38,31.56,-26.94,1.15,0.0,0.84,-9.7,0.12,1.14,0.58,-0.42,0.52,0.48
1278805,-9.78,0.25,1.14,0.06,0.26,0.29,143.56,31.88,-26.25,-0.06,0.01,0.11,-9.71,0.23,1.03,0.57,-0.42,0.52,0.48
1278845,-9.77,0.51,0.76,0.0,0.24,0.23,143.81,31.31,-26.88,-0.05,0.18,-0.18,-9.72,0.33,0.94,0.57,-0.42,0.53,0.48
1278885,-9.97,0.51,0.41,0.02,0.04,0.1,142.81,29.94,-23.62,-0.26,0.1,-0.45,-9.71,0.41,0.86,0.56,-0.42,0.53,0.48
1278925,-9.77,0.48,0.45,0.06,-0.02,-0.02,144.0,31.0,-25.38,-0.36,0.11,-0.63,-9.72,0.44,0.85,0.56,-0.41,0.53,0.48
1278965,-9.47,0.55,0.84,0.05,0.02,-0.07,142.94,30.06,-25.81,0.25,0.12,-0.02,-9.72,0.43,0.85,0.56,-0.41,0.53,0.48
1279005,-9.43,0.25,0.88,0.18,0.02,-0.04,143.12,31.19,-25.5,0.29,-0.15,0.02,-9.72,0.4,0.85,0.56,-0.41,0.53,0.48
1279045,-9.47,0.05,0.76,-0.04,0.2,0.19,143.38,32.06,-24.44,0.25,-0.36,-0.05,-9.72,0.41,0.8,0.56,-0.41,0.54,0.47
1279085,-9.81,0.82,0.22,-0.03,0.03,-0.08,141.56,29.94,-25.62,0.14,0.32,-0.25,-9.72,0.46,0.74,0.56,-0.41,0.54,0.47
1279125,-9.7,0.51,0.68,-0.04,0.06,-0.04,143.75,31.5,-24.69,0.02,0.08,-0.05,-9.72,0.43,0.73,0.56,-0.42,0.54,0.47
1279166,-9.81,0.51,0.61,-0.06,-0.04,-0.04,143.69,31.19,-24.69,-0.09,0.09,-0.11,-9.73,0.42,0.72,0.56,-0.42,0.54,0.47
1279206,-9.73,0.21,0.53,-0.02,0.07,0.03,143.81,31.5,-24.31,-0.02,-0.2,-0.19,-9.72,0.41,0.72,0.56,-0.42,0.54,0.47
1279246,-9.47,0.29,0.8,0.05,0.21,0.13,143.12,30.62,-25.06,0.41,-0.45,0.23,-9.73,0.43,0.68,0.56,-0.42,0.54,0.47
1279286,-9.82,0.7,0.26,0.0,0.1,0.01,140.94,30.44,-24.56,-0.09,0.23,-0.34,-9.73,0.47,0.6,0.56,-0.42,0.54,0.47
1279326,-10.0,0.78,0.22,-0.02,-0.04,-0.08,143.5,31.0,-25.81,-0.28,0.32,-0.35,-9.73,0.46,0.57,0.56,-0.42,0.54,0.47
1279366,-10.12,0.59,0.22,-0.02,0.03,0.03,141.94,31.0,-24.12,-0.39,0.16,-0.36,-9.73,0.43,0.59,0.56,-0.42,0.54,0.47
1279406,-9.81,0.59,0.57,-0.02,0.04,-0.01,142.38,30.81,-24.06,0.03,-0.16,0.19,-9.73,0.45,0.57,0.55,-0.42,0.54,0.47
1279446,-9.89,0.55,0.41,-0.06,0.06,-0.01,141.25,29.25,-24.88,-0.16,0.11,-0.14,-9.73,0.44,0.55,0.55,-0.42,0.54,0.47
1279486,-10.04,0.51,0.3,-0.04,-0.1,-0.02,141.62,29.0,-24.5,-0.32,0.08,-0.25,-9.73,0.43,0.55,0.55,-0.42,0.54,0.47
1279526,-9.93,0.05,0.41,0.02,-0.01,0.1,144.12,29.75,-23.81,-0.2,-0.38,-0.16,-9.73,0.43,0.57,0.55,-0.42,0.54,0.47
1279566,-9.36,0.51,0.64,0.01,0.12,0.16,141.69,30.19,-25.25,0.3,-0.51,0.2,-9.73,0.48,0.55,0.55,-0.42,0.54,0.47
1279606,-9.58,0.7,0.22,0.02,0.02,-0.03,142.19,29.62,-24.38,0.14,0.18,-0.3,-9.73,0.52,0.52,0.55,-0.42,0.54,0.47
1279646,-9.7,0.59,0.26,-0.04,-0.01,-0.03,142.25,30.19,-24.44,0.03,0.08,-0.26,-9.73,0.51,0.52,0.55,-0.42,0.54,0.47
1279686,-9.66,0.55,0.38,-0.01,0.05,-0.04,141.88,29.56,-23.38,0.07,0.06,-0.15,-9.73,0.49,0.52,0.55,-0.42,0.54,0.47
1279726,-9.74,0.51,0.57,-0.03,0.12,0.03,140.25,29.81,-25.75,0.22,-0.17,0.15,-9.73,0.49,0.49,0.55,-0.42,0.54,0.47
1279766,-9.93,0.59,0.41,-0.04,0.02,-0.06,140.75,28.94,-24.94,-0.2,0.1,-0.04,-9.73,0.49,0.45,0.55,-0.42,0.54,0.47
1279806,-10.04,0.55,0.49,-0.04,-0.06,-0.07,141.69,30.5,-25.25,-0.32,0.09,0.05,-9.73,0.46,0.45,0.55,-0.42,0.54,0.47
1279846,-10.24,0.13,0.3,0.01,0.01,0.14,142.06,29.81,-22.62,-0.51,-0.32,-0.16,-9.73,0.45,0.46,0.55,-0.42,0.54,0.47
1279887,-9.62,0.86,0.38,-0.01,0.05,0.1,142.06,29.06,-24.75,0.03,-0.49,0.12,-9.73,0.51,0.45,0.55,-0.42,0.54,0.47
1279926,-9.82,0.89,0.11,-0.07,-0.05,-0.06,142.06,29.31,-25.12,-0.09,0.36,-0.34,-9.73,0.53,0.45,0.55,-0.42,0.54,0.47
1279966,-9.62,0.63,0.38,-0.08,-0.06,-0.06,141.31,30.19,-24.94,0.11,0.11,-0.09,-9.73,0.52,0.47,0.55,-0.42,0.54,0.48
1280006,-9.55,0.36,0.38,0.01,-0.01,-0.04,142.44,29.88,-22.94,0.19,-0.12,-0.11,-9.73,0.48,0.48,0.55,-0.42,0.54,0.48
1280047,-9.39,0.44,0.57,0.03,0.15,0.08,142.69,30.25,-24.75,0.3,-0.55,-0.05,-9.73,0.49,0.46,0.55,-0.42,0.54,0.48
