timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
5863680,-8.11,2.76,4.8,-0.11,0.0,-0.03,22.94,1.88,26.38,0.04,0.04,0.09,-8.15,2.72,4.7,0.33,-0.38,0.34,0.79
5863720,-8.07,2.76,4.91,-0.0,-0.02,-0.02,23.19,0.88,28.06,0.12,0.02,0.35,-8.16,2.7,4.71,0.33,-0.38,0.34,0.79
5863760,-8.19,2.72,4.76,-0.04,0.01,-0.07,22.94,1.88,26.38,-0.02,0.04,0.05,-8.16,2.68,4.7,0.33,-0.38,0.34,0.79
5863800,-8.3,2.65,4.84,-0.04,0.02,-0.04,23.0,2.19,26.44,-0.12,-0.01,0.13,-8.18,2.66,4.7,0.33,-0.38,0.34,0.79
5863840,-8.27,2.69,4.91,-0.03,0.01,-0.02,23.44,2.12,24.25,-0.09,0.05,0.2,-8.18,2.64,4.71,0.33,-0.38,0.33,0.79
5863881,-8.19,2.53,4.61,-0.08,0.02,-0.1,22.94,2.88,27.75,0.16,0.05,-0.03,-8.2,2.59,4.71,0.33,-0.38,0.33,0.79
5863920,-8.34,2.5,4.64,-0.12,-0.01,-0.12,22.94,1.5,26.38,-0.13,-0.04,-0.08,-8.21,2.54,4.73,0.34,-0.39,0.33,0.79
5863960,-8.42,2.46,4.72,-0.15,0.08,-0.13,23.38,2.19,26.0,-0.18,0.0,0.01,-8.24,2.45,4.71,0.34,-0.39,0.33,0.79
5864000,-8.3,2.53,4.45,-0.27,0.02,-0.18,23.75,2.19,25.12,-0.04,0.19,-0.27,-8.27,2.34,4.73,0.34,-0.39,0.32,0.79
5864041,-8.88,1.96,5.25,-0.39,0.17,-0.35,22.94,1.56,27.25,0.09,0.19,0.05,-8.32,2.19,4.7,0.34,-0.4,0.32,0.79
5864081,-8.69,2.19,4.22,-0.16,0.27,-0.05,21.88,0.44,26.0,-0.5,-0.18,0.61,-8.38,2.14,4.64,0.34,-0.4,0.31,0.79
5864121,-7.84,2.3,4.49,-0.26,-0.01,-0.07,22.56,2.19,27.31,0.54,0.24,-0.18,-8.38,2.06,4.66,0.34,-0.41,0.31,0.79
5864161,-8.07,1.92,4.26,-0.5,0.16,-0.48,22.25,0.75,25.56,0.37,0.09,-0.39,-8.45,1.83,4.65,0.34,-0.41,0.3,0.79
5864203,-8.65,1.73,4.72,-0.33,0.1,-0.1,20.81,-0.69,25.12,-0.7,-0.35,0.47,-8.48,1.7,4.63,0.34,-0.42,0.29,0.79
5864241,-8.76,1.77,4.8,-0.58,0.36,-0.25,21.81,-0.94,26.31,-0.09,0.23,0.16,-8.56,1.49,4.55,0.33,-0.43,0.29,0.79
5864281,-8.88,1.38,4.84,-1.37,0.53,-0.89,20.81,-0.69,24.69,-0.16,0.46,0.41,-8.72,0.92,4.43,0.33,-0.44,0.27,0.79
5864321,-8.88,0.46,3.68,-2.83,1.24,-1.97,19.75,-1.69,24.69,0.07,0.7,-0.36,-8.95,-0.23,4.04,0.33,-0.48,0.23,0.78
5864364,-9.45,-1.99,3.61,-3.09,1.23,-1.49,18.0,-3.19,23.44,-0.29,0.6,-0.17,-9.09,-1.25,3.51,0.32,-0.53,0.17,0.77
5864401,-9.11,-2.1,2.88,-2.67,0.87,-0.9,16.5,-6.0,21.69,-0.32,-0.0,0.59,-9.13,-1.98,3.02,0.31,-0.56,0.12,0.76
5864441,-8.15,-1.72,2.0,-3.18,0.49,-1.39,14.19,-7.62,17.0,0.91,1.14,-0.52,-9.05,-2.86,2.52,0.29,-0.59,0.07,0.75
5864481,-8.54,-3.41,2.19,-4.06,0.2,-2.01,11.81,-10.62,12.62,0.27,0.51,0.29,-8.8,-3.91,1.91,0.27,-0.62,-0.01,0.73
5864524,-9.38,-5.02,3.19,-2.96,0.01,-1.33,8.81,-11.25,8.56,-0.31,-0.06,1.14,-8.61,-4.53,1.44,0.25,-0.64,-0.08,0.72
5864561,-8.42,-4.09,1.35,-0.14,-0.33,0.32,7.69,-13.38,7.19,-0.76,-0.51,1.74,-8.62,-4.51,1.45,0.24,-0.64,-0.11,0.72
5864601,-8.8,-4.44,1.12,-1.0,-0.31,0.15,6.0,-15.62,3.31,-0.18,0.06,-0.28,-8.62,-4.5,1.4,0.23,-0.64,-0.11,0.72
5864642,-8.54,-4.52,2.04,-0.42,-0.34,0.14,2.88,-17.81,1.25,0.1,-0.04,0.61,-8.63,-4.48,1.43,0.22,-0.64,-0.12,0.72
5864682,-8.53,-4.48,1.58,-0.69,-0.19,-0.1,1.5,-18.0,-1.31,0.07,0.07,0.19,-8.61,-4.55,1.39,0.21,-0.64,-0.13,0.73
5864721,-8.41,-4.44,1.96,-0.33,-0.58,0.08,0.06,-20.06,-1.31,-0.06,-0.34,0.47,-8.59,-4.56,1.49,0.2,-0.64,-0.14,0.73
5864762,-8.45,-4.63,1.88,-0.29,-0.29,-0.03,-0.88,-19.94,-3.81,0.1,-0.04,0.33,-8.55,-4.59,1.55,0.2,-0.63,-0.15,0.73
5864801,-8.49,-4.67,1.81,-0.28,-0.25,-0.08,-2.69,-21.69,-3.38,0.04,-0.04,0.23,-8.53,-4.63,1.58,0.19,-0.63,-0.16,0.74
5864842,-8.38,-4.48,1.81,-0.22,-0.16,-0.11,-2.94,-21.38,-4.62,0.13,0.2,0.21,-8.51,-4.68,1.6,0.19,-0.63,-0.16,0.74
