timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
5802162,-6.71,-5.86,4.30,-0.13,0.55,0.18,-4.38,-11.31,4.50,0.11,0.08,0.36,-6.82,-5.94,3.94,0.33,-0.52,-0.17,0.77
5802202,-6.53,-5.43,3.84,-0.25,0.65,0.01,-6.19,-11.69,5.50,0.40,0.53,0.13,-6.92,-5.96,3.71,0.33,-0.53,-0.17,0.76
5802242,-7.09,-6.12,3.23,-0.16,0.70,0.16,-5.25,-12.25,7.12,-0.01,-0.56,0.29,-7.05,-5.95,3.48,0.33,-0.54,-0.17,0.76
5802282,-6.95,-5.47,2.73,-0.19,0.49,0.02,-4.88,-12.25,7.12,0.18,0.50,-0.57,-7.12,-5.97,3.30,0.33,-0.55,-0.16,0.75
5802322,-7.33,-6.43,2.84,-0.24,0.36,-0.13,-7.31,-11.69,6.81,-0.18,-0.41,-0.31,-7.15,-6.02,3.16,0.33,-0.56,-0.16,0.74
5802362,-7.48,-6.97,2.81,0.02,0.03,0.04,-6.88,-11.75,5.06,-0.32,-0.95,-0.33,-7.16,-6.02,3.14,0.33,-0.56,-0.16,0.74
5802403,-7.25,-5.93,3.00,-0.10,-0.06,0.02,-6.62,-12.00,6.75,0.06,0.14,-0.44,-7.16,-6.03,3.13,0.33,-0.56,-0.16,0.74
5802442,-7.14,-5.86,3.27,-0.11,-0.13,-0.01,-7.31,-12.38,6.31,-0.12,0.11,-0.15,-7.13,-6.05,3.15,0.33,-0.56,-0.17,0.74
5802482,-7.10,-6.36,3.57,-0.05,-0.09,0.00,-6.25,-11.62,6.75,0.03,-0.30,0.42,-7.12,-6.05,3.16,0.33,-0.56,-0.17,0.74
5802522,-6.95,-6.12,3.42,0.00,0.01,0.09,-6.62,-12.00,7.19,0.20,-0.09,0.27,-7.15,-6.03,3.16,0.32,-0.56,-0.17,0.74
5802564,-7.25,-6.01,3.15,-0.05,0.08,0.06,-5.56,-12.00,5.88,0.20,0.17,0.14,-7.18,-6.02,3.12,0.32,-0.56,-0.17,0.74
5802602,-7.29,-6.20,3.07,-0.03,0.06,0.08,-6.94,-10.94,7.31,-0.05,-0.00,0.05,-7.20,-6.01,3.10,0.32,-0.56,-0.17,0.74
5802642,-7.03,-5.78,3.00,-0.03,0.00,0.05,-6.62,-13.00,6.69,0.20,0.21,-0.09,-7.22,-5.99,3.09,0.32,-0.56,-0.17,0.74
5802682,-7.14,-5.97,3.19,-0.07,0.06,-0.02,-6.19,-11.69,5.50,0.08,0.04,0.13,-7.22,-6.01,3.06,0.32,-0.56,-0.17,0.74
5802724,-7.13,-5.66,2.92,0.02,0.03,-0.00,-6.00,-12.25,8.00,-0.04,-0.15,0.11,-7.22,-6.02,3.05,0.32,-0.56,-0.17,0.74
5802762,-7.29,-5.93,3.00,-0.09,0.04,-0.07,-6.00,-12.94,6.62,0.07,0.38,-0.10,-7.21,-6.04,3.02,0.32,-0.56,-0.17,0.74
5802802,-7.17,-6.09,3.11,-0.08,-0.01,-0.10,-5.62,-13.31,6.19,0.01,-0.01,0.11,-7.19,-6.08,3.01,0.32,-0.57,-0.17,0.74
5802842,-7.10,-5.97,3.07,-0.09,0.02,-0.11,-5.88,-11.62,6.31,0.07,0.14,0.09,-7.16,-6.12,2.98,0.32,-0.57,-0.17,0.74
5802882,-7.13,-6.05,3.00,-0.10,0.01,-0.13,-6.31,-12.94,7.12,-0.00,0.12,0.03,-7.13,-6.16,2.97,0.32,-0.57,-0.17,0.74
5802922,-6.99,-6.39,3.11,0.02,-0.02,-0.08,-6.62,-11.62,7.62,-0.04,-0.24,0.03,-7.10,-6.19,2.97,0.32,-0.57,-0.18,0.74
5802962,-6.95,-6.16,3.04,0.03,0.02,-0.04,-6.62,-11.25,7.25,0.16,0.03,0.06,-7.10,-6.20,2.98,0.32,-0.56,-0.18,0.74
5803002,-7.10,-6.20,2.88,-0.01,0.00,-0.03,-6.88,-10.38,6.00,-0.01,0.00,-0.09,-7.09,-6.20,2.97,0.32,-0.57,-0.18,0.74
5803042,-7.06,-6.16,2.88,-0.02,-0.06,-0.04,-7.00,-11.25,8.06,0.01,0.05,-0.10,-7.07,-6.22,2.98,0.32,-0.56,-0.18,0.74
5803083,-7.06,-6.16,3.15,-0.02,-0.05,-0.04,-5.19,-10.88,7.62,-0.01,0.02,0.01,-7.05,-6.23,2.99,0.32,-0.56,-0.18,0.74
5803123,-6.95,-6.20,3.23,-0.01,-0.02,-0.03,-5.12,-12.38,4.94,0.10,0.04,0.24,-7.05,-6.24,2.99,0.32,-0.56,-0.18,0.74
5803163,-6.99,-6.20,3.00,-0.02,0.03,-0.04,-5.88,-10.94,6.75,0.05,0.05,0.02,-7.04,-6.26,2.98,0.33,-0.56,-0.18,0.74
5803203,-7.06,-6.28,2.84,-0.02,-0.03,-0.06,-5.56,-11.94,6.69,-0.04,-0.00,-0.15,-7.02,-6.27,2.99,0.33,-0.56,-0.18,0.74
5803243,-6.95,-6.28,3.00,-0.03,-0.09,-0.05,-6.00,-11.94,7.56,-0.06,-0.03,-0.12,-7.00,-6.29,3.01,0.33,-0.56,-0.18,0.74
5803284,-6.95,-6.24,3.00,-0.08,-0.08,-0.05,-5.12,-11.31,5.44,0.08,0.01,-0.01,-7.02,-6.25,3.01,0.33,-0.56,-0.18,0.74
5803324,-6.91,-6.43,3.11,-0.06,-0.08,-0.02,-5.12,-10.31,5.94,0.09,-0.16,0.11,-7.00,-6.27,3.01,0.33,-0.56,-0.19,0.74
5803364,-6.91,-6.28,3.19,0.00,-0.04,-0.01,-5.81,-11.38,5.00,0.08,-0.00,0.16,-6.98,-6.27,3.03,0.33,-0.56,-0.19,0.74
5803404,-6.91,-6.43,3.07,-0.05,-0.03,-0.03,-6.19,-9.94,6.81,0.05,0.09,0.04,-6.96,-6.30,3.04,0.32,-0.56,-0.19,0.74
5803444,-6.79,-6.55,3.15,-0.02,-0.04,0.00,-4.75,-10.31,5.88,0.15,-0.24,0.11,-6.95,-6.30,3.05,0.32,-0.56,-0.19,0.74
5803484,-6.83,-6.36,3.11,-0.00,0.04,0.04,-5.44,-10.69,5.50,0.11,-0.05,0.06,-6.95,-6.30,3.05,0.32,-0.56,-0.19,0.74
5803524,-6.99,-6.20,2.96,-0.03,0.02,0.01,-5.12,-10.31,5.94,-0.05,0.12,-0.09,-6.94,-6.32,3.05,0.32,-0.56,-0.19,0.74
5803564,-6.91,-6.39,3.04,-0.01,-0.02,-0.03,-5.88,-10.62,7.25,-0.05,0.04,-0.09,-6.93,-6.32,3.05,0.32,-0.56,-0.19,0.74
5803604,-6.83,-6.36,3.07,-0.01,-0.01,-0.02,-6.19,-10.69,6.38,0.08,-0.02,0.03,-6.91,-6.34,3.05,0.32,-0.56,-0.19,0.74
5803644,-6.91,-6.28,3.00,-0.03,0.01,-0.01,-4.75,-10.94,5.44,0.00,0.07,-0.03,-6.91,-6.34,3.03,0.32,-0.56,-0.19,0.74
5803683,-6.98,-6.24,2.92,-0.01,-0.03,-0.06,-4.75,-10.94,5.44,-0.09,0.11,-0.12,-6.90,-6.35,3.04,0.32,-0.56,-0.19,0.74
5803724,-6.75,-6.51,3.19,0.04,-0.11,-0.08,-5.19,-10.88,7.62,-0.12,-0.06,-0.10,-6.87,-6.37,3.06,0.33,-0.56,-0.19,0.74
5803764,-6.71,-6.55,3.27,0.04,0.00,-0.02,-4.75,-10.94,5.44,0.14,-0.17,0.20,-6.86,-6.38,3.07,0.33,-0.56,-0.19,0.74
5803804,-6.83,-6.55,3.07,0.03,0.06,0.04,-5.81,-10.00,5.56,0.04,-0.18,-0.00,-6.88,-6.37,3.08,0.33,-0.56,-0.19,0.74
5803846,-6.83,-6.32,3.07,0.04,0.03,0.06,-6.56,-10.31,6.81,0.05,-0.05,-0.04,-6.88,-6.38,3.08,0.33,-0.56,-0.19,0.74
5803883,-6.98,-6.16,3.07,0.03,0.05,0.04,-5.94,-10.25,7.69,0.06,0.06,-0.00,-6.89,-6.38,3.08,0.33,-0.56,-0.19,0.74
5803924,-7.06,-6.09,3.11,0.02,0.02,0.03,-5.50,-11.31,5.50,-0.16,0.27,0.04,-6.90,-6.35,3.08,0.33,-0.56,-0.19,0.74
5803964,-6.99,-6.16,3.04,0.01,0.01,-0.03,-6.19,-10.31,6.81,-0.09,0.18,-0.04,-6.90,-6.34,3.08,0.33,-0.56,-0.19,0.74
5804004,-6.91,-6.28,3.00,0.00,0.01,-0.05,-4.75,-10.62,6.31,-0.01,0.06,-0.07,-6.90,-6.34,3.07,0.33,-0.56,-0.19,0.74
5804043,-6.83,-6.43,3.00,0.01,0.02,-0.04,-4.81,-10.56,7.62,0.06,-0.07,0.00,-6.89,-6.33,3.07,0.33,-0.56,-0.19,0.74
5804084,-6.91,-6.39,3.00,0.00,-0.01,-0.04,-4.75,-9.19,7.25,-0.02,-0.05,-0.07,-6.88,-6.34,3.07,0.33,-0.56,-0.19,0.74
5804125,-6.87,-6.36,3.04,0.02,-0.01,-0.04,-5.50,-10.94,6.75,-0.00,0.00,-0.03,-6.87,-6.36,3.07,0.33,-0.56,-0.19,0.74
5804165,-6.87,-6.43,2.96,0.04,-0.04,-0.05,-5.88,-9.25,7.31,-0.02,-0.06,-0.12,-6.85,-6.37,3.08,0.33,-0.56,-0.19,0.74
5804205,-6.79,-6.47,3.11,0.03,-0.05,-0.06,-4.88,-10.50,8.44,0.04,-0.04,-0.03,-6.83,-6.39,3.10,0.33,-0.55,-0.19,0.74
5804245,-6.79,-6.43,3.07,0.04,-0.04,-0.04,-4.75,-10.88,6.25,0.01,-0.03,-0.04,-6.80,-6.40,3.11,0.33,-0.55,-0.19,0.74
5804285,-6.79,-6.39,3.15,0.00,-0.08,-0.06,-5.81,-11.38,5.00,-0.01,0.03,0.02,-6.78,-6.42,3.13,0.33,-0.55,-0.19,0.74
5804325,-6.71,-6.43,3.30,0.02,-0.04,-0.03,-5.88,-11.31,6.31,0.05,0.00,0.16,-6.77,-6.43,3.15,0.33,-0.55,-0.19,0.74
5804365,-6.87,-6.28,3.11,-0.01,-0.02,-0.03,-5.12,-8.88,7.31,-0.04,0.15,0.11,-6.76,-6.43,3.16,0.33,-0.55,-0.19,0.74
5804405,-6.75,-6.47,3.11,-0.03,-0.05,-0.07,-4.69,-8.56,6.38,-0.01,-0.02,-0.06,-6.74,-6.45,3.17,0.33,-0.55,-0.19,0.74
