timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7747565,-9.7,-0.34,-1.34,-0.04,0.04,0.0,10.75,-5.88,47.62,0.06,0.09,-0.02,-9.76,-0.43,-1.32,0.2,-0.73,0.2,0.63
7747604,-9.7,-0.53,-1.19,-0.12,-0.01,-0.23,10.56,-5.81,49.31,0.21,0.21,-0.09,-9.75,-0.51,-1.33,0.2,-0.73,0.2,0.63
7747645,-9.86,-0.61,-1.19,-0.11,0.03,-0.22,10.88,-5.56,49.81,-0.11,-0.01,0.14,-9.74,-0.59,-1.34,0.2,-0.73,0.19,0.63
7747685,-9.78,-0.57,-1.38,-0.14,0.11,-0.13,10.12,-6.0,46.5,-0.04,0.07,-0.01,-9.73,-0.64,-1.38,0.2,-0.73,0.19,0.62
7747725,-9.7,-0.68,-1.38,-0.08,0.03,-0.05,11.0,-5.81,47.06,0.04,-0.03,0.0,-9.73,-0.66,-1.38,0.2,-0.73,0.18,0.62
7747765,-9.66,-0.61,-1.31,-0.13,-0.0,-0.08,11.69,-5.81,48.88,-0.05,-0.0,-0.03,-9.73,-0.68,-1.39,0.2,-0.73,0.18,0.62
7747804,-9.62,-0.57,-1.5,-0.09,-0.01,-0.09,11.94,-6.12,49.5,0.11,0.14,-0.12,-9.73,-0.71,-1.38,0.2,-0.73,0.18,0.62
7747845,-9.62,-0.76,-1.23,-0.22,-0.22,-0.27,11.25,-6.31,46.12,0.11,0.02,0.1,-9.73,-0.78,-1.33,0.2,-0.73,0.17,0.62
7747885,-9.66,-0.84,-1.04,0.06,-0.01,-0.09,11.69,-6.38,49.5,0.07,-0.02,0.27,-9.73,-0.81,-1.31,0.2,-0.73,0.17,0.63
7747925,-9.86,-0.91,-1.08,0.02,0.04,-0.09,12.0,-6.81,50.69,0.07,0.13,0.13,-9.73,-0.85,-1.32,0.2,-0.73,0.17,0.63
7747965,-9.89,-0.95,-1.57,0.04,0.06,-0.03,12.0,-6.19,50.56,-0.13,-0.05,0.27,-9.72,-0.86,-1.34,0.21,-0.73,0.17,0.62
7748005,-9.66,-0.8,-1.5,0.01,-0.03,0.09,12.31,-6.5,50.75,0.07,0.04,-0.17,-9.73,-0.84,-1.33,0.21,-0.73,0.17,0.62
7748045,-9.54,-0.72,-1.34,-0.04,0.01,-0.0,12.38,-5.06,47.12,0.18,0.11,-0.01,-9.73,-0.83,-1.34,0.2,-0.73,0.17,0.62
7748086,-9.7,-0.72,-1.27,0.0,-0.02,0.0,11.44,-7.44,48.5,-0.05,-0.04,0.1,-9.73,-0.84,-1.33,0.2,-0.73,0.17,0.62
7748125,-9.66,-0.76,-1.08,-0.03,0.04,-0.03,12.19,-5.88,49.44,0.02,0.12,0.07,-9.72,-0.84,-1.34,0.2,-0.73,0.17,0.62
7748166,-9.7,-0.84,-1.08,0.04,0.03,-0.09,11.06,-7.0,47.38,0.02,0.04,0.27,-9.71,-0.88,-1.34,0.2,-0.73,0.17,0.62
7748206,-9.7,-0.88,-1.31,0.06,0.07,-0.08,11.94,-6.88,48.5,0.02,0.03,0.06,-9.71,-0.91,-1.37,0.21,-0.74,0.17,0.62
7748248,-9.7,-0.95,-1.38,0.07,0.02,-0.04,11.75,-6.19,50.56,0.04,-0.06,-0.05,-9.7,-0.93,-1.38,0.21,-0.74,0.17,0.62
7748286,-9.66,-0.91,-1.42,0.04,0.03,-0.01,10.44,-7.06,51.19,0.01,-0.02,0.0,-9.7,-0.94,-1.38,0.21,-0.74,0.17,0.62
