timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
6695686,-8.62,-1.42,-3.28,-0.18,0.01,-0.23,13.31,-5.25,17.0,0.45,0.33,-0.11,-9.07,-1.75,-3.17,0.16,-0.81,0.07,0.56
6695726,-9.11,-1.8,-2.75,0.11,0.03,0.01,12.81,-5.69,18.06,-0.06,-0.02,0.45,-9.05,-1.78,-3.2,0.16,-0.81,0.06,0.56
6695768,-9.08,-1.8,-3.2,0.14,-0.09,0.07,13.38,-6.12,17.12,-0.02,-0.02,-0.06,-9.06,-1.78,-3.14,0.16,-0.81,0.07,0.56
6695806,-8.85,-1.77,-3.36,-0.09,0.02,-0.1,14.12,-5.19,15.88,0.21,0.03,-0.21,-9.05,-1.8,-3.15,0.16,-0.81,0.07,0.56
6695846,-8.92,-1.96,-3.13,0.01,-0.04,-0.03,13.62,-6.38,16.69,0.13,-0.13,0.01,-9.05,-1.83,-3.14,0.16,-0.81,0.06,0.56
6695886,-9.0,-2.04,-3.2,0.02,-0.26,-0.02,13.75,-5.5,19.25,0.08,-0.19,-0.13,-9.08,-1.84,-3.07,0.16,-0.81,0.06,0.56
6695928,-8.84,-1.92,-2.71,-0.15,-0.02,-0.13,12.44,-5.38,15.25,0.23,-0.05,0.33,-9.08,-1.88,-3.04,0.16,-0.81,0.06,0.57
6695966,-9.35,-2.15,-2.67,0.25,-0.1,0.13,13.56,-5.75,15.94,-0.26,-0.28,0.34,-9.09,-1.88,-3.01,0.16,-0.81,0.06,0.57
6696006,-8.92,-1.88,-3.09,0.04,-0.03,-0.04,13.44,-4.12,14.06,0.17,0.0,-0.12,-9.09,-1.88,-2.97,0.16,-0.81,0.06,0.57
6696046,-9.0,-1.96,-3.17,-0.14,0.06,-0.14,13.38,-5.38,18.06,0.08,-0.04,-0.18,-9.08,-1.91,-2.99,0.16,-0.81,0.06,0.57
6696086,-9.19,-2.11,-2.78,0.13,-0.09,0.04,14.75,-5.19,18.19,-0.11,-0.18,0.18,-9.09,-1.93,-2.96,0.16,-0.81,0.06,0.57
