timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
2128667,-9.96,1.45,-0.75,-0.09,0.06,-0.18,67.19,18.88,1.81,-0.04,0.34,-0.15,-9.69,1.3,-1.1,0.66,0.22,0.71,-0.12
2128708,-9.77,1.26,-0.91,-0.05,0.01,-0.1,67.19,18.88,1.81,-0.07,0.02,0.22,-9.7,1.24,-1.12,0.66,0.22,0.71,-0.12
2128748,-9.73,1.22,-1.14,0.06,-0.01,0.01,67.31,18.56,2.88,-0.04,-0.01,-0.01,-9.7,1.23,-1.12,0.66,0.22,0.71,-0.12
2128790,-9.58,1.14,-0.91,0.06,0.16,-0.05,67.69,19.81,1.44,0.27,0.2,0.12,-9.7,1.22,-1.14,0.66,0.22,0.71,-0.12
2128828,-9.85,0.76,-1.29,-0.05,0.15,0.03,68.25,19.25,2.25,0.11,-0.06,0.3,-9.69,1.2,-1.21,0.65,0.22,0.72,-0.12
2128868,-9.77,0.72,-1.18,0.0,0.04,0.08,68.12,18.38,2.31,-0.08,-0.51,0.07,-9.69,1.23,-1.25,0.65,0.22,0.72,-0.11
2128908,-9.38,0.88,-0.98,-0.05,0.08,-0.02,68.75,18.06,3.5,0.29,-0.38,0.29,-9.68,1.25,-1.27,0.65,0.22,0.72,-0.11
2128951,-9.62,1.34,-1.67,-0.18,0.01,-0.08,68.5,18.75,1.56,0.25,-0.06,-0.07,-9.68,1.24,-1.3,0.65,0.22,0.72,-0.11
2128988,-9.93,1.3,-1.6,-0.38,0.02,-0.04,67.75,19.19,2.19,0.06,0.11,-0.38,-9.68,1.23,-1.29,0.65,0.21,0.72,-0.11
2129028,-9.92,1.41,-1.6,-0.41,0.03,0.09,68.62,19.88,1.56,-0.24,0.18,-0.32,-9.68,1.23,-1.28,0.65,0.21,0.72,-0.1
2129068,-10.0,1.11,-0.95,-0.26,0.12,0.24,68.0,18.81,4.12,-0.33,-0.21,0.33,-9.67,1.31,-1.27,0.65,0.21,0.72,-0.09
2129111,-9.23,1.53,-1.18,-0.1,0.04,0.04,67.19,19.19,1.75,0.08,-0.23,0.51,-9.66,1.41,-1.3,0.65,0.21,0.72,-0.09
2129148,-9.34,1.49,-1.63,-0.27,0.05,-0.16,68.81,18.69,3.44,0.41,0.12,0.14,-9.65,1.41,-1.31,0.65,0.2,0.72,-0.09
2129189,-9.77,1.11,-1.71,-0.22,-0.05,0.04,70.06,19.06,2.88,-0.11,-0.27,-0.41,-9.66,1.38,-1.3,0.65,0.2,0.72,-0.08
2129229,-9.89,0.99,-1.21,-0.27,0.07,0.07,68.56,18.88,4.5,-0.23,-0.41,0.07,-9.66,1.41,-1.29,0.66,0.2,0.72,-0.08
2129269,-9.73,1.45,-1.33,-0.37,0.09,0.09,69.81,19.25,3.88,-0.08,0.01,-0.02,-9.65,1.45,-1.3,0.66,0.19,0.73,-0.07
2129311,-9.96,1.18,-0.98,-0.28,-0.01,0.15,69.88,20.5,3.5,-0.32,-0.25,0.1,-9.64,1.51,-1.31,0.66,0.19,0.73,-0.07
2129349,-9.69,1.53,-1.1,-0.36,0.01,0.11,69.88,19.56,4.31,-0.06,-0.05,0.19,-9.63,1.58,-1.29,0.66,0.19,0.73,-0.06
2129389,-9.46,1.64,-1.25,-0.25,0.04,0.16,68.94,19.69,6.38,0.16,0.0,0.02,-9.62,1.64,-1.27,0.66,0.19,0.73,-0.05
2129429,-9.38,1.57,-0.64,-0.06,0.09,0.11,69.94,18.69,5.06,0.22,-0.14,0.64,-9.61,1.7,-1.28,0.66,0.19,0.73,-0.05
2129468,-9.23,2.33,-1.56,-0.22,0.02,-0.2,68.56,18.56,4.88,0.37,0.18,0.28,-9.6,1.73,-1.3,0.66,0.19,0.73,-0.05
2129509,-9.73,1.87,-1.6,-0.55,0.01,-0.35,69.44,18.94,4.62,-0.11,0.24,-0.31,-9.62,1.63,-1.29,0.66,0.18,0.73,-0.05
2129549,-10.23,0.91,-1.29,-0.12,-0.13,0.09,68.88,20.0,5.56,-0.6,-0.66,-0.05,-9.63,1.58,-1.24,0.66,0.17,0.73,-0.04
2129589,-9.73,1.11,-1.14,-0.2,0.04,0.03,69.69,20.12,5.31,-0.1,-0.52,0.07,-9.63,1.62,-1.2,0.66,0.17,0.73,-0.04
2129629,-9.5,1.61,-1.18,-0.17,0.11,0.09,70.06,20.69,4.62,0.32,0.03,-0.12,-9.62,1.65,-1.21,0.66,0.17,0.73,-0.04
2129669,-9.38,1.91,-1.29,-0.1,0.07,-0.12,68.69,20.38,4.12,0.23,0.22,-0.05,-9.62,1.69,-1.23,0.66,0.17,0.73,-0.04
2129709,-9.77,1.84,-1.29,-0.32,0.06,-0.26,68.56,20.25,6.25,-0.14,0.23,-0.04,-9.62,1.61,-1.25,0.66,0.16,0.73,-0.04
2129750,-10.61,0.91,-1.25,-0.36,-0.22,0.13,70.44,20.38,6.81,-0.98,-0.66,-0.02,-9.63,1.58,-1.23,0.66,0.16,0.73,-0.03
2129790,-8.92,1.8,-1.33,-0.57,-0.09,0.05,70.31,21.0,5.69,-0.09,-0.42,-0.36,-9.64,1.64,-1.12,0.67,0.15,0.73,-0.02
2129830,-9.16,1.57,-0.83,-0.56,0.12,0.08,69.81,20.94,5.31,0.48,-0.11,0.24,-9.63,1.67,-1.07,0.67,0.14,0.73,-0.01
2129870,-9.23,1.72,-0.48,-0.16,0.29,-0.02,70.44,20.06,7.19,0.39,0.0,0.62,-9.62,1.72,-1.11,0.67,0.14,0.73,-0.01
2129910,-9.12,2.03,-0.64,-0.31,0.33,-0.47,70.25,20.56,8.25,0.51,0.37,0.57,-9.62,1.66,-1.21,0.66,0.13,0.74,-0.01
2129952,-10.88,0.76,-1.56,-0.41,0.08,-0.05,70.56,21.25,7.19,-0.71,-0.12,-0.11,-9.63,1.53,-1.3,0.66,0.12,0.74,-0.0
2129990,-10.0,1.34,-1.37,-0.31,-0.12,0.22,70.88,22.38,8.25,-0.37,-0.22,-0.09,-9.63,1.55,-1.28,0.66,0.12,0.74,0.0
2130030,-9.58,1.72,-1.14,-0.36,-0.01,0.27,71.62,22.38,9.81,0.05,0.08,0.08,-9.62,1.64,-1.22,0.66,0.12,0.74,0.01
2130070,-9.58,1.72,-1.02,-0.39,0.12,0.12,70.31,20.31,9.0,0.03,-0.05,0.18,-9.61,1.77,-1.2,0.66,0.12,0.74,0.02
2130110,-9.62,1.72,-1.44,-0.35,0.17,-0.37,69.94,20.81,8.56,0.79,0.34,0.03,-9.6,1.77,-1.24,0.66,0.11,0.74,0.02
2130150,-10.57,0.99,-1.29,-0.23,-0.02,0.09,70.5,21.44,9.31,-0.96,-0.7,-0.04,-9.62,1.69,-1.25,0.66,0.1,0.74,0.03
2130190,-9.54,1.57,-1.37,-0.27,-0.05,0.18,70.88,22.12,8.25,0.07,-0.18,-0.13,-9.61,1.75,-1.23,0.66,0.1,0.74,0.03
2130230,-9.35,1.95,-1.41,-0.4,0.02,0.26,70.94,22.56,11.12,0.25,0.11,-0.21,-9.59,1.84,-1.2,0.66,0.1,0.74,0.04
2130270,-8.66,2.45,-0.71,-0.06,0.1,-0.15,70.31,21.69,10.38,0.15,-0.25,0.46,-9.58,1.93,-1.18,0.66,0.1,0.74,0.04
2130310,-9.62,1.87,-1.48,-0.25,0.09,-0.36,70.0,21.75,8.12,-0.02,0.04,-0.25,-9.59,1.83,-1.23,0.66,0.09,0.74,0.04
2130350,-10.77,0.95,-1.52,-0.22,-0.2,0.18,71.69,22.06,10.5,-1.16,-0.8,-0.31,-9.61,1.76,-1.21,0.66,0.09,0.74,0.04
2130390,-9.54,1.68,-1.25,-0.34,-0.1,0.06,70.88,22.0,11.19,0.06,-0.15,-0.13,-9.6,1.83,-1.12,0.66,0.09,0.74,0.05
