timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
1908170,6.04,8.77,2.63,-0.33,-1.36,2.48,13.12,-30.38,-3.94,4.86,-0.79,3.98,1.18,9.56,-1.35,0.62,0.74,0.13,0.21
1908210,8.96,9.73,2.9,0.63,-1.01,-0.67,7.62,-29.88,-5.75,7.19,0.27,4.32,1.77,9.46,-1.41,0.62,0.75,0.09,0.2
1908250,7.84,10.03,3.36,2.0,0.54,-3.25,8.25,-31.06,-3.81,9.01,1.17,5.3,1.21,9.48,-1.82,0.61,0.76,0.13,0.17
1908291,3.79,9.42,0.41,2.67,1.32,-4.88,15.94,-31.56,0.81,3.9,0.07,3.05,-0.12,9.35,-2.64,0.58,0.78,0.21,0.13
1908331,-0.36,7.8,-2.35,2.64,1.8,-5.45,27.94,-30.88,8.12,1.39,-1.03,1.32,-1.75,8.84,-3.66,0.54,0.78,0.32,0.08
1908371,-3.53,6.12,-5.11,1.93,2.25,-5.04,40.31,-27.5,13.5,-0.28,-1.73,-0.41,-3.25,7.86,-4.7,0.49,0.76,0.42,0.04
1908413,-6.79,2.79,-11.27,0.59,1.94,-3.22,52.12,-22.12,19.0,-1.01,-3.07,-2.84,-4.09,6.89,-5.48,0.46,0.73,0.51,0.02
1908451,-8.74,2.48,-12.35,-0.42,0.33,-0.31,60.06,-18.19,23.5,-4.35,-3.91,-6.52,-4.39,6.4,-5.83,0.45,0.71,0.54,0.02
1908491,-9.43,1.72,-11.81,-1.12,-1.62,2.98,60.38,-19.62,24.31,-5.14,-4.9,-6.14,-4.29,6.62,-5.67,0.46,0.72,0.52,0.03
1908531,-8.13,2.91,-10.96,-2.33,-2.27,4.56,54.0,-22.31,20.0,-4.39,-4.54,-5.97,-3.73,7.45,-4.99,0.5,0.74,0.44,0.06
