timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
7639403,-1.86,3.4,8.8,-0.38,0.21,0.12,25.88,-9.31,-10.88,1.81,0.57,0.11,-3.66,2.83,8.7,0.18,-0.16,0.18,0.95
7639443,-3.35,2.36,9.34,-0.24,-0.03,-0.01,24.31,-8.62,-14.0,0.32,-0.37,0.61,-3.67,2.73,8.73,0.17,-0.16,0.18,0.96
7639483,-3.54,2.29,9.41,-0.16,0.02,-0.04,25.06,-7.5,-14.62,0.13,-0.38,0.67,-3.67,2.66,8.74,0.17,-0.16,0.17,0.96
7639523,-3.58,2.4,9.18,-0.15,0.11,-0.01,24.69,-6.31,-14.88,0.13,-0.19,0.45,-3.71,2.59,8.73,0.17,-0.16,0.17,0.96
7639563,-3.5,2.59,9.1,-0.12,-0.04,-0.1,25.19,-8.62,-12.25,0.2,0.05,0.36,-3.7,2.55,8.75,0.17,-0.16,0.17,0.96
7639603,-3.58,2.44,9.04,0.03,-0.04,-0.09,25.69,-7.31,-13.44,0.12,-0.08,0.27,-3.7,2.52,8.76,0.18,-0.16,0.17,0.96
7639643,-3.62,2.44,8.84,0.06,-0.0,-0.1,25.44,-7.19,-11.81,0.09,-0.08,0.08,-3.7,2.52,8.76,0.18,-0.16,0.17,0.96
7639683,-3.69,2.52,8.46,-0.02,0.06,-0.08,25.12,-7.88,-13.44,0.04,0.01,-0.29,-3.73,2.51,8.74,0.18,-0.17,0.17,0.96
7639723,-3.77,2.44,8.38,-0.04,0.04,-0.08,25.25,-7.88,-10.69,-0.02,-0.05,-0.36,-3.75,2.49,8.73,0.18,-0.17,0.17,0.95
7639763,-3.77,2.44,8.54,-0.08,-0.02,-0.08,24.81,-8.12,-14.0,-0.02,-0.01,-0.22,-3.75,2.45,8.75,0.18,-0.17,0.16,0.95
7639803,-3.92,2.25,8.72,-0.12,-0.03,-0.05,25.62,-6.56,-13.06,-0.17,-0.15,-0.04,-3.75,2.4,8.76,0.18,-0.17,0.16,0.96
7639843,-3.85,2.14,9.18,0.01,-0.09,0.01,25.31,-6.69,-14.25,-0.13,-0.25,0.41,-3.72,2.38,8.77,0.18,-0.17,0.16,0.96
7639883,-3.62,2.25,9.26,0.07,0.01,-0.0,25.88,-8.0,-10.0,0.09,-0.16,0.49,-3.71,2.41,8.77,0.18,-0.17,0.16,0.96
7639924,-3.62,2.44,8.76,0.08,-0.01,-0.07,25.19,-8.62,-12.25,0.1,0.02,-0.0,-3.72,2.42,8.77,0.18,-0.17,0.16,0.96
7639963,-3.66,2.4,8.61,0.08,-0.07,-0.07,25.31,-6.94,-14.06,0.05,-0.04,-0.16,-3.7,2.45,8.77,0.19,-0.16,0.16,0.95
7640003,-3.73,2.33,8.57,0.01,0.04,-0.07,24.5,-7.25,-13.56,-0.03,-0.1,-0.19,-3.7,2.43,8.76,0.19,-0.16,0.16,0.95
7640043,-3.81,2.29,8.61,0.01,-0.05,-0.05,25.75,-8.31,-12.25,-0.11,-0.14,-0.15,-3.7,2.43,8.76,0.19,-0.16,0.16,0.95
7640084,-3.69,2.4,8.69,-0.02,-0.01,-0.05,25.69,-7.06,-13.0,0.01,-0.01,-0.08,-3.7,2.41,8.77,0.19,-0.16,0.16,0.95
7640124,-3.73,2.4,8.76,-0.02,0.01,-0.04,25.56,-6.44,-14.19,-0.02,0.0,-0.0,-3.71,2.4,8.77,0.19,-0.16,0.16,0.95
7640164,-3.77,2.4,8.8,0.02,-0.01,-0.03,25.56,-6.44,-14.19,-0.05,0.0,0.04,-3.72,2.4,8.77,0.19,-0.17,0.16,0.95
7640204,-3.81,2.4,8.8,0.01,-0.0,-0.02,26.88,-7.31,-11.12,-0.1,0.01,0.04,-3.71,2.39,8.76,0.19,-0.17,0.16,0.95
7640246,-3.81,2.4,8.76,0.0,-0.0,0.0,25.69,-7.62,-13.44,-0.1,0.01,0.0,-3.71,2.39,8.76,0.19,-0.17,0.16,0.95
7640284,-3.73,2.36,8.8,0.04,-0.01,0.01,26.38,-6.75,-14.12,-0.03,-0.04,0.04,-3.7,2.41,8.76,0.19,-0.16,0.16,0.95
7640324,-3.69,2.4,8.69,0.02,0.01,0.02,26.38,-6.75,-14.12,0.07,0.02,-0.03,-3.76,2.38,8.72,0.19,-0.16,0.16,0.95
7640364,-3.69,2.4,8.61,-0.02,0.02,0.01,25.31,-9.0,-10.44,0.07,0.02,-0.1,-3.76,2.38,8.71,0.19,-0.17,0.16,0.95
7640406,-3.73,2.33,8.72,-0.02,-0.0,0.04,25.31,-6.88,-14.75,0.03,-0.05,0.02,-3.76,2.38,8.7,0.19,-0.17,0.16,0.95
