timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,linacc_x,linacc_y,linacc_z,grav_x,grav_y,grav_z,gamerot_w,gamerot_x,gamerot_y,gamerot_z
6605100,-9.46,-3.03,-0.61,-0.02,-0.06,0.05,20.94,-11.62,-11.12,-0.23,-0.18,0.21,-9.23,-2.84,-0.82,0.3,-0.73,0.12,0.6
6605141,-9.07,-2.8,-0.76,-0.01,-0.06,-0.03,22.44,-11.88,-8.69,0.15,0.05,0.04,-9.23,-2.85,-0.8,0.3,-0.73,0.12,0.6
6605180,-9.61,-3.22,-0.95,-0.04,-0.08,-0.13,21.38,-11.12,-13.38,-0.4,-0.32,-0.18,-9.21,-2.9,-0.77,0.3,-0.73,0.12,0.6
6605220,-10.26,-3.68,-1.14,-0.08,-0.16,-0.26,21.5,-12.44,-11.5,-1.07,-0.7,-0.41,-9.19,-2.98,-0.73,0.3,-0.73,0.11,0.6
6605260,-11.41,-4.21,-1.34,-0.33,-0.04,-0.03,22.62,-11.69,-10.94,-2.23,-1.24,-0.59,-9.19,-2.98,-0.75,0.3,-0.73,0.11,0.61
6605301,-11.61,-4.25,-1.14,-0.33,-0.03,0.43,22.0,-11.62,-11.56,-2.37,-1.44,-0.35,-9.23,-2.81,-0.79,0.3,-0.73,0.11,0.61
6605340,-11.64,-4.1,-0.64,-0.57,0.35,1.0,22.69,-12.88,-10.19,-2.3,-1.67,0.33,-9.34,-2.43,-0.98,0.28,-0.73,0.11,0.61
6605380,-11.06,-3.53,-1.26,-0.62,0.59,1.72,22.19,-14.31,-10.0,-1.6,-1.75,-0.01,-9.47,-1.77,-1.25,0.26,-0.74,0.13,0.61
6605420,-9.88,-2.61,-0.91,-0.53,0.48,2.08,20.69,-14.69,-8.38,-0.32,-1.64,0.55,-9.56,-0.97,-1.46,0.22,-0.74,0.15,0.62
6605462,-8.23,-0.54,-1.49,-0.42,0.36,2.09,20.5,-16.75,-7.5,1.37,-0.37,0.12,-9.6,-0.17,-1.61,0.19,-0.74,0.18,0.62
6605500,-8.34,0.15,-1.72,-0.53,0.37,1.79,20.81,-17.81,-8.44,1.23,-0.41,0.02,-9.58,0.56,-1.74,0.16,-0.74,0.2,0.62
6605541,-8.5,0.5,-1.87,-0.5,0.36,1.61,20.81,-18.94,-8.75,1.0,-0.71,-0.01,-9.5,1.2,-1.86,0.12,-0.74,0.22,0.62
6605581,-8.69,1.03,-2.25,-0.38,-0.1,1.44,19.5,-20.81,-9.06,0.74,-0.73,-0.45,-9.43,1.77,-1.8,0.1,-0.74,0.24,0.63
6605623,-8.27,2.07,-1.07,-0.43,-0.21,1.3,20.31,-20.38,-8.56,1.07,-0.21,0.63,-9.34,2.28,-1.7,0.08,-0.73,0.25,0.63
6605661,-8.2,2.3,-0.99,-0.26,0.05,1.31,20.06,-23.31,-10.25,1.01,-0.48,0.71,-9.2,2.77,-1.7,0.05,-0.72,0.27,0.64
6605701,-8.2,2.68,-1.56,-0.01,-0.17,1.32,18.69,-24.0,-10.81,0.86,-0.59,0.07,-9.05,3.27,-1.63,0.04,-0.71,0.28,0.64
6605741,-8.12,3.14,-1.91,-0.1,-0.28,1.46,18.38,-23.31,-12.12,0.75,-0.63,-0.38,-8.87,3.77,-1.53,0.02,-0.7,0.3,0.65
6605781,-6.93,4.1,-1.37,-0.24,0.01,1.09,16.75,-23.81,-12.06,1.77,-0.06,0.12,-8.7,4.16,-1.49,0.0,-0.69,0.32,0.65
6605821,-6.2,5.17,-1.26,0.03,0.11,0.45,17.31,-23.12,-11.06,2.41,0.86,0.27,-8.62,4.3,-1.52,0.01,0.69,-0.33,-0.65
6605861,-6.67,4.98,-1.45,0.14,0.1,0.01,18.12,-24.69,-11.88,1.93,0.68,0.13,-8.59,4.3,-1.58,0.01,0.69,-0.33,-0.65
6605901,-7.35,4.79,-1.95,0.17,0.11,-0.37,18.06,-24.06,-13.06,1.29,0.62,-0.3,-8.64,4.16,-1.65,0.01,0.69,-0.33,-0.64
6605941,-8.5,4.33,-2.37,0.11,0.08,-0.38,18.12,-24.69,-11.81,0.19,0.3,-0.68,-8.69,4.02,-1.69,0.0,0.69,-0.33,-0.64
6605981,-8.84,4.21,-2.1,0.04,-0.09,-0.21,18.44,-24.75,-11.88,-0.12,0.27,-0.44,-8.72,3.95,-1.66,0.0,-0.69,0.32,0.64
6606021,-8.73,4.1,-1.68,0.08,-0.04,-0.24,18.06,-24.06,-13.06,0.02,0.24,-0.01,-8.75,3.86,-1.67,0.01,-0.69,0.32,0.64
6606061,-9.04,3.95,-1.98,0.07,0.03,-0.29,17.62,-24.19,-11.38,-0.26,0.19,-0.3,-8.78,3.76,-1.69,0.01,-0.7,0.32,0.64
6606101,-9.45,3.71,-2.14,0.01,-0.04,-0.07,18.38,-24.44,-12.44,-0.66,-0.01,-0.46,-8.8,3.73,-1.68,0.01,-0.7,0.32,0.64
6606141,-8.77,3.95,-1.83,0.08,-0.05,-0.04,19.56,-24.38,-10.12,0.03,0.23,-0.14,-8.8,3.71,-1.69,0.02,-0.7,0.32,0.64
6606181,-9.04,3.75,-1.98,0.02,-0.0,-0.08,18.88,-24.56,-13.44,-0.23,0.08,-0.3,-8.8,3.67,-1.68,0.02,-0.7,0.32,0.64
6606221,-9.11,3.68,-1.91,0.0,-0.04,0.02,17.75,-23.44,-13.19,-0.32,-0.0,-0.22,-8.8,3.68,-1.69,0.02,-0.7,0.32,0.64
6606261,-8.84,3.87,-1.75,-0.01,-0.01,0.01,19.19,-23.0,-12.62,-0.04,0.18,-0.08,-8.8,3.69,-1.67,0.02,-0.7,0.32,0.64
6606301,-8.73,3.87,-1.95,-0.02,-0.05,-0.04,18.44,-24.75,-11.88,0.07,0.19,-0.29,-8.8,3.68,-1.66,0.02,-0.7,0.32,0.64
6606341,-8.92,3.75,-1.79,0.01,-0.14,-0.01,19.31,-25.12,-11.06,-0.11,0.08,-0.18,-8.81,3.67,-1.62,0.02,-0.7,0.32,0.64
6606381,-9.0,3.64,-1.41,0.05,-0.04,0.03,18.88,-24.06,-13.5,-0.19,-0.04,0.2,-8.81,3.68,-1.61,0.02,-0.69,0.32,0.65
6606421,-8.84,3.79,-1.75,0.02,0.03,0.01,19.38,-23.69,-14.06,-0.04,0.11,-0.14,-8.8,3.68,-1.62,0.02,-0.69,0.32,0.65
6606461,-8.73,3.75,-1.75,0.01,-0.01,0.02,19.38,-25.5,-10.5,0.07,0.07,-0.13,-8.8,3.69,-1.62,0.02,-0.69,0.32,0.65
6606501,-8.31,3.91,-1.91,0.0,0.05,0.01,19.94,-23.5,-13.5,0.49,0.21,-0.27,-8.8,3.7,-1.64,0.02,-0.69,0.32,0.65
6606541,-8.04,3.98,-2.21,-0.11,0.18,-0.17,19.75,-24.5,-12.31,0.76,0.33,-0.53,-8.8,3.65,-1.69,0.02,-0.7,0.32,0.64
6606582,-8.46,3.83,-2.52,-0.14,-0.04,-0.22,19.19,-24.62,-13.38,0.38,0.25,-0.85,-8.84,3.58,-1.67,0.02,-0.7,0.31,0.64
6606622,-9.0,3.68,-1.68,-0.08,0.05,-0.12,19.25,-25.31,-12.19,-0.16,0.13,0.0,-8.84,3.55,-1.68,0.02,-0.7,0.31,0.64
6606662,-9.15,3.56,-1.75,-0.11,0.06,-0.16,19.06,-23.94,-14.69,-0.29,0.07,-0.07,-8.87,3.49,-1.69,0.02,-0.7,0.3,0.64
6606702,-9.07,3.56,-1.45,-0.03,0.01,-0.09,18.5,-24.38,-15.69,-0.2,0.09,0.25,-8.88,3.47,-1.7,0.02,-0.7,0.3,0.64
6606742,-9.04,3.52,-1.45,0.03,0.06,-0.05,20.0,-25.19,-13.81,-0.16,0.08,0.27,-8.88,3.45,-1.72,0.02,-0.7,0.3,0.64
6606782,-9.38,3.41,-2.06,0.0,-0.03,-0.09,19.38,-23.5,-13.06,-0.5,-0.02,-0.35,-8.88,3.43,-1.71,0.02,-0.7,0.3,0.64
6606822,-9.23,3.41,-1.87,-0.06,0.0,0.04,19.75,-25.0,-12.75,-0.35,-0.03,-0.16,-8.88,3.44,-1.71,0.02,-0.7,0.3,0.64
6606862,-8.84,3.6,-1.68,-0.01,-0.03,0.05,19.56,-23.62,-15.19,0.03,0.14,0.02,-8.88,3.45,-1.7,0.02,-0.7,0.3,0.64
6606902,-8.65,3.68,-1.68,0.0,0.01,-0.02,18.56,-24.81,-14.0,0.22,0.22,0.02,-8.88,3.45,-1.7,0.02,-0.7,0.3,0.64
